BdDbtExpnsRprtdInd|Bad debt expense reported?
BdDbtExpnsAmt|Bad debt expense amount
BdDbtExpnsAttrbtblAmt|Amount attributable to
RmbrsdByMdcrAmt|Amount reimbursed by Medicare
CstOfCrRmbrsdByMdcrAmt|Cost of care reimbursed by Medicare
MdcrSrplsOrShrtfllAmt|Line 5 less line 6
CstAccntngSystmInd|Checkbox choice; Cost accounting system
CstTChrgRtInd|Checkbox choice; Cost to charge ratio
OthrInd|Checkbox choice; Other
WrttnDbtCllctnPlcyInd|Written debt collection policy?
FnnclAssstncPrvsnInd|Provision for financial assistance?
