TxExmptBndsArbtrg_BndRfrncCd|Arbitrage; Bond issue reference number (A-D)
TxExmptBndsArbtrg_Frm8038TFldInd|Arbitrage; Form 8038-T filed?
TxExmptBndsArbtrg_RbtNtDYtInd|Arbitrage; Rebate not due yet?
TxExmptBndsArbtrg_ExcptnTRbtInd|Arbitrage; Exception to rebate?
TxExmptBndsArbtrg_NRbtDInd|Arbitrage; No rebate due?
TxExmptBndsArbtrg_VrblRtIssInd|Arbitrage; Variable rate issue?
TxExmptBndsArbtrg_HdgIdntfdInBksAndRcInd|Arbitrage; Hedge identified in books and records?
HdgPrvdrNm_BsnssNmLn1Txt|Arbitrage; Name of provider; Business name line 1
HdgPrvdrNm_BsnssNmLn2Txt|Arbitrage; Name of provider; Business name line 2
TxExmptBndsArbtrg_TrmOfHdgPct|Arbitrage; Term of hedge
TxExmptBndsArbtrg_SprntgrtdHdgInd|Arbitrage; Was the hedge superintegrated?
TxExmptBndsArbtrg_HdgTrmntdInd|Arbitrage; Was the hedge terminated?
TxExmptBndsArbtrg_GrssPrcdsInvstdInGICInd|Arbitrage; Gross proceeds invested in GIC?
GICPrvdrNm_BsnssNmLn2Txt|Arbitrage; Name of provider; Business name line 2
GICPrvdrNm_BsnssNmLn1Txt|Arbitrage; Name of provider; Business name line 1
TxExmptBndsArbtrg_TrmOfGICPct|Arbitrage; Term of GIC
TxExmptBndsArbtrg_RgltrySfHrbrStsfdInd|Arbitrage; Regulatory safe harbor satisfied?
TxExmptBndsArbtrg_GrssPrcdsInvstdInd|Arbitrage; Gross proceeds invested?
TxExmptBndsArbtrg_WrttnPrcTMntrRqsInd|Arbitrage; Written procedures to monitor requirements?
