BndRfrncCd|Proceeds; Bond issue reference number (A-D)
RtrdAmt|Proceeds; Amount of bonds retired
CptlExpndtrsAmt|Proceeds; Capital expenditures from proceeds
OthrSpntPrcdsAmt|Proceeds; Other spent proceeds
UnspntAmt|Proceeds; Amount unspent
SbstntlCmpltnYr|Proceeds; Year of substantial completion
RfndngTxExmptBndsInd|Proceeds; Refunding tax-exempt bonds?
CrrntRfndngInd|Proceeds; Current refunding?
AdvncRfndngInd|Proceeds; Advance refunding?
RfndngTxblBndsInd|Proceeds; Refunding taxable bonds?
FnlAllctnMdInd|Proceeds; Final allocation made?
AdqtBksAndRcMntInd|Proceeds; Adequate books and records maintained?
BndDfsdAmt|Proceeds; Amount of bonds defeased
TtlPrcdsAmt|Proceeds; Total proceeds of issue
InRsrvFndAmt|Proceeds; Gross proceeds in reserve funds
CptlzdIntrstAmt|Proceeds; Capitalized interest from proceeds
RfndngEscrwAmt|Proceeds; Proceeds in refunding escrow
IssncCstsFrmPrcdsAmt|Proceeds; Issuance costs from proceeds
CrdtEnhncmntAmt|Proceeds; Credit enhancement from proceeds
WrkngCptlExpndtrsAmt|Proceeds; Working capital expenditures from proceeds
