object_id,ein,Dsc,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt
201443179349303604,231352008,PACE fees,611310,1095401,1095401
201443179349303604,231352008,Conferment fees,611310,863312,863312
201443179349303604,231352008,Ethics membership fees,611310,201000,201000
201403189349301725,900893455,Cash Discounts,900099,15014,15014
201443189349301799,410693962,MISCELLANEOUS REVENUE,900099,1216755,1214177,2578
201423529349300412,370661211,OTHER INVESTMENT INCOME,900099,541750,541750
201423529349300412,370661211,COMMISSIONS,900099,58156,58156
201423529349300412,370661211,STUDENT FINES,900099,33075,33075
201423529349300507,611312812,UNREALIZED GAIN- SECUR,611110,10688,10688
201423529349300507,611312812,MISCELLANEOUS,611110,64,64
201403469349300145,596046500,INSURANCE RECOVERY,16412,16412
201403469349300145,596046500,MANAGED FUTURES LEGENDS K-1,523000,-3268,-3268
201443399349300804,410970173,OTHER INCOME,23887,23887
201443509349300529,593086453,REIMBURSE OF PATENT MA,900099,286007,286007
201443509349300529,593086453,F&A INCOME,900099,133298,133298
201443509349300529,593086453,MANAGEMENT FEE INCOME,900099,113932,113932
201423219349311822,274967732,MISC,900099,23077,23077
201433469349300968,980042539,Change in Accrued Pension Benefit,611710,2248030,2248030,0,0
201413499349300146,261706394,Miscellaneous Income
201423429349300102,560547511,OTHER INCOME,900099,138730,138730
201423429349300102,560547511,TICKET SALES,711300,6032,6032
201423129349300002,566049935,ATHLETIC INCOME,611310,93880,93880
201423129349300002,566049935,VEHICLE INCOME,611310,14620,14620
201423129349300002,566049935,NEWSPAPER,511110,-3490,-3490
201443189349300214,410698301,PARKING,812930,307662,307662
201443189349300214,410698301,INDIRECT COST RECOVERY,561000,198066,198066
201443189349300214,410698301,STUDENT LATE PMT FEES,900099,138262,138262
201413379349300531,620812782,"WORKSHOP, SUPPLY, OTHER",79385,79385
201443219349311099,416059072,MISCELLANEOUS INCOME,1112,1112
201443229349301409,237424429,BUSINESS OFFICE,611710,40436,40436
201443189349305919,480554341,FARM INCOME,111998,29025,29025
201413219349302421,561388743,RENTAL INCOME,9000,9000
201413219349302421,561388743,MISCELLANEOUS,3032,3032
201413219349302421,561388743,INCREASE IN INSURANCE CSV,333,333
201413219349312701,943200772,MERCHANDISE,327,327
201433219349305503,620789275,OTHER INCOME,900099,83783,83783
201443219349303494,311395941,PARKING LOT,531390,15000,15000
201443219349303494,311395941,OTHER,900099,2507,2507
201433449349300008,620202000,AUXILLIARY INCOME,900099,2464926,2464926
201433449349300008,620202000,OTHER INCOME,900099,1257352,1257352
201413399349300426,541919810,OTHER,611710,381392,381392
201413399349300426,541919810,MANAGEMENT FEE - HSLDA,561000,102462,102462
201433189349304123,390821861,UNRELATED BUSINESS INCOME,900099,73511,73511
201443219349305534,591407629,CHOIR AND GOSPEL TEAM REVENUE,87576,87576
201443219349305534,591407629,MISCELLANEOUS INCOME,61153,61153
201423219349310327,430652649,OTHER REVENUE,900099,164635,164635
201403219349311100,204075974,REIMBURSEMENTS,900099,2710,2710
201433219349301053,470489031,AUXILIARY REVENUES,611310,769837,769837
201433219349301053,470489031,OTHER FEES & MISC,900099,26027,26027
201433239349300603,750827421,Change value split-int,611710,-202866,-202866
