object_id,ein,BsnssNmLn1Txt,EIN,OrgnztnCd,GvrnngDcmntLstdInd,SpprtAmt
201530229349300623,271870108,ASPIRE PUBLIC SCHOOLS,943311088,2,1,79048
201510479349302121,460224603,YANKTON COLLEGE,YANKTON COLLEGE,460224603,5,true,0
201520479349300107,570933257,CLEMSON UNIVERSITY,576000254,IRC 115,1,0
201520479349300107,570933257,CLEMSON UNIV FOUNDATION,570426335,5,1,0
201510479349200206,166073701,ROCHESTER INSTITUTE OF TECHNOLOGY,160743140,2,true,500
201520569349300107,202394946,Puritan Reformed Theological Seminary,202394341,2,true,43668
201500559349300115,570967350,UNIVERSITY OF SOUTH CAROLINA,576001153,02,true,5103017
201500559349300115,570967350,MEDICAL UNIVERSITY OF SOUTH CAROLINA,576000722,02,true,39898701
201500559349300115,570967350,CLEMSON UNIVERSITY,576000254,02,true,348463
201500559349300115,570967350,GREENVILLE HOSPITAL SYSTEM,576007863,03,true,15293345
201500559349300115,570967350,PALMETTO HEALTH,582296052,03,true,6845217
201500559349300115,570967350,SPARTANBURG REG HEALTHCARE,576000934,03,true,2574976
201500559349300115,570967350,ANMED HEALTH,570359174,03,true,1042121
201500559349300115,570967350,MCLEOD HEALTH,570370242,03,true,183449
201500559349300115,570967350,SELF REGIONAL HEALTHCARE,570331865,03,true,391578
201510449349302006,237050293,KIRKWOOD COMMUNITY COLLEGE,420924685,2,1,152798
201520659349300727,800151379,FLORIDA INTERNATIONAL UNIVERSITY,650177616,0,true,1794324
201510759349300026,331127376,FDN OF UNCC,566059417,5,1,0
201511259349301236,636053517,TUSKEGEE UNIVERSITY,630288878,2,1,12939
201501349349302490,320152376,Pitzer College,952261113,2,1,0
201501349349308445,262258318,UNIVERSITY OF LOUISVILLE FOUNDATION INC,237078461,5,true,3749375
201501349349303000,201415351,NEW MEXICO INSTITUTE OF MINING & TECHNOLOGY,856000411,2,1,0
201511339349303021,381870664,COVENANT HEALTHCARE,383369443,3,true,0
201511339349303021,381870664,ST MARY'S MEDICAL CENTER,380997730,3,true,0
201511339349303021,381870664,CENTRAL HEALTH ADVANCEMENT SOLUTIONS,453862232,5,true,0
201531319349302513,264360361,UNIVERSITY CIRCLE INCORPORATED,340823464,9,1,100000
201521349349304027,570705675,UNIVERSITY OF SOUTH CAROLINA,576001153,501(C)(4),1,3319320
201541339349303944,237126805,ROBERT O ANDERSON SCHOOL OF MANAGEMENT - UNIVERSITY OF NEW MEXICO,856000642,STATE OF NEW MEXICO,1,0
201511919349300501,952988463,CU-KC,446000294,0,true,890000
201541969349301369,900790361,EMORY UNIVERSITY,580566256,02,true,76772573
201500779349300435,640902475,UNIVERSITY OF SOUTHERN MISSISSIPPI,646000818,2,1,167226,0
201531349349302068,137096544,University of Virginia,546001796,School,true,100000,0
201511359349202401,341568219,OBERLIN COLLEGE,340714363,02,true,0
201521359349307572,270869586,GREEN DOT PUBLIC SCHOOLS,954679811,501(C)(3),1,596684
201521359349307572,270869586,ASPIRE PUBLIC SCHOOLS,943311088,501(C)(3),1,272008
201521359349307572,270869586,ALLIANCE FOR COLLEGE-READY PUBLIC SCHOOLS,954779029,501(C)(3),1,762925
201521359349307572,270869586,PARTNERSHIPS TO UPLIFT COMMUNITIES,743102820,501(C)(3),1,1063828
201531359349302028,201304472,UNIVERSITY OF TOLEDO,346401483,SECTION 115,1,400
201541359349301824,550665758,WEST VIRGINIA UNIVERSITY,556000842,IRC SECTION 115,1,121375373
201512259349303116,237008276,University of California San Diego,956006144,Section 501(c)3,1,0,0
201512749349300831,760765625,KANSAS STATE UNIVERSITY,480771751,02,0,139863,0
201522269349303342,264359927,KYUSHU UNIVERSITY,981083876,2,true,65200,0
201512269349301336,541744996,OLD DOMINION UNIVERSITY,546000884,115,1,5412,60000
201512269349301336,541744996,OLD DOMINION UNIVERSITY EDUCATIONAL FOUNDATION,546052014,501(C)(3),1,0,0
201500349349300880,454808258,WEST VALLEY MISSION COMM COLLEGE,770268786,GOVNT,false,0
201510449349302431,952492344,University of California SB,956006145,college,false,0
201521339349305272,010802914,Cal State UnivChannel Islands,912153805,University,false,0
201540449349200449,202928582,SANTA FE COMMUNITY COLLEGE,850311615,3,true,0
201532689349300303,364500805,CENTRAL MICHIGAN UNIVERSITY,CENTRAL MICHIGAN UNIVERSITY,364500805,6,true,504895,0
201540479349200759,571021641,PRESBYTERIAN COLLEGE,570314408,2,1,0
201540429349300229,208096718,LUTHERAN THEOLOGICAL,231365169,1,1,1285354
201541289349301794,367468174,B'ham Southern College,630288811,2,true,0,0
201541339349304729,550713410,GLENNVILLE STATE COLLEGE,556000779,2,1,0
201530409349301118,911838771,Metropolitan Community College,470557228,6,1,0
201521959349300927,464071746,STANFORD HEALTH CARE,946174066,03,true,0
201520239349300242,134356799,FLORIDA STATE UNIVERSITY,591961248,02,true,685107
201532519349300803,980150041,METROPOLITAN ANDREY SHEPTYTSKY INST ST PAUL UNIV OTTAWA ONTARIO CANADA,000000000,2,1,339447,0
201541329349301634,721304948,LSU HEALTH SCIENCES CENTER,726087770,2,1,50872149
201540159349300134,237133739,City of Arlington Texas,756004503,6,1,0
201540159349300134,237133739,City of Denton Texas,756000514,6,1,0
