object_id,ein,BsnssNmLn1Txt,EIN,OrgnztnCd,GvrnngDcmntLstdInd,SpprtAmt
201530229349300623,271870108,ASPIRE PUBLIC SCHOOLS,943311088,2,1,79048
201510479349302121,460224603,YANKTON COLLEGE,YANKTON COLLEGE,460224603,5,true,0
201520479349300107,570933257,CLEMSON UNIVERSITY,576000254,IRC 115,1,0
201520479349300107,570933257,CLEMSON UNIV FOUNDATION,570426335,5,1,0
201510479349200206,166073701,ROCHESTER INSTITUTE OF TECHNOLOGY,160743140,2,true,500
201520569349300107,202394946,Puritan Reformed Theological Seminary,202394341,2,true,43668
201500559349300115,570967350,UNIVERSITY OF SOUTH CAROLINA,576001153,02,true,5103017
201500559349300115,570967350,MEDICAL UNIVERSITY OF SOUTH CAROLINA,576000722,02,true,39898701
201500559349300115,570967350,CLEMSON UNIVERSITY,576000254,02,true,348463
201500559349300115,570967350,GREENVILLE HOSPITAL SYSTEM,576007863,03,true,15293345
201500559349300115,570967350,PALMETTO HEALTH,582296052,03,true,6845217
201500559349300115,570967350,SPARTANBURG REG HEALTHCARE,576000934,03,true,2574976
201500559349300115,570967350,ANMED HEALTH,570359174,03,true,1042121
201500559349300115,570967350,MCLEOD HEALTH,570370242,03,true,183449
201500559349300115,570967350,SELF REGIONAL HEALTHCARE,570331865,03,true,391578
201510449349302006,237050293,KIRKWOOD COMMUNITY COLLEGE,420924685,2,1,152798
201520659349300727,800151379,FLORIDA INTERNATIONAL UNIVERSITY,650177616,0,true,1794324
201510759349300026,331127376,FDN OF UNCC,566059417,5,1,0
201511259349301236,636053517,TUSKEGEE UNIVERSITY,630288878,2,1,12939
201501349349302490,320152376,Pitzer College,952261113,2,1,0
201501349349308445,262258318,UNIVERSITY OF LOUISVILLE FOUNDATION INC,237078461,5,true,3749375
201501349349303000,201415351,NEW MEXICO INSTITUTE OF MINING & TECHNOLOGY,856000411,2,1,0
201511339349303021,381870664,COVENANT HEALTHCARE,383369443,3,true,0
201511339349303021,381870664,ST MARY'S MEDICAL CENTER,380997730,3,true,0
201511339349303021,381870664,CENTRAL HEALTH ADVANCEMENT SOLUTIONS,453862232,5,true,0
201531319349302513,264360361,UNIVERSITY CIRCLE INCORPORATED,340823464,9,1,100000
201521349349304027,570705675,UNIVERSITY OF SOUTH CAROLINA,576001153,501(C)(4),1,3319320
201541339349303944,237126805,ROBERT O ANDERSON SCHOOL OF MANAGEMENT - UNIVERSITY OF NEW MEXICO,856000642,STATE OF NEW MEXICO,1,0
201511919349300501,952988463,CU-KC,446000294,0,true,890000
