object_id,ein,FrmAndLnRfrncDsc
201540219349300119,610444671,"Schedule A, Part II, Line 10, Other Income"
201520239349300722,430655867,"SCHEDULE A, PART II, PUBLIC SUPPORT TEST"
201520439349301372,510413351,SCH A
201520429349300812,620484185,"SCHEDULE A, PART I, LINES 2 AND 7"
201520449349302627,133508093,PART I:
201510449349301416,237367633,"Schedule A, Part II, Line 10, Other Income"
201530449349301608,314379435,"SCHEDULE A, PART IV, PUBLIC SUPPORT TEST"
201540449349200764,582019088,"SCHEDULE A, PART IV"
201500479349301665,350868086,"Schedule A, Part II, Line 10, Other Income"
201520479349300827,550683361,"Schedule A, Part II, Line 10"
201520659349300232,750926755,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201510669349300416,620535755,"SCHEDULE A, PART I, LINES 2 AND 7"
201530859349300808,621504678,"SCHEDULE A, PART I, LINES 2 AND 7"
201520839349300532,344431169,"Schedule A, Part II, Line 10, Other Income"
201520839349300532,344431169,"SCHEDULE A, PART II, PUBLIC SUPPORT TEST"
201530879349300513,141338488,PARTS I AND II/PUBLIC CHARITY STATUS AND SUPPORT SCHEDULE:
201530879349300513,141338488,"SCHEDULE A, PART II"
201520989349300612,042104229,"SCHEDULE A, PART II, LINE 10"
201520919349300232,340714818,"SCHEDULE A, PART IV, LIST OF UNUSUAL GRANTS:"
201511049349301106,750827465,"Schedule A, Part II, Line 10, Other Income"
201501049349300220,951643334,"SCHEDULE A, PART II, LINE 10"
201521049349301037,141338562,PARTS I AND II / PUBLIC CHARITY STATUS AND SUPPORT SCHEDULE
201501039349300210,150545841,"Part II, Line 10"
201501039349300305,581363100,"SCHEDULE A, PART I, LINES 2 AND 7"
201531039349300543,620465076,"Schedule A, Part II, Line 10, Other Income"
201521219349300202,310536715,"Schedule A, Part II, Line 10, Other Income"
201521219349300202,310536715,"SCHEDULE A, PART II, EXPLANATION OF FILING"
201541249349300544,042103544,"SCHEDULE A, PART II, LINE 10"
201521269349200952,203894236,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201531699349300633,571102885,"PART II, LINE 10",OTHER INCOME 647
201531639349300228,362167854,"Schedule A, Part II, Line 10, Other Income"
201501289349301260,461192687,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201511349349302786,410711610,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201511329349303711,010211497,"Schedule A, Part II, Line 10"
201511339349303446,061599388,SCHEDULE A PART III:
201511349349303706,430694556,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201501349349303390,041958460,"FORM 990, SCHEDULE A, PART I, LINE 7:"
201511339349303021,381870664,SUPPLEMENTAL INFORMATION
201521319349300612,314379532,"Schedule A, Part II, Line 10, Other Income"
201521349349302022,042103580,"Schedule A, Part II, Line 10, Other Income"
201521349349302022,042103580,"SCHEDULE A, PART II, LINE 16A, PUBLIC SUPPORT"
201521349349303007,390806261,"Schedule A, Part II, Section B, Line 10"
201531339349305548,530196584,"SCHEDULE A, PART II, SECTION B, LINE 10"
201541339349301459,150543659,"Schedule A, Part II, Line 10"
201531319349300538,520643528,SUPPLEMENTAL INFORMATION
201541339349303674,362167725,Additional Supplemental Information - Support Schedule
201531349349302393,840404231,"SCHEDULE A, PART II, SECTION B, LINE 10"
201531349349302798,250965591,"PART I, BOX 2:"
201541319349303034,362177139,SECTION B LINE 10 OTHER INCOME
201541319349303034,362177139,SECTION C LINE 15
201541319349303034,362177139,SCHEDULE A PART II
201531349349303993,550356985,"SCHEDULE A, PART II, PUBLIC SUPPORT TEST"
201541349349307199,550357039,SUPPLEMENTAL INFORMATION
201541969349301369,900790361,"SCHEDULE A, PART I"
201501919349200305,742978327,Pt II Ln 10,"Other Income Part II, Line 10 Description: FUNDRAISING 2013: 12528. 2014: 13414."
201531959349301233,141499946,"SCHEDULE A, PART IV, EXPLANATION OF OTHER INCOME:"
201541949349300909,920166297,"PART II, LINE 10",OTHER INCOME 909
201532029349200508,204253386,"PART II, LINE 10",OTHER INCOME 152
201501479349300605,460224588,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201501479349300605,460224588,"SCHEDULE A, PART I, LINE 2"
201511359349301281,951642394,"SCHEDULE A, PART II, LINE 10"
201501359349303400,141338371,PARTS I AND II/PUBLIC CHARITY STATUS AND SUPPORT SCHEDULE:
201511289349200346,800406815,Support Schedule: Additional Supplemental Information,"Orlando University Inc received 501(c)(3) status on 2011. So no contribution income from 2009 to 2010 on Part II, Section A, Line 1."
201521429349300612,202184996,"PART II, LINE 10"
201531389349300538,582022462,Pt II Ln 10,"Other Income Part III, Line 12 Description: MISC & PUBLICATIONS 2010: 0. 2011: 455. 2012: 3488."
201501359349302485,626001104,"SCHEDULE A, PART I, LINES 2 AND 7"
201531359349302208,204269017,Additional Supplemental Information - Support Schedule
201512259349303116,237008276,"Part IV, Section D, Line 2:",Four of the 14 member board are appointed by the University. The Chancellor appoints one and the remaining three are appointed by the Vice Chancellors.
201512259349303116,237008276,"Part IV, Section E, Line 2a:","The Faculty Club at the University of California San Diego (UCSD) is physically located on the UCSD campus with long term lease from the University. The club was founded in 1988 to provide a place in a central location for colleagues and community to socialize and intellectualize over food in a casual atmosphere of UCSD. Membership in the club is required for participation and is limited to faculty, staff and graduate students as well and retired employees, community members with an interest in the educational and intellectual life of the campus, persons at other select non-profit research institutions, Chancellors Associates and select businesses adding to the educational and intellectual life of the campus (must be approved by 2/3 vote of the board), and campus departments. Luncheon meals are served weekdays and periodic special events scheduled."
201512259349303116,237008276,"Part IV, Section E, Line 2b:",Without the Faculty Club no single space of sufficient size would be available regularly nor meals served. The casual atmosphere and central location of the club serves as a focal point for university employees and supporters. It allows formal and informal gatherings of university colleagues and a meeting place for activities. Some of these activities would continue on an ad hoc basis in the absence of the club but the club was established to facilitate these interactions.
201512259349302526,010681650,Pt II Ln 10,"Other Income Part II, Line 10 Description: OTHER INCOME 2010: 8271. 2011: 13641. 2012: 176267. 2013: 26508. 2014: 18360."
201522529349200212,263118684,"PART II, LINE 10",OTHER INCOME 387
201512749349300831,760765625,"PART IV, SECTION C, LINE 1:",THE MANAGEMENT AND CONTROL OF THE ORGANIZATION IS IN THE HANDS OF THOSE INDIVIDUALS THAT RUN AND OPERATE THE UNIVERSITY. THERE IS NO BOARD OF DIRECTORS PER SE THAT RUNS THE UNIVERSITY.
201522269349303342,264359927,"PART IV, SECTION B, LINE 1","THE SUPPORTED ORGANIZATION, KYUSHU UNIVERSITY, REVIEWS AND APPROVES THE CORPORATION'S ACTIVITY PLAN ANNUALLY."
201512269349301336,541744996,"PART IV, SECTION E, LINE 1C","THE FOUNDATION WAS CREATED TO RECEIVE, ADMINISTER AND DISTRIBUTE FUNDS AND PROPERTY EXCLUSIVELY IN FURTHERANCE OF THE EDUCATIONAL ACTIVITIES AND OBJECTIVES OF OLD DOMINION UNIVERSITY."
201531119349300103,560529933,"SCHEDULE A, PART II"
201521749349300812,111633516,"FORM 990, SCHEDULE A, PART II"
201530219349300608,410693962,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201501969349301380,580566256,"PART II, LINE 10, OTHER INCOME"
201501049349300535,042103545,"SCHEDULE A, PART II, LINE 10"
201501049349301005,250965376,"SCHEDULE A, PART IV, LIST OF UNUSUAL GRANTS:"
201501059349300115,520591623,"Schedule A, Part II, Line 15"
201501319349302345,953909672,"SCHEDULE A, PART II"
201511349349307706,951816009,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201511039349300026,350868158,"Schedule A, Part II, Line 10, Other Income"
201511349349300721,350868188,"Schedule A, Part II, Line 10, Explanation of Other Income:"
201511949349300746,362167817,"Schedule A, Part II, Line 10, Explanation of Other Income:"
201511059349300201,741159753,"SCHEDULE A, PART I, SELECTION OF LINE 2 AND COMPLETION OF PUBLIC SUPPORT TEST"
201511059349300201,741159753,"Schedule A, Part II, Line 10, Other Income"
201510939349300311,010211810,"SCHEDULE A, PART 1, LINE 7"
201511349349304441,160743088,"Schedule A, Part II, Line 10"
201511339349304916,042103638,"Schedule A, Part I, Line 7"
201511339349304916,042103638,"Schedule A, Part II, Line 10"
201521249349300957,470376583,"Schedule A, Part I, Line 7"
201521259349301812,350868107,"Schedule A, Part II, Line 10, Other Income"
201520759349300517,611124267,"Schedule A, Part II, Line 10, Other Income"
201521339349302172,050258809,"SCHEDULE A, PART II, LINE 10"
201520789349300532,591023117,"Schedule A, Part II, Line 10, Other Income"
201520789349300532,591023117,"SCHEDULE A, PART II, EXPLANATION OF FILING"
201521359349304057,570314395,Gross Rents
201521359349304057,570314395,"Schedule A, Part I - Reason for Public Charity Status"
201540489349301704,314379584,"Schedule A, Part II, Line 10, Other Income"
