object_id,ein,FrmAndLnRfrncDsc,ExplntnTxt
201423179349301927,226019101,"Part II-B, Line 1(I)","OTHER LOBBYING ACTIVITIES RETAINER WITH WASHINGTON STRATEGIC CONSULTING, TRAVEL & CONVENTIONS, MEALS & SPECIAL FUNCTIONS AND PAID STAFF OR MANAGEMENT. Also the hospital is a member of the New Jersey Hospital Association, the American Hospital Association, and the AMERICAN MEDICAL REHAB PROVIDERS ASSOCIATION. ALL THREE engage in lobbying efforts on behalf of their member hospitals AND A portion of the dues paid to these organizations has been allocated to lobbying activities performed on behalf of the organization. This allocation amounted to $42,255."
201443179349303604,231352008,"Part I-A, Line 1",The College worked with organizations including trade associations in opposition to proposed legislation that would adversely impact one or more of its designations.
201443179349303609,210634462,"Schedule C, Part II-B, Lines 1G & 1H","During 2013, the Organization incurred the following lobbying expenditures: The organization paid independent firms $207,031 to provide lobbying consulting services and to engage in lobbying efforts on behalf of the organization. The Organization incurred internal expenses for salaries and benefits of $57,400 where its professionals participated in lobbying efforts. The organization was a member of certain industry organizations; all of which engage in lobbying efforts on behalf of their member hospitals. The portion of these dues allocated to lobbying expenditures for 2013 is detailed below and in total is $69,281. New Jersey Council of Teaching Hospitals $36,050 New Jersey Hospital Association $27,731 Hospital Alliance of New Jersey $5,500"
201443159349302919,042104451,"PART II-B, LINE 1:",O'NEILL & ASSOCIATES RETAINED TO PROVIDE GOVERNMENT RELATIONS SERVICES TO REGIS COLLEGE.
201443189349301799,410693962,"PART I-A, LINE 1","MACALESTER COLLEGE IS A MEMBER OF THE MINNESOTA PRIVATE COLLEGE COUNCIL (MPCC), AN ORGANIZATION DESCRIBED IN SECTION 501(C)(4) OF THE INTERNAL REVENUE CODE. MPCC IS AN ASSOCIATION OF PRIVATE NONPROFIT INSTITUTIONS OF HIGHER EDUCATION THAT SERVES A VARIETY OF ITS MEMBERS' SHARED NEEDS, INCLUDING, BUT NOT ONLY NONPARTISAN AND NON-ELECTORAL ADVOCACY FOR PUBLIC POLICY THAT MEETS STUDENTS' NEEDS AND ADVANCES THE INTERESTS OF PRIVATE HIGHER EDUCATION. MACALESTER PAID MEMBERSHIP DUES TO MPCC IN THE AMOUNT OF $127,972 DURING THE FISCAL YEAR. BASED ON FIGURES PROVIDED BY MPCC, $91,564 OF MACALESTER'S DUES WENT, IN PART, TOWARD LOBBYING."
201443189349301864,420680452,"PART II-B, LINE 1:",PAID TO CONSULTING FIRM FOR LOBBYING ACTIVITIES ON BEHALF OF HEALTH CARE.
201403499349301200,237410494,"SCHEDULE C, PART II-B, LINE 1","THE BOSTON GRADUATE SCHOOL OF PSYCHOANALYSIS, INC. HIRED A LOBBYIST TO LOBBY FOR SPECIFIC LEGISLATION AFFECTING THEIR FIELD."
201433219349311983,550526150,"Part II-B, Line 1:","Occasionally, individuals are asked by legislators at both the state and national levels for opinions on certain issues and the process of health-related legislation. At such times, CAMC representatives may hold discussions with legislative officials to present their information and perspectives regarding various health care issues. Such interactions do not typically involve CAMC expressing whether of not they support a particular bill, but rather consist of general discussions related to the pertinent health issues."
201403469349300145,596046500,"SCHEDULE C, PART II-B, LINE 1",FLORIDA INSTITUTE OF TECHNOLOGY CONTRACTED WITH TWO OUTSIDE VENDORS TO SPEAK DIRECTLY TO LEGISLATORS ON ITS BEHALF.
201423239349300212,221487258,OTHER LOBBYING ACTIVITIES,"RETAINER WITH MWW GROUP AND KEYWOOD STRATEGIES LLC, TRAVEL & CONVENTIONS, MEALS & SPECIAL FUNCTIONS, BOOKS AND SUBSCRIPTIONS AND PAID STAFF OR MANAGEMENT."
201433189349300133,560554230,"PART II-B, LINE 1I, LOBBYING ACTIVITIES:",DUES PAID TO CERTAIN ORGANIZATIONS WHICH INCLUDE A PORTION RELATED TO LOBBYING ACTIVITIES.
201433189349308163,141338413,"Part IIB, Line 1i","In 2013, Glens Falls Hospital retained a technical consultant to pursue a change in the Medicare Wage Index. The hospital contracted with a firm that is well versed in government relations in order to communicate to elected officials the financial impact that proposed state and federal legislation will have on the hospital, and to pursue additional funding streams for community services. In 2013, Glens Falls Hospital paid dues to the American Hospital Association of New York, a portion of which went towards lobbying expenses, as determined by the associations."
201403179349306545,111635088,"PART II-B, LINE 1 - LOBBYING ACTIVITIES",AMOUNT REFLECTS PORTION OF TRADE ASSOCIATION DUES WHICH WERE USED FOR LEGISLATIVE LOBBYING ON BEHALF OF THE HEALTHCARE INDUSTRY THOSE TRADE ASSOCIATIONS REPRESENT.
