object_id,ein,FrmAndLnRfrncDsc,ExplntnTxt
201433149349302058,020267883,"SCHEDULE E, LINE 3","THE COLLEGE'S RACIALLY NONDISCRIMINATORY POLICY IS PRINTED ON THE PRINTED ADMISSIONS APPLICATION AND ON ITS WEBSITE UNDER ADMISSIONS APPLICATION. THE COLLEGE EFFECTIVELY CEASED ACCEPTING AND EDUCATING STUDENTS AS OF JUNE 30, 2012."
201443179349303604,231352008,"Schedule E, Part I, Line 3","The non-discrimination policy is published in our brochures, on our admission and matriculation forms, and appears on the College's website as part of its privacy policy."
201443179349303604,231352008,"Schedule E, Part I, Line 4",The American College neither requests nor requires ethnic or gender information from students who are matriculating or enrolling for courses at the graduate or designation level. The American College neither requests nor requires ethnic or gender information from students who are applying for scholarships to its designation or graduate programs.
201443159349302919,042104451,"SCHEDULE E, PART I, LINE 3","THROUGH ADVERTISEMENT IN GENERAL CIRCULATION NEWSPAPERS, JOURNALS, CATALOG OFFERS, NATIONAL COLLEGE & UNIVERSITY PUBLICATIONS AND OTHER MEANS. ALSO, PROGRAMS INCLUDE IN THEIR SOLICITATION MATERIAL, A SUMMARY STATEMENT OF THE NON-DISCRIMINATION POLICY."
201443159349302919,042104451,"SCHEDULE E, PART I, LINE 6","REGIS COLLEGE RECEIVES AND PARTICIPATES IN VARIOUS GOVERNMENTAL FINANCIAL ASSISTANCE PROGRAMS COMMON TO COLLEGES AND UNIVERSITIES SUCH AS; NATIONAL DIRECT STUDY LOAN PROGRAM, BASIC EDUCATIONAL OPPORTUNITY GRANTS, SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS, AND WORK STUDY PROGRAMS. NO FUNDS HAVE BEEN REVOKED OR SUSPENDED AT ANY TIME."
201403249349300010,237034324,"SCHEDULE E, PART I, LINE 3",THE UNIVERSITY DISCLOSES ITS NONDISCRIMINATION POLICY IN THE ACADEMIC CATALOG AVAILABLE IN PRINT OR ONLINE.
201403249349300010,237034324,"SCHEDULE E, PART I, LINE 6","THE MAJORITY OF THE UNIVERSITY'S FEDERAL GRANTS ARE PELL GRANTS AND FEDERAL DIRECT LOANS (SUBSIDIZED AND UNSUBSIDIZED LOANS); HOWEVER, IT ALSO RECEIVES SEOG GRANTS. THE GOVERNMENT AID IS FOR THE UNIVERSITY'S STUDENTS AND UNIVERSITY RECEIVES THE FUNDS BASED UPON STUDENTS' ELIGIBILITY."
201443189349301799,410693962,"SCHEDULE E, PART I, LINE 3","MACALESTER COLLEGE PUBLISHES ITS RACIALLY NONDISCRIMINATORY POLICY ON ITS WEBSITE, IN ITS COLLEGE CATALOG, AND ON ITS APPLICATION FOR ADMISSION."
201443189349301799,410693962,"SCHEDULE E, PART I, LINE 6","MACALESTER COLLEGE RECEIVES TITLE IV FUNDING FROM THE UNITED STATES DEPARTMENT OF EDUCATION (I.E. PELL, SEOG, FEDERAL WORK STUDY, DIRECT LOAN PROGRAM, AND PERKINS LOAN PROGRAM)."
201403499349301200,237410494,"SCHEDULE E, LINE 3",A STATEMENT OF NONDRISCRIMINATION IS PRINTED IN EACH BULLETIN THAT IS PRODUCED BY THE SCHOOL. THIS BULLETIN INCLUDES AN APPLICATION FOR ADMISSION. THE STATEMENT IS ALSO PUBLISHED ON THE SCHOOL'S WEB SITE.
