object_id,ein,NndscrmntryPlcyStmtInd,PlcyStmtInBrchrsEtcInd,PlcyPblczdVBrdcstMdInd,MntnRclCmpRcsInd,MntnSchlrshpsRcsInd,MntnCpyOfBrchrsEtcInd,MntnCpyOfAllSlInd,DscrmntRcStdntsRghtsInd,DscrmntRcAdmssPlcyInd,DscrmntRcEmplmFcltyInd,DscrmntRcSchsInd,DscrmntRcEdcPlcyInd,DscrmntRcUsOfFcltsInd,DscrmntRcAthltPrgInd,DscrmntRcOthrActyInd,GvrnmntFnnclAdRcvdInd,GvrnmntFnnclAdRvkdInd,CmplncWthRvPrc7550Ind
201433149349302058,020267883,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201443179349303604,231352008,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
201443159349302919,042104451,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403249349300010,237034324,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201443189349301799,410693962,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403499349301200,237410494,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201403529349300205,580566143,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423529349300412,370661211,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201403469349300145,596046500,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201443399349300804,410970173,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201423119349302207,330018105,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201423429349300102,560547511,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423519349300952,610660795,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201423129349300002,566049935,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201402879349300940,840798089,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
