object_id,ein,OrgnztnBsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,FndrsrActvtyInf_ActvtyTxt,FndrsrActvtyInf_FndrsrCntrlOfFndsInd,FndrsrActvtyInf_GrssRcptsAmt,FndrsrActvtyInf_RtndByCntrctrAmt,FndrsrActvtyInf_NtTOrgnztnAmt
201443179349303604,231352008,Harris Connect,1511 Rt 22 - Suite C-25,Brewster,NY,10509,Phone solicitation,0,77347,124463,-47116
201443179349303604,231352008,Schultz & Williams Inc,325 Chestnut St Suite 700,Philadelphia,PA,191062422,Campaign consulting,0,0,15515,-15515
201443159349302919,042104451,DEVELOPMENT GUILD,233 HARVARD STREET SUITE 107,BROOKLINE,MA,02446,CONSULTING,0,0,122344,0
201403529349300205,580566143,Dr John S Burd,2900 Club Place,Gainesville,GA,30506,Consultant/Contractor soliciting gifts of art,0,802100,24000,778100
201403529349300205,580566143,Coxe Curry & Associates,191 Peachtree Street NE,Atlanta,GA,30303,Consultant for Capital Campaign,0,0,128906,-128906
201423529349300507,611312812,STEVE HADDEN,PO BOX 4164,MIDWAY,KY,40347,CONSULTANT: FUND DEVELOPMENT,0,38050,12800,25250
201423529349300507,611312812,ASHLEY ROUNDTREE & ASSOCIATES,2525 NELSON MILLER PARKWAY,LOUISVILLE,KY,40223,CONSULTANT: FUND DEVELOPMENT,0,0,12000,-12000
201423519349300952,610660795,JOHNSON GROSSNICKLE & ASSOCIATES INC,29 S PARK BLVD,GREENWOOD,IN,46143,STRATEGIC,0,0,35816,-35816
201443189349300214,410698301,DONALD A CAMPBELL & COMPANY,ONE EAST WACKER DRIVE,CHICAGO,IL,60601,PHILANTHROPIC MARKET STUDY - CONSULTING,0,0,73906,0
201443189349305919,480554341,THE TIMOTHY GROUP,1663 SUTHERLAND DR SE,GRAND RAPIDS,MN,495084904,TELETHON,0,760264,38205,722059
201403219349311100,204075974,NONPROFIT ADVANTAGE INC,17707 14TH AVE NW,SHORELINE,WA,98177,"EMAIL,MAIL, AND PHONE CAMPAIGN",0,131523,19123,112400
201433239349300603,750827421,The Pursuant Group,PO BOX 203421,Dallas,TX,753203421,Process Direct Mail,false,2122146,496074,1626072
201422749349301027,630338081,DOUG TURNER,144 LONG LEAF LANE,EATONTON,GA,31024,CAPITAL CAMPAIGN CONSULTANT,0,196030,65000,0
201422749349301027,630338081,GIVING VENTURES,456 HOLLAND LAKES DRIVE N,PELHAM,AL,35124,GIFT AND ESTATE DESIGN SPECIALIST CONSULTANT,0,0,48000,0
201402559349300200,350715530,WILSON BENNETT TECHNOLOGY,PHONATHON,false,196266,45000,151266
201402869349300200,480548361,BRAREN MULDER GERMAN ASSOCIATION,PO BOX 309,BETTENDORF,IA,52722,CAPITAL CAMPAIGN CONSULTING,0,0,6000,-6000
201402869349300200,480548361,STEWARDSHIP COUNSELING,12 PARKVIEW RD,HESSTON,KS,67062,CONSULT WITH INDIVIDUALS REGARDING ESTATE PLANNING,0,0,13538,-13538
201412879349301026,630329409,JAMES NORWOOD,6366 EASTWOOD GLEN PLACE,MONTGOMERY,AL,36117,GRANT WRITER,0,10000,13200,-3200
201433179349304828,362167773,THOMAS R KENNEDY & ASSOCIATES,9896 WEST 74TH WAY,ARVADA,CO,80005,CONTACTS DONORS TO SOLICIT FUNDS,1,0,49552,0
201433179349304828,362167773,RUFFALO CODY,PO BOX 3018,CEDAR RAPIDS,IA,524063018,STAFF AND MANAGEMENT OF PHONATHON,0,0,85767,0
201433179349304828,362167773,TER MOLEN WATKINS & BRANDT,TWO NORTH RIVERSIDE PLAZA SUITE 103,CHICAGO,IL,60606,CONTACTS DONORS TO SOLICIT FUNDS,0,0,24068,0
201423149349300402,362167792,Pursuant Group,PO Box 203421,Plano,TX,75320,Direct mail,false,11587121,651462,10935659
201423149349300402,362167792,Timothy Group,1663 Sutherland,Grandrapid,MI,49508,Consulting,false,821973,95000,726973
201423149349300402,362167792,Douglas Shaw,1717 Park St,Naperville,IL,60563,Consulting,false,83533,53500,30033
201423149349300402,362167792,DonorCare,4535 Strausser,N Canton,OH,44720,Phone,false,113624,44451,69173
201412939349300126,592961536,CARLTON & CO,101 FEDERAL ST,BOSTON,MA,02110,CAMPAIGN CNSLTG,false,13782
201412939349300126,592961536,SOFTWARE INC,132 WELSH ROAD,HORSHAM,PA,19044,FR SOFTWARE SVC,false,5408
201403029349300540,150532053,PROJECT PLUS INC,145 W 45TH STREET SUITE 300,NEW YORK,NY,10036,FUNDRAISING CONSULTING,0,431531,55000,90100
201413009349301051,420680460,BENTZ WHALEY FLESSNER INC,7251 OHMS LANE,MINNEAPOLIS,MN,55439,CONSULTING,0,0,23250,-23250
201412959349301051,350868181,Langley Innovations,10958 Bloomingdale Dr,Rockville,MD,20852,Consulting,0,0,59688,-59688
201403159349302465,251065148,CLEARWORD COMMUNICATIONS GROUP INC,12841 BRAEMER VILLAGE PLAZA 51,BRISTOW,VA,20136,DIRECT MAILING,0,0,0,42653
201403159349302465,251065148,MIND OVER MEDIA,2840 LIBERTY AVENUE STE 402,PITTSBURGH,PA,15222,DIRECT MAILING,0,0,0,98547
201433469349300143,237069575,Kathryn Cousins,2223 74th St,East Elmhurst,NY,11370,Personal contact,0,0,99685,-99685
201413449349300111,530196583,TELECOMP,3375 BRIGHTON HENRIETTATOWNLINE RD,ROCHESTER,NY,14623,PHONE PROGRAM,false,324545,230170,94375
201413449349300111,530196583,SHARON HENRY & COMPANY,42889 KIRLAND STREET,ASHBURN,VA,20147,CARDINALS' DINNER,false,1185207,23276,1161931
201413449349300111,530196583,THE STELTER COMPANY,10435 NEW YORK AVE,DES MONIES,IN,50322,PLANNED GIVING NEWSLETTER,false,0,10841,-10841
201403529349300400,741357323,STREET FUNDLLC,9 Chelsea Way,SanAntonio,TX,78209,CAPITAL CAMPAIG,false,120000
201443189349306734,550357056,ALEXANDER-HAAS,3520 PIEDMONT ROAD,SUITE 300,ATLANTA,GA,30305,CONSULTING,false,59500,-59500
201413469349300116,570324915,Elizabeth Wolff,23 Oakmen Ct E,Columbia,SC,29209,Grant writing,0,0,45150,-45150
201413469349300116,570324915,Kathy Randall,119 Briarwood Lane,Summerville,SC,294833707,Fundraising,0,0,29886,-29886
201413469349300116,570324915,Corporate Developmint,49 Calhoun St,Charleston,SC,29401,Fundraising consultatant,0,0,75843,-75843
201423389349300602,630329409,JAMES NORWOOD,6366 EASTWOOD GLEN PLACE,MONTGOMERY,AL,36117,GRANT WRITER,0,10000,13200,-3200
201413369349300501,420680408,McAllister & Quinn,1030 15th St NW Ste 590 West,Washington,DC,20005,Grantwriting services,0,0,97367,-97367
201413369349300501,420680408,The Stelter Company,10435 New York Ave,Des Moines,IA,50322,Planned giving website and newsletter,0,0,13954,-13954
201413159349301026,426081293,BRAREN MULDER GERMAN ASSOCIATES,326 W 3RD STREET 800,DAVENPORT,IA,528011220,FUNDRAISING CONSULTING,0,0,38005,-38005
201402949349300735,561065978,FINANCIAL PLANNING MINISTRY,2010 MAIN STREET,IRVINE,CA,926147265,"A PROGRAM TO ASSIST IN ""PLANNED GIVING"" BY SETTING UP AN EST",0,0,33780,-33780
