Evnt1Nm|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Name of event no.1"
Evnt2Nm|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Name of event no.2"
OthrEvntsTtlCnt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Other events: total number"
GrssRcptsEvnt1Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Gross receipts, event no.1"
GrssRcptsEvnt2Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Gross receipts, event no.2"
GrssRcptsOthrEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Gross receipts, other events"
GrssRcptsTtlAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Gross receipts, total"
DrctExpnsSmmryEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Direct expense summary"
NtIncmSmmryAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Net income summary"
ChrtblCntrEvnt1Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Charitable contributions, event no.1"
ChrtblCntrEvnt2Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Charitable contributions, event no.2"
ChrtblCntrOthrEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Charitable contributions, other events"
ChrtblCntrbtnsTtAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Charitable contributions, total"
GrssRvnEvnt1Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Gross revenue, event no.1"
GrssRvnEvnt2Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Gross revenue, event no.2"
GrssRvnOthrEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Gross revenue, other events"
GrssRvnTtlEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Gross revenue, total"
CshPrzsEvnt1Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Cash prizes, event no.1"
CshPrzsEvnt2Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Cash prizes, event no.2"
CshPrzsOthrEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Cash prizes, other events"
CshPrzsTtlEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Cash prizes, total"
NnCshPrzsEvnt1Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Non-cash prizes, event no.1"
NnCshPrzsEvnt2Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Non-cash prizes, event no.2"
NnCshPrzsOthrEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Non-cash prizes, other events"
NnCshPrzsTtlEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Non-cash prizes, total"
RntFcltyCstsEvnt1Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Rent or facility costs, event no.1"
RntFcltyCstsEvnt2Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Rent or facility costs, event no.2"
RntFcltyCstsOthrEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Rent or facility costs, other events"
RntFcltyCstsTtlEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Rent or facility costs, total"
FdAndBvrgEvnt1Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Food and beverage expenses, event no.1"
FdAndBvrgEvnt2Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Food and beverage expenses, event no.2"
FdAndBvrgOthrEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Food and beverage expenses, other events"
FdAndBvrgTtlEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Food and beverage costs, total"
EntrtnmntEvnt1Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Entertainment expenses, event no.1"
EntrtnmntEvnt2Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Entertainment expenses, event no.2"
EntrtnmntOthrEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Entertainment expenses, other events"
EntrtnmntTtlEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Entertainment costs, total"
OthrDrctExpnssEvnt1Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Other direct expenses, event no.1"
OthrDrctExpnssEvnt2Amt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Other direct expenses, event no.2"
OthDrctExpnssOthrEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Other direct expenses, other events"
OthDrctExpnssTtlEvntsAmt|"Complete if the organization answered ""Yes"" to Form 990, Part IV, line 18, or reported more than $15,000 on Form 990-EZ, line 6a; Other direct expenses, total"
