SkdG_LcnsSspnddEtcInd|Were any gaming licenses revoked, suspended, or terminated during the tax year?
SkdG_ExplntnIfYsTxt|Explanation if license revoked, suspended, or termination
SkdG_GmngWthNnmmbrsInd|Does organization operate gaming activities with nonmembers?
SkdG_MmbrOfOthrEnttyInd|Is organization formed to administer charitable gaming?
SkdG_GmngOwnFcltyPct|Percentage of gaming in own facility
SkdG_GmngOthrFcltyPct|Percentage of gaming in other facility
PrsnsWthBksUSAddrss_AddrssLn2Txt|US address of gaming records keeper; Address line 2
PrsnsWthBksUSAddrss_ZIPCd|US address of gaming records keeper; ZIP code
PrsnsWthBksFrgnAddrss_AddrssLn1Txt|Foreign address of gaming records keeper; Address line 1
PrsnsWthBksUSAddrss_AddrssLn1Txt|US address of gaming records keeper; Address line 1
PrsnsWthBksFrgnAddrss_FrgnPstlCd|Foreign address of gaming records keeper; Postal code
PrsnsWthBksUSAddrss_SttAbbrvtnCd|US address of gaming records keeper; State
PrsnsWthBksNm_BsnssNmLn2Txt|Business name of gaming records keeper; Business name line 2
PrsnsWthBksFrgnAddrss_PrvncOrSttNm|Foreign address of gaming records keeper; Province or state
PrsnsWthBksNm_BsnssNmLn1Txt|Business name of gaming records keeper; Business name line 1
PrsnsWthBksFrgnAddrss_AddrssLn2Txt|Foreign address of gaming records keeper; Address line 2
PrsnsWthBksUSAddrss_CtyNm|US address of gaming records keeper; City
PrsnsWthBksFrgnAddrss_CtyNm|Foreign address of gaming records keeper; City
PrsnsWthBksFrgnAddrss_CntryCd|Foreign address of gaming records keeper; Country
SkdG_IndvdlWthBksNm|Person name of gaming records keeper
SkdG_CntrctWth3rdPrtyFrGmRvInd|Is there a third party contract for gaming revenue?
SkdG_GmngRvnRtnBy3PrtyAmt|Amount of gaming revenue retained by 3rd party
SkdG_GmngRvnRcvdByOrgAmt|Amount of gaming revenue received by organization
SkdG_ThrdPrtyPrsnNm|Person name of third party
ThrdPrtyFrgnAddrss_AddrssLn2Txt|Foreign address of third party; Address line 2
ThrdPrtyUSAddrss_AddrssLn2Txt|US address of third party; Address line 2
ThrdPrtyUSAddrss_ZIPCd|US address of third party; ZIP code
ThrdPrtyUSAddrss_SttAbbrvtnCd|US address of third party; State
ThrdPrtyUSAddrss_CtyNm|US address of third party; City
ThrdPrtyBsnssNm_BsnssNmLn1Txt|Business name of third party; Business name line 1
ThrdPrtyFrgnAddrss_CtyNm|Foreign address of third party; City
ThrdPrtyFrgnAddrss_CntryCd|Foreign address of third party; Country
ThrdPrtyUSAddrss_AddrssLn1Txt|US address of third party; Address line 1
ThrdPrtyBsnssNm_BsnssNmLn2Txt|Business name of third party; Business name line 2
ThrdPrtyFrgnAddrss_FrgnPstlCd|Foreign address of third party; Postal code
ThrdPrtyFrgnAddrss_AddrssLn1Txt|Foreign address of third party; Address line 1
ThrdPrtyFrgnAddrss_PrvncOrSttNm|Foreign address of third party; Province or state
GmngMngrBsnssNm_BsnssNmLn1Txt|Gaming manager business name; Business name line 1
SkdG_GmngMngrIsEmplyInd|Gaming manager is an employee
SkdG_GmngMngrPrsnNm|Gaming manager person name
SkdG_GmngMngrCmpnstnAmt|Gaming manager compensation
GmngMngrBsnssNm_BsnssNmLn2Txt|Gaming manager business name; Business name line 2
SkdG_GmngMngrIsIndCntrctInd|Gaming manager is an independent contractor
SkdG_GmngMngrSrvcsPrvTxt|Gamaing manager services provided
SkdG_GmngMngrIsDrctrOfcrInd|Gaming manager is a director or officer
SkdG_ChrtblDstrbtnRqrInd|Charitable distributions required?
SkdG_DstrbtdAmt|Amount distributed
SkdG_LcnsdInd|Is organization licensed in each state?
SkdG_ExplntnIfNTxt|Explanation if no license
GmngInfrmtn_GrssRvnBngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Gross revenue, bingo
