object_id,ein,FrmAndLnRfrncDsc,ExplntnTxt
201443159349302919,042104451,(F) DESCRIPTION OF PURPOSE:,REFINANCE EXISTING BORROWING AND TO PROVIDE FOR MASTER PLAN CONSTRUCTION AND RENOVATION.
201443189349301799,410693962,RetDoc1053100001,DATE REBATE COMPUTATION PERFORMED,ISSUER NAME: MN HIGHER EDUCATION FACILITIES AUTHORITY DATE THE REBATE COMPUTATION WAS PERFORMED: 03/01/2007 ISSUER NAME: MN HIGHER EDUCATION FACILITIES AUTHORITY DATE THE REBATE COMPUTATION WAS PERFORMED: 03/01/2012
201443189349300214,410698301,DATE REBATE COMPUTATION PERFORMED,ISSUER NAME: MN HIGHER EDUCATION FACILITIES AUTHORITY DATE THE REBATE COMPUTATION WAS PERFORMED: 11/01/2012
201423189349306322,591092732,"SCHEDULE K, PART IV, ARBITRAGE, LINE 2C:","ON DECEMBER 19, 2012 THERE WAS A REBATE COMPUTATION PERFORMED INDICATING NO REBATE WAS DUE."
201422749349301027,630338081,PART V,"ALTHOUGH THE ORGANIZATION DID NOT HAVE POST-ISSUANCE COMPLIANCE POLICIES IN PLACE DURING THE YEAR, AT YEAR-END THE ORGANIZATION WAS WORKING TOWARD ESTABLISHING THE APPROPRIATE POST-ISSUANCE COMPLIANCE POLICIES. ALL PROCEEDS FROM THE BOND ISSUANCE WERE USED IN FYE MAY 31, 2012 FOR THE ORGANIZATION'S EXEMPT PURPOSE."
201423149349302187,420686467,RetDoc1053100001,DATE REBATE COMPUTATION PERFORMED,"ISSUER NAME: CITY OF ROBINS, IOWA DATE THE REBATE COMPUTATION WAS PERFORMED: 01/22/2010 ISSUER NAME: CITY OF ROBINS, IOWA DATE THE REBATE COMPUTATION WAS PERFORMED: 01/22/2010 ISSUER NAME: CITY OF HIAWATHA, IOWA DATE THE REBATE COMPUTATION WAS PERFORMED: 12/08/2008 ISSUER NAME: CITY OF ROBINS, IOWA DATE THE REBATE COMPUTATION WAS PERFORMED: 02/28/2011 ISSUER NAME: CITY OF ROBINS, IOWA DATE THE REBATE COMPUTATION WAS PERFORMED: 01/09/2013"
201423149349302187,420686467,RetDoc1053100001,"SCHEDULE K, PART I, COLUMN F, LINE A, ENTITY 1",REISSUANCE OF 2002 BONDS (4/8/2002) WHICH WERE USED FOR CONSTRUCTION/RENOVATION
201423149349302187,420686467,RetDoc1053100001,"SCHEDULE K, PART I, COLUMN F, LINE B, ENTITY 1",REISSUANCE OF 2004 BONDS (6/29/2004) WHICH WERE USED TO REFUND PRIOR ISSUE (6/6/2000) AND FOR CONSTRUCTION/RENOVATION
201423149349302187,420686467,RetDoc1053100001,"SCHEDULE K, PART I, COLUMN F, LINE D, ENTITY 1","REFUND PRIOR ISSUE (7/15/1998), CONSTRUCTION/RENOVATION"
201423149349302187,420686467,RetDoc1053100001,"SCHEDULE K, PART II, LINE 3, ENTITY 1","THE TOTAL PROCEEDS DO NOT AGREE TO THE ISSUE PRICE IN PART 1, COLUMN(E) DUE TO INVESTMENT EARNINGS."
