object_id,ein,FrmAndLnRfrncDsc,ExplntnTxt
201423179349301927,226019101,"FORM 990, PART VI, SECTION A, LINE 3","The organization uses outside management services for the following departments: Pharmacy, BIOMED SERVICES, Hemodialysis, Housekeeping management (Includes housekeeping, linen & patient transport) AND MRI SERVICES."
201423179349301927,226019101,"FORM 990, PART VI, SECTION A, LINE 6","The organization has JFK HEALTH SYSTEM, INC. AS ITS SOLE member."
201423179349301927,226019101,"FORM 990, PART VI, SECTION A, LINE 7B",CERTAIN decisions of the governing body of the organization are subject to approval by the member.
201423179349301927,226019101,"FORM 990, PART VI, SECTION B, LINE 11","An Ad-hoc Committee, which includes the Chairman of the Audit & Compliance Committee and a selected designee of the Audit and Compliance Committee as well as designees from the Finance, Legal and Audit and Compliance departments, review the IRS 990 Tax Returns with EisnerAmper LLP, the tax accountant for JFK Health System, Inc. During this review, all comments and recommendations that are made are addressed by the Finance, Legal, and Audit and Compliance departments along with EisnerAmper. The final revised drafts are reviewed by the Ad-hoc Committee to ensure all comments and recommendations were addressed in the final drafts. The Audit and Compliance committee has given the Ad-hoc Committee the authority to approve the IRS 990 Tax Returns. Once the IRS 990 Tax Returns are approved by the Ad-hoc Committee, all Board members are sent an e-mail with instructions on how to access the respective IRS 990 Tax Returns for their review and comments for 4 days on a secure website provided by EisnerAmper LLP. At the end of the 4 day review period, and after any comments have been addressed, the IRS 990 Tax Returns are finalized and filed. Also, after the IRS 990 Tax Returns are filed, the returns are posted on the JFK Health System Board Portal."
201423179349301927,226019101,"FORM 990, PART VI, SECTION B, LINE 12C","On an annual basis, Conflict of Interest Disclosure Statements are distributed to all Board Members and employees that are department head and higher levels. All disclosures are reviewed by the Compliance Officer and the Chair of the JFK Audit and Compliance Committee. Any potential conflict of interest is brought to the said Committee for review and consideration and any appropriate action deemed necessary pursuant to the Conflict of Interest policy."
201423179349301927,226019101,"FORM 990, PART VI, SECTION B, LINE 15","THE JFK BOARD OF DIRECTORS HAS DULY APPOINTED AN EXECUTIVE COMPENSATION COMMITTEE (THE ""COMMITTEE"") THAT IS RESPONSIBLE FOR THE REVIEW AND APPROVAL OF ALL COMPENSATION AND BENEFITS PROVIDED TO EXECUTIVE MANAGEMENT OF THE ORGANIZATION. THE COMMITTEE HAS ADOPTED A WRITTEN EXECUTIVE COMPENSATION PHILOSOPHY STATEMENT AND AN EXECUTIVE COMPENSATION COMMITTEE CHARTER. THE COMMITTEE FOLLOWS THE PROCEDURES DESCRIBED IN THE PHILOSOPHY STATEMENT AND THE CHARTER WHEN IT REVIEWS AND APPROVES THE COMPENSATION AND EMPLOYEE BENEFITS PROVIDED TO THE ORGANIZATION'S SENIOR MANAGEMENT, INCLUDING THE PRESIDENT AND CHIEF EXECUTIVE OFFICER AND THE CHIEF FINANCIAL OFFICER. THE COMMITTEE'S REVIEW ANALYZES EVERY ELEMENT OF COMPENSATION, INCLUDING CURRENT AND DEFERRED COMPENSATION, AND BENEFITS, INCLUDING QUALIFIED AND NON-QUALIFIED BENEFITS. THE COMMITTEE CONDUCTS ITS REVIEW AND APPROVAL PROCESS AT LEAST ANNUALLY, AND APPROVES COMPENSATION AND BENEFITS ONLY TO THE EXTENT THAT THE COMMITTEE HAS CONCLUDED THAT THE TOTAL COMPENSATION AND BENEFITS CONSTITUTE NO MORE THAN REASONABLE COMPENSATION. THE COMMITTEE CONSISTS ENTIRELY OF INDEPENDENT MEMBERS OF THE JFK HEALTH SYSTEM BOARD, THE COMMITTEE REVIEWS IN ADVANCE INDEPENDENT DATA SHOWING THE COMPENSATION PROVIDED BY NON-PROFIT ORGANIZATIONS FOR FUNCTIONALLY SIMILAR POSITIONS, AND THE COMMITTEE PREPARES A TIMELY AND THOROUGH WRITTEN RECORD OF ITS DELIBERATIONS AND CONCLUSIONS. ASSISTING THE COMMITTEE IS AN OUTSIDE COMPENSATION CONSULTANT ALONG WITH OUTSIDE LEGAL COUNSEL. AS A RESULT, THE COMMITTEE'S REVIEW PROCESS IS DESIGNED TO SATISFY THE PROCEDURAL CRITERIA NECESSARY TO QUALIFY FOR THE REBUTTABLE PRESUMPTION OF REASONABLENESS UNDER THE FEDERAL INCOME TAX LAW INTERMEDIATE SANCTIONS RULES."
201423179349301927,226019101,"FORM 990, PART VI, SECTION C, LINE 19",THE ORGANIZATION'S CONSOLIDATED FINANCIAL STATEMENTS ARE POSTED ON THE JFK HEALTH SYSTEM WEBSITE; ANY OTHER PUBLIC INFORMATION IS AVAILABLE UPON REQUEST.
201423179349301927,226019101,"FORM 990, PART XI, LINE 9, CHANGES IN NET ASSETS","PENSION/POST RETIREMENT LIABILITY ADJUSTMENT 24,004,308 TRANSFERS TO AFFILIATES -4,842,268 CHANGE IN BENEFICIAL INTEREST IN NET ASSETS OF JFK FOUNDATION -660,871 PROVISION SETTLEMENT CHARGE -6,735,287 TOTAL TO FORM 990, PART XI, LINE 9 11,765,882"
201423179349301927,226019101,"FORM 990, PART XII, QUESTION 2C",THE PROCESS HAS NOT CHANGED SINCE LAST YEAR. JFK HEALTH SYSTEM HAS A COMMITTEE THAT ASSUMES RESPONSIBILTY FOR OVERSIGHT OF THE AUDIT OF ITS FINANCIAL STATEMENTS AND SELECTION OF AN INDEPENDENT ACCOUNTANT.
201423179349301927,226019101,JFK MEDICAL CENTER BACKGROUND,"JFK MEDICAL CENTER (""JFK"") IS A GENERAL MEDICAL AND SURGICAL HOSPITAL. JFK IS RECOGNIZED BY THE IRS AS AN INTERNAL REVENUE CODE SECTION 501(C)(3) TAX-EXEMPT ORGANIZATION PURSUANT TO ITS CHARITABLE PURPOSES, JFK PROVIDES MEDICALLY NECESSARY HEALTH CARE SERVICES TO ALL INDIVIDUALS IN A NON-DISCRIMINATORY MANNER REGARDLESS OF RACE, COLOR, CREED, SEX, NATIONAL ORIGIN OR ABILITY TO PAY, MOREOVER, JFK OPERATES CONSISTENTLY WITH THE FOLLOWING CRITERIA OUTLINED IN IRS REVENUE RULING 69-545. 1) JFK PROVIDES MEDICALLY NECESSARY HEALTHCARE SERVICES TO ALL INDIVIDUALS REGARDLESS OF ABILITY TO PAY, INCLUDING CHARITY CARE, SELF-PAY, MEDICARE AND MEDICAID PATIENTS. 2) JFK OPERATES AN ACTIVE EMERGENCY ROOM FOR ALL PERSONS, WHICH IS OPEN 24 HOURS A DAY, 7 DAYS A WEEK, 365 DAYS PER YEAR. 3) JFK MAINTAINS AN OPEN MEDICAL STAFF WITH PRIVILEGES AVAILABLE TO ALL QUALIFIED PHYSICIANS. 4) CONTROL OF JFK RESTS WITH ITS BOARD OF TRUSTEES, WHICH IS COMPRISED OF INDEPENDENT CIVIC LEADERS AND OTHER PROMINENT MEMBERS OF THE COMMUNITY. 5) SURPLUS FUNDS ARE USED TO IMPROVE THE QUALITY OF PATIENT CARE, EXPAND AND RENOVATE FACILITIES AND ADVANCE MEDICAL CARE PROGRAMS AND ACTIVITIES. THE OPERATIONS OF JFK AS SHOWN THROUGH THE FACTORS OUTLINED ABOVE AND OTHER INFORMATION CONTAINED HEREIN, CLEARLY DEMONSTRATE THAT THE USE AND CONTROL OF JFK FOR THE BENEFIT OF THE PUBLIC AND THAT NO PART OF THE INCOME OR NET EARNINGS OF THE ORGANIZATION INURES TO THE BENEFIT OF ANY PRIVATE INDIVIDUAL NOR IS ANY PRIVATE INTEREST BEING SERVED OTHER THAN INCIDENTALLY."
