RcptOfIntAnntsRntsRyltsInd|Receipt of interest, annuities, rents, royalties?
GftGrntOrCpCntrTOthOrgInd|Gift, grant, or capital contribution to other organization?
GftGrntCpCntrFrmOthOrgInd|Gift, grant, or capital contribution from other organization?
LnsOrGrntsTOthrOrgInd|Loans or loan guarantees to or for other organization?
LnsOrGrntsFrmOthOrgInd|Loans or loan guarantees by other organization?
DvRltdOrgnztnInd|Dividends from related organization(s)? (Y-N)
AsstSlTOthrOrgInd|Sale of assets to other organization?
AsstPrchsFrmOthrOrgInd|Purchase of assets from other organization?
AsstExchngInd|Exchange of assets?
RntlOfFcltsTOthOrgInd|Lease of facilities, equipment, or other assets to other organizations?
RntlOfFcltsFrmOthOrgInd|Lease of facilities, equipment, or other assets from other organizations?
PrfrmOfSrvcsFrOthOrgInd|Performance of services or membership or fundraising solicitations for other organizations?
PrfrmOfSrvcsByOthrOrgInd|Performance of services or membership or fundraising solicitations by other organizations?
ShrngOfFcltsInd|Sharing of facilities, equipment, mailing lists, other assets, or employees?
PdEmplysShrngInd|Sharing of paid employees?
RmbrsmntPdTOthrOrgInd|Reimbursement paid to other organization for expenses?
RmbrsmntPdByOthrOrgInd|Reimbursement paid by other organization for expenses?
TrnsfrTOthrOrgInd|Other transfer of cash or property to other organization?
TrnsfrFrmOthrOrgInd|Other transfer of cash or property from other organization?
