object_id,ein,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
201532299349302483,581249683,YSY Construction,1351 Klopfer Rd,Juliette,GA,31046,Construction,191379
201532299349302568,030219309,CUMBERLAND CONSULTING GROUP LLC,720 COOL SPRINGS BLVD SUITE 550,FRANKLIN,TN,37067,CONSULTING SERVICES,2557878
201532299349302568,030219309,MORRIS SWITZER ENVIRONMENTS FOR HLT,185 TALCOTT ROAD SUITE 100,WILLISTON,VT,054952039,ARCHITECTURAL SVCS,2111747
201532299349302568,030219309,FARRINGTON CONSTRUCTION CO,4788 SPEAR STREET,SHELBURNE,VT,05482,CONSTRUCTION,2060451
201532299349302568,030219309,DINSE KNAPP MCANDREW,209 BATTERY STREET,BURLINGTON,VT,054020988,LEGAL SERVICES,1189113
201532299349302568,030219309,PAUL FRANK COLLINS,ONE CHURCH STREET,BURLINGTON,VT,05401,LEGAL SERVICES,1188005
201530129349300863,410695509,SODEXO INC & AFFILIATES,4880 PAYSPHERE CTR,CHICAGO,IL,606740001,FOOD SERVICES MGMT,2988136
201530129349300863,410695509,LOEFFLER COMPANIES INC,1101 E 78TH ST,BLOOMINGTON,MN,554201400,PRINTING & MAILING MGMT,654117
201530129349300863,410695509,SANDRA NELSON ADVERTISING,126 N THIRD ST STE 500,MINNEAPOLIS,MN,554011653,ADVERTISING,642123
201530129349300863,410695509,ROYALL & COMPANY,1920 E PARHAM RD,RICHMOND,VA,232282206,ADMISSIONS CONSULTING,427575
201530129349300863,410695509,SEMINARS INTERNATIONAL,55 E MONROE ST SUITE 2870,CHICAGO,IL,60603,TRAVEL SERVICES,375665
201510159349300611,042105776,Pricewater House Coopers,300 Madison Avenue,New York,NY,10017,audit services and refinancing bond services,230950
201510159349300611,042105776,Fiduciary Investment Advisors,300 Madison Ave,Windsor,CT,06095,investment advisors,126632
201510159349301406,350867954,WFF FACILITY SERVICES,211 S JEFFERSON AVE,ST LOUIS,MO,63103,CUSTODIAL SERVICES,822292
201510159349301406,350867954,ESI TECHNOLOGY ADVISORS,6855 HILLSIDE COURT,INDIANAPOLIS,IN,46250,TECHNOLOGY CONSULTING SERVICES,467507
201510159349301406,350867954,FREDERICKS INC,5448 OLD STATE ROAD 132,PENDLETON,IN,46064,CONSTRUCTION SERVICES,313958
201510159349301406,350867954,WR DUNKIN & SON INC,2911 ENTERPRISE DRIVE,ANDERSON,IN,46018,CONSTRUCTION SERVICES,230066
201510159349301406,350867954,LMC SERVICE SOLUTIONS,1023 WEST 38TH STREET,ANDERSON,IN,46013,HEATING/COOLING SERVICES,171071
201500149349300810,560530240,Chartwells Compass Group USA Inc,2400 Yorkmont Rd,Charlotte,NC,28217,Student Food Service Provider,1361397
201500149349300810,560530240,Board of Pensions,Presbyterian Church USA,2000 Market Street,Philadelphia,PA,19103,Administrate University's Health Care Plan,1005246
201500149349300810,560530240,Horizon Coach Lines,1251 W Craighead Rd,Charlotte,NC,28206,Contractor,146254
201500149349300810,560530240,Guide One Insurance,PO Box 14599,Des Moines,IA,503063599,Administrate University's Property Insurance,133260
201500149349300810,560530240,AIG,22427 Network Place,Chicago,IL,60673,Insurance,117902
201500129349300710,131916574,COMPASS GROUP USA INC,2400 YORKMONT ROAD,CHARLOTTE,NC,28217,DINING SERVICES,757640
201500129349300710,131916574,APPLE ROOFING CORP,PO BOX 3105,SYRACUSE,NY,13220,ROOF INSTALLATION,404975
201500129349300710,131916574,BEN MITTIGA CONSTRUCTION CO INC,2123 RT 14N,GENEVA,NY,14456,CONSTRUCTION,302915
201500129349300710,131916574,BOND SCHOENECK AND KING PLLC,ONE LINCOLN CENTER,SYRACUSE,NY,13202,LEGAL SERVICES,245006
201500129349300710,131916574,SENECA SECURITY SERVICE,4922 ROUTE 89,ROMULUS,NY,14541,SECURITY SERVICES,224776
