object_id,ein,FrmAndLnRfrncDsc
201540219349300119,610444671,"Schedule A, Part II, Line 10, Other Income"
201520239349300722,430655867,"SCHEDULE A, PART II, PUBLIC SUPPORT TEST"
201510409349300516,850197752,Pt II Line 10
201510409349300516,850197752,Pt II Line 10
201510409349300516,850197752,Pt II Line 10
201510409349300516,850197752,Pt II Line 10
201510409349300516,850197752,Pt II Line 10
201510409349300516,850197752,Pt II Line 10
201520429349300812,620484185,"SCHEDULE A, PART I, LINES 2 AND 7"
201520449349302627,133508093,PART I:
201500449349301470,951958142,OTHER INCOME
201530449349301608,314379435,"SCHEDULE A, PART IV, PUBLIC SUPPORT TEST"
201500479349301665,350868086,"Schedule A, Part II, Line 10, Other Income"
201520659349300232,750926755,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201510669349300416,620535755,"SCHEDULE A, PART I, LINES 2 AND 7"
201520839349300532,344431169,"Schedule A, Part II, Line 10, Other Income"
201520839349300532,344431169,"SCHEDULE A, PART II, PUBLIC SUPPORT TEST"
201530879349300513,141338488,PARTS I AND II/PUBLIC CHARITY STATUS AND SUPPORT SCHEDULE:
201530879349300513,141338488,"SCHEDULE A, PART II"
201520989349300612,042104229,"SCHEDULE A, PART II, LINE 10"
201520919349300232,340714818,"SCHEDULE A, PART IV, LIST OF UNUSUAL GRANTS:"
201511049349301106,750827465,"Schedule A, Part II, Line 10, Other Income"
201501049349300220,951643334,"SCHEDULE A, PART II, LINE 10"
201521049349301037,141338562,PARTS I AND II / PUBLIC CHARITY STATUS AND SUPPORT SCHEDULE
201501039349300210,150545841,"Part II, Line 10"
201501039349300305,581363100,"SCHEDULE A, PART I, LINES 2 AND 7"
201531039349300543,620465076,"Schedule A, Part II, Line 10, Other Income"
201521189349301172,042103852,"PART 1, LINE 11H(VII):"
201521219349300202,310536715,"Schedule A, Part II, Line 10, Other Income"
201521219349300202,310536715,"SCHEDULE A, PART II, EXPLANATION OF FILING"
201541249349300544,042103544,"SCHEDULE A, PART II, LINE 10"
201531639349300228,362167854,"Schedule A, Part II, Line 10, Other Income"
201511349349302786,410711610,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201511329349303711,010211497,"Schedule A, Part II, Line 10"
201511349349303706,430694556,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201511339349302241,946135772,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201501349349303390,041958460,"FORM 990, SCHEDULE A, PART I, LINE 7:"
201521319349300612,314379532,"Schedule A, Part II, Line 10, Other Income"
201521349349302022,042103580,"Schedule A, Part II, Line 10, Other Income"
201521349349302022,042103580,"SCHEDULE A, PART II, LINE 16A, PUBLIC SUPPORT"
201521349349303007,390806261,"Schedule A, Part II, Section B, Line 10"
201531339349305548,530196584,"SCHEDULE A, PART II, SECTION B, LINE 10"
201541339349301459,150543659,"Schedule A, Part II, Line 10"
201531319349300538,520643528,SUPPLEMENTAL INFORMATION
201541339349303674,362167725,Additional Supplemental Information - Support Schedule
201531349349302393,840404231,"SCHEDULE A, PART II, SECTION B, LINE 10"
201531349349305548,610447250,Additional Supplemental Information - Support Schedule
201531349349302798,250965591,"PART I, BOX 2:"
201541319349303034,362177139,SECTION B LINE 10 OTHER INCOME
201541319349303034,362177139,SECTION C LINE 15
201541319349303034,362177139,SCHEDULE A PART II
201531349349303993,550356985,"SCHEDULE A, PART II, PUBLIC SUPPORT TEST"
201541349349307199,550357039,SUPPLEMENTAL INFORMATION
201521969349301517,640306253,"Page 1, Part I, Line 11h, Column (IV):"
201501479349300605,460224588,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201501479349300605,460224588,"SCHEDULE A, PART I, LINE 2"
201511359349301281,951642394,"SCHEDULE A, PART II, LINE 10"
201501359349303400,141338371,PARTS I AND II/PUBLIC CHARITY STATUS AND SUPPORT SCHEDULE:
201531359349306928,131693134,"PART II, LINE 10"
201501359349302485,626001104,"SCHEDULE A, PART I, LINES 2 AND 7"
201502239349300610,340714460,"Schedule A, Section A, Line 6","Hope Lodge is located close to University Hospitals, one of the Medical"
201502239349300610,340714460,"Schedule A, Section B, Line 2",By providing electrical service to Hope Lodge (part of American Cancer
201532519349300318,942795928,"Schedule A, Part II, Line 10","Consists of therapy sessions, workshop and classes, tuition collected, speaker fees and net inventory sales of instructional books and DVDs."
201532519349300318,942795928,"Schedule A, Part III, Line 19a",Qualifies as a publicly supported organization based on the 33 1/3% support test.
201531119349300103,560529933,"SCHEDULE A, PART II"
201521749349300812,111633516,"FORM 990, SCHEDULE A, PART II"
201530219349300608,410693962,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201501969349301380,580566256,"PART II, LINE 10, OTHER INCOME"
201501049349300535,042103545,"SCHEDULE A, PART II, LINE 10"
201501049349301005,250965376,"SCHEDULE A, PART IV, LIST OF UNUSUAL GRANTS:"
201501059349300115,520591623,"Schedule A, Part II, Line 15"
201501319349302345,953909672,"SCHEDULE A, PART II"
201511039349300026,350868158,"Schedule A, Part II, Line 10, Other Income"
201511349349300721,350868188,"Schedule A, Part II, Line 10, Explanation of Other Income:"
201511949349300746,362167817,"Schedule A, Part II, Line 10, Explanation of Other Income:"
201511059349300201,741159753,"SCHEDULE A, PART I, SELECTION OF LINE 2 AND COMPLETION OF PUBLIC SUPPORT TEST"
201511059349300201,741159753,"Schedule A, Part II, Line 10, Other Income"
201510939349300311,010211810,"SCHEDULE A, PART 1, LINE 7"
201511349349304441,160743088,"Schedule A, Part II, Line 10"
201511339349304916,042103638,"Schedule A, Part I, Line 7"
201511339349304916,042103638,"Schedule A, Part II, Line 10"
201521249349300957,470376583,"Schedule A, Part I, Line 7"
201512739349300701,742358522,"PART I, LINE 11G, COLUMN (VI):","IN ADDITION TO DIRECT GRANTS PROVIDED, THE ORGANIZATION FUNDED CAPITAL OUTLAYS TOTALING $35,354,000 AND FUNDED NET PRINCIPAL AND INTEREST PAYMENTS OF $17,926,000 ON LONG-TERM DEBT."
201512739349300701,742358522,"PART IV, SECTION A, LINE 2:","THE ORGANIZATION SUPPORTS THE NCMC BOARD OF TRUSTEES, WHICH IS NOT REQUIRED TO OBTAIN RECOGNITION OF EXEMPT STATUS BECAUSE IT IS CONSIDERED TO BE A GOVERNMENTAL ENTITY."
201512739349300701,742358522,"PART IV, SECTION D, LINE 3:","THE SUPPORTED ORGANIZATION HAS A SIGNIFICANT VOICE IN THE ORGANIZATION'S INVESTMENT POLICIES AND IN DIRECTING THE USE OF THE ORGANIZATION'S INCOME OR ASSETS. ALL THREE OF THE REPRESENTATIVES APPOINTED BY THE SUPPORTED ORGANIZATION ARE VOTING MEMBERS OF THE ORGANIZATION'S BOARD OF DIRECTORS AND PARTICIPATE IN THE DECISION-MAKING PROCESS AT THE HIGHEST LEVEL. IN ADDITION, THE PRESIDENT OF THE SUPPORTED ORGANIZATION SERVES ON THE FINANCE COMMITTEE, WHICH GENERALLY OVERSEES THE OPERATIONS AND FINANCIAL CONDITION OF THE ORGANIZATION, INCLUDING ITS INVESTMENT POLICIES. TWO TRUSTEES OF THE SUPPORTED ORGANIZATION SERVE ON AN INTERNAL COMMITTEE WHICH MONITORS ADHERENCE TO ANY QUALITATIVE CONTRACTUAL REQUIREMENTS. NO NEW DEBT IS INCURRED BY THE ORGANIZATION WITHOUT THE APPROVAL OF THE SUPPORTED ORGANIZATION. LASTLY, THE SUPPORTED ORGANIZATION IS GIVEN A SIGNIFICANT VOICE IN THE CONDUCT OF THE ORGANIZATION'S AFFAIRS BY VIRTUE OF ITS OPERATING SUBLEASE WITH THE ORGANIZATION."
