object_id,ein,BsnssNmLn1Txt,EIN,OrgnztnCd,GvrnngDcmntLstdInd,SpprtAmt,OthrSpprtAmt
201521189349301172,042103852,CAMBRIDGE PUBLIC HEALTH COMMISSION,043320571,06,true,0
201521269349301862,590791034,CATHOLIC HEALTH EAST,232929748,11,1,0
201501339349304020,231365351,Temple University Hospital Inc,232825878,3,1,0
201511919349300501,952988463,CU-KC,446000294,0,true,890000
201521969349301517,640306253,MISSISSIPPI HOSPITAL FOR RESTORATIVE CARE INC,640833383,0,false,1420084
201521969349301517,640306253,MEDICAL FOUNDATION OF CENTRAL MISSISSIPPI,753068151,0,false,15730815
201521969349301517,640306253,BAPTIST MEDICAL CENTER - LEAKE INC,452896080,0,false,806200
201502239349300610,340714460,Case Western Reserve University,341018992,02,true,21059172,0
201502239349300610,340714460,University Hospitals Cleveland Medical Center,341567805,03,true,14896882,0
201502239349300610,340714460,The Musical Arts Association,340714468,09,true,293985,0
201502239349300610,340714460,The Cleveland Museum of Art,340714336,09,true,1099640,0
201502239349300610,340714460,The Church of The Covenant,340714641,01,true,64882,0
201502239349300610,340714460,The Cleveland Medical Library Association,340151200,09,true,81724,0
201502239349300610,340714460,The Cleveland Hearing & Speech Center,340714648,09,true,34984,0
201502239349300610,340714460,The Cleveland Institute of Art,340714334,02,true,238362,0
201502239349300610,340714460,Cleveland Botanical Garden,340239538,09,true,320652,0
201512739349300701,742358522,NCMC BOARD OF TRUSTEES,846000813,6,1,5140000,53280000
