TtExpnsEtcAdtdFnclStmtAmt|Total Expenses, and Losses per audited financial statments
DntdSrvcsUsFcltsAmt|Donated Services and Use of Facilities
PrrYrAdjstmntsAmt|Prior year adjustments
LsssRprtdAmt|Losses reported
OthrExpnssInclddAmt|Other expenses included
ExpnssNtRprtdAmt|Total amounts, add lines 2a through 2d
ExpnssSbttlAmt|Part XII line 1 minus Part XII line 2e
InvstmntExpnssNtIncld2Amt|Investment expenses not included on Form 990, Part VIII, line 7b
OthrExpnssNtInclddAmt|Other expenses
ExpnssNtRptFnclStmtAmt|Total amounts, add lines 4a through 4b
TtlExpnssPrFrm990Amt|Total expenses (Form 990, Part I, Line 18). Add lines 3 and 4c
