object_id,ein,RgnTxt,OffcsCnt,EmplyCnt,OfActvtsCndctdTxt,SpcfcSrvcsPrvddTxt,RgnTtlExpndtrsAmt
201530129349300863,410695509,NORTH AMERICA - CANADA AND MEXICO,0,0,PROGRAM SERVICES,"STUDY ABROAD PROGRAMMING, EDUCATION RELATED PURCHASES",26472
201530129349300863,410695509,EUROPE,0,0,PROGRAM SERVICES,"STUDY ABROAD PROGRAMMING, EDUCATION RELATED PURCHASES",139574
201530129349300863,410695509,CENTRAL AMERICA & CARIBBEAN,0,0,PROGRAM SERVICES,"STUDY ABROAD PROGRAMMING, EDUCATION RELATED PURCHASES",26302
201530129349300863,410695509,SOUTH AMERICA,0,0,PROGRAM SERVICES,"STUDY ABROAD PROGRAMMING, EDUCATION RELATED PURCHASES",19847
201530129349300863,410695509,SUB-SAHARAN AFRICA,0,0,PROGRAM SERVICES,"STUDY ABROAD PROGRAMMING, EDUCATION RELATED PURCHASES",3356
201530129349300863,410695509,EAST ASIA AND THE PACIFIC,0,0,PROGRAM SERVICES,"STUDY ABROAD PROGRAMMING, EDUCATION RELATED PURCHASES",421
201530129349300863,410695509,EAST ASIA AND THE PACIFIC,0,0,GRANTS - FINANCIAL AID,106511
201530129349300863,410695509,EUROPE,0,0,GRANTS - FINANCIAL AID,172379
201530129349300863,410695509,MIDDLE EAST AND NORTH AFRICA,0,0,GRANTS - FINANCIAL AID,44021
201530129349300863,410695509,RUSSIA AND NEIGHBORING STATES,0,0,GRANTS - FINANCIAL AID,24339
201530129349300863,410695509,SOUTH AMERICA,0,0,GRANTS - FINANCIAL AID,42525
201530129349300863,410695509,SOUTH ASIA,0,0,GRANTS - FINANCIAL AID,67924
201530129349300863,410695509,SUB-SAHARAN AFRICA,0,0,GRANTS - FINANCIAL AID,222703
201510159349300611,042105776,Europe (including Iceland and Greenland),1,1,Program Services,International education,651558
201510159349301406,350867954,EAST ASIA AND THE PACIFIC,0,0,PROGRAM SERVICES,MISSION TRIPS,8677
201510159349301406,350867954,EUROPE (INCLUDING ICELAND AND GREENLAND),0,0,PROGRAM SERVICES,MISSION TRIPS,113605
201510159349301406,350867954,CENTRAL AMERICA AND THE CARIBBEAN,0,0,PROGRAM SERVICES,MISSION TRIPS,36940
201510159349301406,350867954,SOUTH ASIA,0,0,PROGRAM SERVICES,MISSION TRIPS,10914
201510159349301406,350867954,SUB-SAHARAN AFRICA,0,0,PROGRAM SERVICES,MISSION TRIPS,17869
201500129349300710,131916574,EAST ASIA AND THE PACIFIC,0,0,PROGRAM SERVICES,STUDY ABROAD TRIP,20198
201500129349300710,131916574,NORTH AMERICA (INCLUDING CANADA),0,0,PROGRAM SERVICES,RECRUITING AND ONLINE TEACHING,12605
201500129349300710,131916574,CENTRAL AMERICA AND THE CARIBBEAN,0,0,INVESTMENTS,MARKET VALUE OF INVESTMENTS,12346040
201500129349301310,390806297,"LONDON, ENGLAND",1,1,PROGRAM SERVICES,OFF CAMPUS EDUCATIONAL EXPERIENCE,845967
201520149349301257,560532303,CENTRAL AMERICA & THE CARIBBEAN,0,0,PROGRAM SERVICES,STUDY ABROAD,372384
201520149349301257,560532303,EAST ASIA & THE PACIFIC,0,0,PROGRAM SERVICES,STUDY ABROAD,468045
201520149349301257,560532303,EUROPE,0,0,PROGRAM SERVICES,STUDY ABROAD,4409957
201520149349301257,560532303,MIDDLE EAST & NORTH AFRICA,0,0,PROGRAM SERVICES,STUDY ABROAD,20379
201520149349301257,560532303,NORTH AMERICA,0,0,PROGRAM SERVICES,STUDY ABROAD,198193
201520149349301257,560532303,SOUTH AMERICA,0,0,PROGRAM SERVICES,STUDY ABROAD,28383
201520149349301257,560532303,SOUTH ASIA,0,0,PROGRAM SERVICES,STUDY ABROAD,75768
201520149349301257,560532303,SUB-SAHARAN AFRICA,0,0,PROGRAM SERVICES,STUDY ABROAD,197029
201520149349301262,620518288,EUROPE,1,3,PROGRAM SERVICES,CLASSES TAUGHT,369225
201520149349301262,620518288,SPAIN,0,2,PROGRAM SERVICES,CLASSES TAUGHT,46509
201520129349301107,240795495,CENTRAL AMERICA,0,0,INVESTMENTS,8484776
201540219349300119,610444671,EUROPE (INCLUDING ICELAND AND GREENLAND),1,PROGRAM SERVICES,SEMESTER STUDY ABROAD,831970
201540219349300119,610444671,NORTH AMERICA (CANADA & MEXICO ONLY),1,PROGRAM SERVICES,SEMESTER STUDY ABROAD,229937
201540219349300119,610444671,EUROPE (INCLUDING ICELAND AND GREENLAND),PROGRAM SERVICES,SCHOLARSHIPS,977718
201540219349300119,610444671,NORTH AMERICA (CANADA & MEXICO ONLY),PROGRAM SERVICES,SCHOLARSHIPS,295000
201540219349300119,610444671,EAST ASIA AND THE PACIFIC,PROGRAM SERVICES,SEMESTER STUDY ABROAD,112606
201540219349300119,610444671,CENTRAL AMERICA AND THE CARIBBEAN,INVESTMENTS,30270000
201540219349300119,610444671,EAST ASIA AND THE PACIFIC,PROGRAM SERVICES,SCHOLARSHIPS,177800
201500219349300605,420698196,Central America and the Caribbean,0,0,Program Services,Cross Cultural Experience,43507
201500219349300605,420698196,East Asia and the Pacific,0,0,Program Services,Cross Cultural Experience,6475
201500219349300605,420698196,Europe (including Iceland and Greenland),0,0,Program Services,Cross Cultural Experience,193162
201500219349300605,420698196,Middle East and North Africa,0,0,Program Services,Cross Cultural Experience,120315
201500219349300605,420698196,Russia and the newly independent States,0,0,Program Services,Cross Cultural Experience,3025
201500219349300605,420698196,South America,0,0,Program Services,Cross Cultural Experience,53585
201500219349300605,420698196,South Asia,0,0,Program Services,Cross Cultural Experience,4271
201500219349300605,420698196,Sub-Saharan Africa,0,0,Program Services,Cross Cultural Experience,48371
201540209349300429,980426561,Europe (Including Iceland and Greenland),15,16710,Program Services,Education and Research,510209302
201540209349300429,980426561,Europe (Including Iceland and Greenland),Maintaining offices,167299277
201540209349300429,980426561,Europe (Including Iceland and Greenland),Fundraising,7311536
201540209349300429,980426561,Europe (Including Iceland and Greenland),Investments,298546092
201520299349300007,430653369,Central America and the Caribbean,Investments,2572711
201520279349300217,440545280,Central America and the Caribbean,Program Services,SEE PART IV,59967
201520279349300217,440545280,North America,Grantmaking,4200
201520279349300217,440545280,East Asia and the Pacific,Grantmaking,1500
201520279349300217,440545280,Sub-Saharan Africa,Grantmaking,2300
201500359349300125,131632522,Central America and the Caribbean,Investments,2668573
201500309349301800,042111203,Central America and the Caribbean,0,0,Grantmaking,5000
201500309349301800,042111203,East Asia and the Pacific,0,0,Grantmaking,113036
201500309349301800,042111203,Europe (including Iceland and Greenland),0,0,Grantmaking,106081
201500309349301800,042111203,Middle East and North Africa,0,0,Grantmaking,8888
201500309349301800,042111203,South Asia,0,0,Grantmaking,7987
201500309349301800,042111203,South America,0,0,Grantmaking,13721
201500309349301800,042111203,Sub-Saharan Africa,0,0,Grantmaking,51862
201500309349301800,042111203,Central America and the Caribbean,0,0,Program Services,conferences,3072
201500309349301800,042111203,East Asia and the Pacific,0,0,Program Services,conferences,7437
201500309349301800,042111203,Europe (including Iceland and Greenland),0,0,Program Services,conferences,101667
201500309349301800,042111203,Middle East and North Africa,0,0,Program Services,conferences,14809
201500309349301800,042111203,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,conferences,10775
201500309349301800,042111203,Russia and the newly independent States,0,0,Program Services,conferences,187
201500309349301800,042111203,South America,0,0,Program Services,conferences,3535
201500309349301800,042111203,South Asia,0,0,Program Services,conferences,1902
201500309349301800,042111203,Sub-Saharan Africa,0,0,Program Services,conferences,4302
201500309349301800,042111203,Central America and the Caribbean,0,0,Program Services,instruction,23970
201500309349301800,042111203,East Asia and the Pacific,0,0,Program Services,instruction,1424
201500309349301800,042111203,Europe (including Iceland and Greenland),0,0,Program Services,instruction,589864
201500309349301800,042111203,Middle East and North Africa,0,0,Program Services,instruction,2363
201500309349301800,042111203,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,instruction,3798
201500309349301800,042111203,Russia and the newly independent States,0,0,Program Services,instruction,76432
201500309349301800,042111203,South Asia,0,0,Program Services,instruction,375
201500309349301800,042111203,Central America and the Caribbean,0,0,Program Services,program development,11818
201500309349301800,042111203,East Asia and the Pacific,0,0,Program Services,program development,58125
201500309349301800,042111203,Europe (including Iceland and Greenland),0,0,Program Services,program development,45544
201500309349301800,042111203,Middle East and North Africa,0,0,Program Services,program development,5346
201500309349301800,042111203,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,program development,1044
201500309349301800,042111203,Russia and the newly independent States,0,0,Program Services,program development,16063
201500309349301800,042111203,South America,0,0,Program Services,program development,2205
