object_id,ein,GrntTxt,RcpntCnt,CshGrntAmt
201542269349301474,650000627,SEOG MATCHING,529,47275,N/A,N/A
201542269349301474,650000627,scholarships,236,363072,n/a,n/a
201530129349300863,410695509,SCHOLARSHIPS & OTHER FINANCIAL AID,2974,26814278,N/A,N/A
201510159349300611,042105776,Pell,389,2180879,0
201510159349300611,042105776,FSEOG,150,222466,0
201510159349300611,042105776,Ma and other state assistance,1498,3467783,0
201510159349300611,042105776,Institutional Aid,2985,32956791,0
201510159349300611,042105776,Federal work study,503,325916,0
201510159349300611,042105776,Endowment Scholarships,1178,829303,0
201510159349301406,350867954,SCHOLARSHIP/FELLOWSHIP/GRANT,1900,19943094
201510099349301501,592139553,ACADEMIC SCHOLARSHIP,36,69600
201510099349301501,592139553,ATHLETIC SCHOLARSHIP,588,3381487
201510099349301501,592139553,RESIDENT ADVISOR SCHOLARS,7,48805
201510099349301501,592139553,PRESIDENTIAL SCHOLARSHIP,106,720568
201510099349301501,592139553,GENERAL SCHOLARSHIP,533,2711783
201500149349300810,560530240,"Scholarships funded by restricted gifts and income, other institutional scholarships and federal and state financial aid.",619,7782084,0
201500129349300710,131916574,VARIOUS INTERNAL SCHOLARSHIPS TO STUDENTS,325,892493
201530129349300133,620475751,SCHOLARSHIPS AND FINANCIAL AID,263,1012736
201520139349301112,370661231,SCHOLARSHIPS AND AWARDS,1045,15881310
201540099349301174,750859801,Educational scholarships,1134,8982395
201510099349301271,560547478,Privately Funded Scholarship,780,9355656
201500129349301310,390806297,SCHOLARSHIPS TO STUDENTS,1481,29576516
201510159349300311,420707124,Briar Cliff Scholarships,110,170790
201510159349300311,420707124,Academic Excellence Scholarships,595,4015955
201510159349300311,420707124,Continuing Education Awards,196,844826
201510159349300311,420707124,Briar Cliff Departmental Scholarships,61,197554
201510159349300311,420707124,Briar Cliff Grants,443,1189002
201510159349300311,420707124,Leadership Awards,66,65000
201510159349300311,420707124,Alumni Grants,36,34000
201510159349300311,420707124,Athletic Scholarships,465,2894424
201510159349300311,420707124,SEOG Awards,170,180000
201510159349300311,420707124,Off Campus Employment,13,11883
201510159349300311,420707124,Student Supports Services Scholarships,13,23000
201520149349301257,560532303,FINANCIAL AID TO STUDENTS,4391,35621787
201520149349301262,620518288,STUDENT SCHOLARSHIPS,1966,12480507
201510129349300731,620548913,SCHOLARSHIPS FOR STUDENTS ATTENDING BETHEL COLLEGE,2680,12958497
201520129349301462,710239383,MERIT SCHOLARSHIPS,1500,9816768
201520129349301462,710239383,PERFORMANCE SCHOLARSHIPS,700,3053409
201520129349301462,710239383,NEED-BASED GRANTS,400,836260
201520129349301462,710239383,OTHER SCHOLARSHIPS AND GRANTS,600,3348128
201530149349300748,370661217,Scholarships for students,539,4320386,0
201500139349300035,560554199,INSTITUTIONAL SCHOLARSHIPS,1357,12824781,FMV
201500139349300035,560554199,FEDERAL GRANTS,56,155779,FMV
201520129349301107,240795495,UNIVERSITY FUNDED GRANTS/ASSISTANCE,3676,56411220,0,N/A,N/A
201540219349300119,610444671,INSTITUTIONAL SCHOLARSHIPS,1255,23241203,0,N/A,N/A
201500219349300605,420698196,Academic Grants,995,7024076
201500219349300605,420698196,Activity Awards,825,3198912
201500219349300605,420698196,Diversity Grants,52,435071
201500219349300605,420698196,Endowed Scholarships,580,782523
201500219349300605,420698196,Federal Grants,374,185029
201500219349300605,420698196,Gift Sponsored Grants,98,141959
201500219349300605,420698196,Institutional Grants,1762,4365293
201500219349300605,420698196,Faculty Research Grants,20,66963
201500169349300030,042720310,SCHOLARSHIPS,4,27074,FMV,"SEE SCHEDULE I, PART IV."
201510139349301301,042596491,TUITION GRANTS,6,35000,NONE
201520229349300902,131740285,Scholarships,2736,16027423
201500199349300510,222212290,THEOLOGICAL RESEARCH FELLOWSHIPS,12,882000,FMV,FELLOWSHIPS
201510199349300201,020309681,SCHOLARSHIP,67,532350,FMV,TUITION ASST
201530219349300213,391201561,SCHOLARSHIPS AND TUITION DISCOUNTS,677,8566833
201520169349300027,362216176,SCHOLARSHIPS,1888,11888610
201530229349300913,381393841,VA MILITARY GRANT,38,158113
201530229349300913,381393841,CLEARY INSTITUTIONAL GRANT,32,23068
201530229349300913,381393841,CLEARY SCHOLARSHIP,4,9334
201530229349300913,381393841,COMMUNITY COLLEGE & ALUMNI DISCOUNT,12,30776
201530229349300913,381393841,CLEARY CONTINUITY GRANT,326,108127
201530229349300913,381393841,NEXT STEP GRANT,14,12967
201530229349300913,381393841,WILBURN M. BARWICK SCHOLARSHIP,3,5000
201530229349300913,381393841,ROBERT & BESS COOK ENDOWED SCHOLARSHIP,1,1000
201530229349300913,381393841,SULLIVAN ENDOWED SCHOLARSHIP,3,3000
201530229349300913,381393841,COMMUNITY PARTNER MATCHING GRANT,2,2000
