object_id,ein,BndRfrncCd,BsnssNmLn1Txt,BndIssrEIN,BndIssdDt,IssPrcAmt,PrpsDsc,DfsdInd,OnBhlfOfIssrInd,PlFnncngInd
201530129349300863,410695509,A,MINNESOTA HIGHER EDUCATION FACILITIES AUTHORITY,410988525,60416HHUI,2006-08-28,8100062,RESIDENCE HALL CONSTRUCTION,0,0,0
201530129349300863,410695509,B,MINNESOTA HIGHER EDUCATION FACILITIES AUTHORITY,410988525,60416HYH1,2012-09-25,28939205,CURRENT REFUNDING,0,0,0
201510159349300611,042105776,A,Massachusetts Development Finance Agency,043431814,NONExxxxx,2012-05-01,28610000,Refunding 2002 Issue,0,0,0
201510159349300611,042105776,B,Massachusetts Development Finance Agency,043431814,NONExxxxx,2014-06-03,9720000,Refinance the 2000A issue,0,0,0
201510159349301406,350867954,A,INDIANA HEALTH AND EDUCATIONAL FACILITY FINANCING AUTHORITY,351611409,2005-07-05,1306440,EDUCATIONAL FACILITIES CAPITAL (ENERGY) UPGRADES,false,false,false
201510159349301406,350867954,B,CITY OF ANDERSON INDIANA,356000939,033887CT5,2007-02-27,47587630,DORM REPAIR/REMODEL/CAPITAL PROJECTS/BOND DEFEASANCE FOR BONDS ISSUED 12/30/98 AND 5/23/01,false,false,false
201500129349300710,131916574,A,SENECA COUNTY INDUSTRIAL DEVELOPMENT AGENCY,237329915,816907AP4,2007-05-31,20134306,REFINANCING OF A COMMERCIAL LOAN,0,0,0
201530129349300133,620475751,A,INDUSTRIAL DEVELOPMENT BOARD OF THE METROPOLITAN,521789764,NONEAVAIL,2005-03-08,800000,BUILDING PROGRAM,0,0,0
201530129349300133,620475751,B,INDUSTRIAL DEVELOPMENT BOARD OF THE METROPOLITAN,521789764,NONEAVAIL,2005-03-08,2315000,BUILDING PROGRAM,0,0,0
201530129349300133,620475751,C,INDUSTRIAL DEVELOPMENT BOARD OF THE METROPOLITAN,521789764,NONEAVAIL,2007-12-18,1400000,BUILDING PROGRAM,0,0,0
201520139349301112,370661231,A,CITY OF QUINCY ILLINOIS,376000378,2007-09-12,14000000,TO REFUND SERIES 1997 AND 2001 BONDS,false,false
201500129349301310,390806297,A,WISCONSIN HEALTH & EDUCATIONAL FACILITIES AUTHORITY,391337855,97710BGM8,2009-02-26,29810000,"CURRENT REFUND BONDS ISSUED 2/22/89, 11/02/00 & 07/11/02",0,0,0
201500129349301310,390806297,B,WISCONSIN HEALTH & EDUCATIONAL FACILITIES AUTHORITY,391337855,97710B3G5,2012-08-29,11065000,CURRENT REFUND BONDS ISSUED 09/09/98,0,0,0
201520149349301257,560532303,A,2006 REVENUE SERIES,561592154,65819GCS5,2006-03-22,18905000,FINANCE COST OF IMPROVEMENT,0,0,0
201520149349301257,560532303,B,2010 REVENUE SERIES,561592154,65819GFW3,2010-04-21,21135000,FINANCE COST OF ACQUIREMENT,0,0,0
201520149349301257,560532303,C,2011 REVENUE SERIES,561592154,65819GF26,2011-07-21,40340000,FINANCE COST OF IMPROVEMENT,0,0,0
201520149349301257,560532303,D,2012 REVENUE SERIES,561592154,2012-07-18,54595000,FINANCE COST OF IMPROVEMENT,0,0,0
201520149349301262,620518288,A,HEALTH AND EDUCATION FACILITIES BOARD OF COUNTY OF CHESTER TN,521339251,2005-10-06,6500000,BUILD AND EQUIP DORMITORY,false,false,false
201520149349301262,620518288,B,HEALTH AND EDUCATION FACILITIES BOARD OF COUNTY OF CHESTER TN,521339251,2013-03-20,11678665,REFINANCING 3 PREVIOUS BOND ISSUES,false,false,false
201520129349301462,710239383,A,CITY OF ARKADELPHIA AR,911984641,040716FJ6,2013-06-05,7755000,REFUNDING,0,0,0
201520129349301462,710239383,B,CITY OF ARKADELPHIA AR,911984641,040716EV0,2012-12-27,3495000,REFUNDING,0,0,0
201520129349301462,710239383,C,CITY OF ARKADELPHIA AR,911984641,040716EN8,2009-10-15,15050000,CAPITAL IMPROVEMENTS,0,0,0
201520129349301462,710239383,D,CITY OF ARKADELPHIA AR,911984641,040716DU3,2008-06-17,40470000,CAPITAL IMPROVEMENTS,0,0,0
201500089349300400,610444825,A,LFUCG IRB Series 2009A,610858140,000528908,2009-03-11,6481606,Project funding for building projects,0,0,0
201500089349300400,610444825,B,LFUCG IRB Series 2009B,610858140,000528920,2009-06-10,10498725,Refund 1998 and 2000 series bonds,0,0,0
201500089349300400,610444825,C,LFUCG IRB Series 2012,610858140,000528908,2012-06-27,10082095,Project funding for building projects,0,0,0
201520129349301107,240795495,A,PA HIGHER EDUCATION FACILITIES AUTHORITY,232243852,70917RCRA,2006-03-02,57524438,CAMPUS CENTER AND REFUNDING,0,0,0
201520129349301107,240795495,B,PA HIGHER EDUCATION FACILITIES AUTHORITY,232243852,810694H93,2007-10-12,30479254,CONSTRUCT DORMITORY,0,0,0
201520129349301107,240795495,C,PA HIGHER EDUCATION FACILITIES AUTHORITY,232243852,70917RPW9,2008-04-01,11540071,CURRENT REFUNDING,0,0,0
201520129349301107,240795495,D,CITY OF WILKES-BARRE FINANCING AUTHORITY,205684698,968254AX0,2010-09-09,67855761,SCIENCE BUILDING AND DORMITORY,0,0,0
201540219349300119,610444671,A,COUNTY OF BOYLE KENTUCKY,616000756,103462BD8,2008-04-24,34385000,CURRENT REFUNDING,false,false,false
201540219349300119,610444671,B,COUNTY OF BOYLE KENTUCKY,616000756,103462BA4,2007-08-30,44156380,NEW CONSTRUCTION AND ADVANCED REFUNDING. 2007-1,false,false,false
201500219349300605,420698196,A,City of Orange City,426005071,2006-12-28,2800000,Remodel Student Center,0,0,0
201500219349300605,420698196,B,City of Orange City,426005071,2010-11-15,3500000,Student Housing,0,0,0
201520229349300902,131740285,A,Dormitory Auth of the State of New York,146000293,NotApplic,2011-09-30,5177149,Equipment,false,false,false
201530229349300623,271870108,A,CALIFORNIA STATEWIDE COMMUNITIES DEVELOPMENT AUTHORITY,680164610,13080KAG6,2010-04-01,93295000,FINANCE AND REFINANCE CHARTER SCHOOL FACILITIES,0,0,0
201520169349300027,362216176,A,ILLINOIS FINANCE AUTHORITY,861091967,45200FB24,2009-10-22,22870000,REFND ISSD 8/2/04; BLDG CONSTRUCTI,false,false,false
201530229349300913,381393841,A,CLEARY UNIVERSITY,381393841,594519J84,2006-06-07,5335000,CAPITAL EXPENDITURES,0,0,0
201520099349301257,460224589,A,CITY OF MITCHELL,466000305,2010-03-25,2820000,FUNDS WERE ISSUED TO REFINCE THE ORIGINAL ISSUE FOR THE CONSTRUCTION OF LB,false,false,false
201500219349300245,610444788,A,CITY OF PIKEVILLE,721342AB9,2011-04-01,26985215,PIKEVILLE COLLEGE OF OSTEOPATHIC MEDICINE PROJECT,0,0,0
201520299349300007,430653369,A,HEALTH & EDUCATIONAL FACILITIES AUTHORITY OF MO,431178966,60690122P,2006-12-14,24832218,"REFUND SERIES 1997, 2000 AND 2002A",false,false,false
201520299349300007,430653369,B,HEALTH & EDUCATIONAL FACILITIES AUTHORITY OF MO,431178966,2010-03-31,15300000,PURCHASE OF COURTYARD MARRIOT,false,false,false
201520299349300007,430653369,C,HEALTH & EDUCATIONAL FACILITIES AUTHORITY OF MO,431178966,60636AFR9,2013-06-11,5000000,CONSTRUCTION OF WALKER HALL,false,false,false
201520299349300007,430653369,D,HEALTH & EDUCATIONAL FACILITIES AUTHORITY OF MO,431178966,60636AFR9,2013-06-11,9895050,CONSTRUCTION OF WALKER HALL,false,false,false
201520279349300217,440545280,A,SEE PART VI,431178966,60636AHJ5,2013-12-19,25144334,SEE PART VI,false,false,false
201540239349300839,111733439,A,Dormitory Authority of the State of New York,146000293,649905POO,2010-08-11,28057516,Construction of Athletic Facility,false,false,false
201510239349300106,363005527,A,Illinois Development Finance Authority,861091967,NoneAvail,2009-03-01,5100000,Expansion/Reconfig School Campus,0,0,0
201510239349300106,363005527,B,Illinois Development Finance Authority,861091967,NoneAvail,2010-01-01,10000000,Refunding of 2007 Issue,0,0,0
201500309349301800,042111203,A,Massachusetts Development Finance Agency,043431814,57583REQ4,2005-11-03,20000000,Refund MIFA96 (OID 5/2/96) Construct & Equip residence hall,0,0,0
201500309349301800,042111203,B,Massachusetts Development Finance Agency,043431814,57583RUU7,2008-04-07,50255000,"Refund MDFA00 (OID: 11/2/00), Refund MDFA02A (OID:11/26/2002), See Part VI.",0,0,0
201500309349301800,042111203,C,Massachusetts Development Finance Agency,043431814,57583UJY5,2011-12-01,20098799,"Refund MDFA98 (OID 11/10/98), See Part VI.",0,0,0
201510309349300546,340868798,A,OHIO HIGHER EDUCATIONAL FACILITY COMMISSION,346849674,2009-11-19,30000000,REFUNDING ISSUE (SEE PART VI),0,0,0
201500349349300965,910473310,A,WASHINGTON HIGHER EDUCATION FACILITIES AUTHORITY,911306482,939781G53,2009-11-04,63581858,CONSTRUCTION,0,0,0
201500349349300965,910473310,B,WASHINGTON HIGHER EDUCATION FACILITIES AUTHORITY,911306482,939781P20,2012-03-01,20065060,CONSTRUCTION,0,0,0
201530369349300718,362181973,A,ILLINOIS FINANCE AUTHORITY,362780046,45200PVN4,2003-02-03,57500000,EDUCATIONAL FACILITIES AND RENOVATIONS,false,false,false
201530369349300718,362181973,B,ILLINOIS FINANCE AUTHORITY,362780046,2012-10-01,15500000,CONSTRUCT EDUCATIONAL FACILITIES,false,false,false
201500309349300205,350845258,IRS990ScheduleK,A,COUNTY OF ALLEN IN ECON DEVELOPMENT SERIES 2004,356000124,383259BA5,2004-06-22,2090093,CONSTRUCTION OF ROGERS HALL,false,false,false
201500309349300205,350845258,IRS990ScheduleK,B,COUNTY OF ALLEN IN ECON DEVELOPMENT SERIES 2008,356000124,017522KC6,2008-03-19,3472027,CONSTRUCTION OF EVANS-KIMMELL HALL,false,false,false
201500309349300205,350845258,IRS990ScheduleK,C,COUNTY OF ALLEN IN ECON DEVELOPMENT SERIES 2009,356000124,017522KQ5,2009-03-18,3459883,CONSTRUCTION OF OROPEZA HALL,false,false,false
