object_id,ein,DspstnOfAsstsDtl_AsstsDstrOrExpnssPdDsc,DspstnOfAsstsDtl_DstrbtnDt,DspstnOfAsstsDtl_FrMrktVlOfAsstAmt,DspstnOfAsstsDtl_MthdOfFMVDtrmntnTxt,DspstnOfAsstsDtl_EIN,DspstnOfAsstsDtl_PrsnNm,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd
201541219349300039,050465628,Elimination of intercompany receivable from Roger Williams University as approved by the School of Law Board of Directors and the Roger Williams University Board of Trustees.,2013-10-18,14470000,Book value.,050277222,Roger Williams University,One Old Ferry Road,BRISTOL,RI,02809,501(C)(3)
201511349349306141,540534607,ENDOWMENT FUNDS,2014-06-30,985199,THE EPISCOPAL CHURCH,815 SECOND AVENUE,NEW YORK,NY,10017,501(C)(3)
201531339349304403,237022431,"LAND, BUILDING, AND IMPROVEMENTS",2013-11-27,1780000,APPRAISAL,MADISON EQUITIES,375 JACKSON ST SUITE 700W,ST PAUL,MN,55101,N/A
201531339349304403,237022431,BOBLETER PRINTS,2014-04-01,34052,APPRAISAL,416007513,UNIVERSITY OF MINNESOTA,333 E RIVER PARKWAY,MINNEAPOLIS,MN,55455,501(C)(3)
201511429349300036,751860688,"EQUIPMENT, LIBRARY, ORGAN, VARIOUS",2014-05-31,19563,SALE TO THIRD PARTY,VARIOUS ORIGINAL DONORS & OTHERS,Individual
201501359349302695,741613878,SEE PART III,2014-01-01,330000000,VALUED BY EXPERTS,741161938,ST LUKE'S MEDICAL CENTER,6720 BERTNER AVENUE,HOUSTON,TX,77030,501(C)(3)
201541359349301334,250979377,CASH,2014-04-01,3275,PURCH. PRICE ALLOCATION,464257540,SHARON PENNSYLVANIA HOLDINGS LLC,4000 MERIDIAN BLVD FRANKLIN TN 37,FRANKLIN,TN,370676325,LLC
201541359349301334,250979377,OTHER RECEIVABLES,2014-04-01,335939,PURCH. PRICE ALLOCATION,464257540,SHARON PENNSYLVANIA HOLDINGS LLC,4000 MERIDIAN BLVD FRANKLIN TN 37,FRANKLIN,TN,37067,LLC
201541359349301334,250979377,INVENTORIES,2014-04-01,3579657,PURCH. PRICE ALLOCATION,464257540,SHARON PENNSYLVANIA HOLDINGS LLC,4000 MERIDIAN BLVD FRANKLIN TN 37,FRANKLIN,TN,37067,LLC
201541359349301334,250979377,FIXED ASSETS,2014-04-01,59971543,PURCH. PRICE ALLOCATION,464257540,SHARON PENNSYLVANIA HOLDINGS LLC,4000 MERIDIAN BLVD FRANKLIN TN 37,FRANKLIN,TN,37067,LLC
201541359349301334,250979377,PREPAIDS & OTHER ASSETS,2014-04-01,3942747,PURCH. PRICE ALLOCATION,464257540,SHARON PENNSYLVANIA HOLDINGS LLC,4000 MERIDIAN BLVD FRANKLIN TN 37,FRANKLIN,TN,37067,LLC
201541359349301334,250979377,GOODWILL,2014-04-01,8338842,PURCH. PRICE ALLOCATION,464257540,SHARON PENNSYLVANIA HOLDINGS LLC,4000 MERIDIAN BLVD FRANKLIN TN 37,FRANKLIN,TN,37067,LLC
201542529349300934,131740115,FILED BANKRUPTCY 52913 CLOSED ITS BUSINESS 11513 ASSETS SOLD,2013-11-05,MONTEFIORE,501C3
201501319349302635,231352187,CASH AND EQUIVALENTS,2013-11-01,9413577,FMV,261995911,GEISINGER HEALTH SYSTEM FOUNDATION,100 NORTH ACADEMY AVENUE,DANVILLE,PA,17822,501C3
201501319349302635,231352187,ASSETS HELD BY TRUSTEE,2013-11-01,596212,FMV,261995911,GEISINGER HEALTH SYSTEM FOUNDATION,100 NORTH ACADEMY AVENUE,DANVILLE,PA,17822,501C3
201501319349302635,231352187,ACCOUNTS RECEIVABLE,2013-11-01,8907281,BOOK VALUE,261995911,GEISINGER HEALTH SYSTEM FOUNDATION,100 NORTH ACADEMY AVENUE,DANVILLE,PA,17822,501C3
201501319349302635,231352187,INVENTORIES,2013-11-01,2206413,BOOK VALUE,261995911,GEISINGER HEALTH SYSTEM FOUNDATION,100 NORTH ACADEMY AVENUE,DANVILLE,PA,17822,501C3
201501319349302635,231352187,PREPAID EXPENSES,2013-11-01,1666934,BOOK VALUE,261995911,GEISINGER HEALTH SYSTEM FOUNDATION,100 NORTH ACADEMY AVENUE,DANVILLE,PA,17822,501C3
201501319349302635,231352187,RESTRICTED ASSETS,2013-11-01,31051700,FMV,261995911,GEISINGER HEALTH SYSTEM FOUNDATION,100 NORTH ACADEMY AVENUE,DANVILLE,PA,17822,501C3
201501319349302635,231352187,PROPERTY AND EQUIPMENT,2013-11-01,22377650,BOOK VALUE,261995911,GEISINGER HEALTH SYSTEM FOUNDATION,100 NORTH ACADEMY AVENUE,DANVILLE,PA,17822,501C3
201501319349302635,231352187,OTHER LONG TERM ASSETS,2013-11-01,1890914,BOOK VALUE,261995911,GEISINGER HEALTH SYSTEM FOUNDATION,100 ACADEMY AVENUE,DANVILLE,PA,17822,501C3
201542299349302814,050259026,disposed assets,2014-06-12,55487657,book value,371747940,propset chartercare llc,600 CITY PARKWAY WEST SUITE 800,ORANGE,CA,92868
