object_id,ein,LqdtnOfAsstsDtl_AsstsDstrOrExpnssPdDsc,LqdtnOfAsstsDtl_DstrbtnDt,LqdtnOfAsstsDtl_FrMrktVlOfAsstAmt,LqdtnOfAsstsDtl_MthdOfFMVDtrmntnTxt,LqdtnOfAsstsDtl_EIN,LqdtnOfAsstsDtl_PrsnNm,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,LqdtnOfAsstsDtl_IRCSctnTxt
201510439349302136,916033434,BOOK VALUE OF ASSETS AND LIABILITIES TRANSFERRED,2014-06-30,1341841,BOOK VALUE,916001108,WASHINGTON STATE UNIVERSITY,PULLMAN WA,PULLMAN,WA,99164,170(B)(1)(A)(II)
201510439349302136,916033434,CASH,2014-06-30,1271486,CASH,911075542,WSU FOUNDATION,PO BOX 641927,PULLMAN,WA,991641927,501(C)(3)
201500769349300605,562574128,Cash,2013-08-30,5000,UNM Veterans Resource Center,SUB Suite 2002,Albuquerque,NM,87131
201510869349300706,611242765,CASH,2014-10-02,13376,ACTUAL CASH BY CHECK,611013739,UNIVERSITY PEDIATRIC FOUNDATION INC,PO BOX 2469 571 S FLOYD ST,LOUISVILLE,KY,40202,501 C (3)
201520709349200722,562060526,NONE
201501899349300125,111630820,CASH,2013-12-31,16299000,BOOK VALUE,135562308,NEW YORK UNIVERSITY,105 E 17TH STREET,NEW YORK,NY,10003,501(C)(3)
201501899349300125,111630820,ACCOUNT RECEIVABLE,2013-12-31,9588000,BOOK VALUE,135562308,NEW YORK UNIVERSITY,105 E 17TH STREET,NEW YORK,NY,10003,501(C)(3)
201501899349300125,111630820,PREPAID EXPENSE,2013-12-31,14793000,BOOK VALUE,135562308,NEW YORK UNIVERSITY,105 E 17TH STREET,NEW YORK,NY,10003,501(C)(3)
201501899349300125,111630820,"LAND, BUILDING, & EQUIPMENT",2013-12-31,129573000,BOOK VALUE,135562308,NEW YORK UNIVERSITY,105 E 17TH STREET,NEW YORK,NY,10003,501(C)(3)
201501899349300125,111630820,INVESTMENTS,2013-12-31,121483000,BOOK VALUE,135562308,NEW YORK UNIVERSITY,105 E 17TH STREET,NEW YORK,NY,10003,501(C)(3)
201501899349300125,111630820,OTHER ASSETS,2013-12-31,7195000,BOOK VALUE,135562308,NEW YORK UNIVERSITY,105 E 17TH STREET,NEW YORK,NY,10003,501(C)(3)
201502369349200010,272945207,CASH,2014-12-31,11926,FMV,161715310,APOSTROPHE MISSION FOUNDATION,PO BOX 796723,DALLAS,TX,75379,501 (C) 3
