object_id,ein,RcptOfIntAnntsRntsRyltsInd,GftGrntOrCpCntrTOthOrgInd,GftGrntCpCntrFrmOthOrgInd,LnsOrGrntsTOthrOrgInd,LnsOrGrntsFrmOthOrgInd,DvRltdOrgnztnInd,AsstSlTOthrOrgInd,AsstPrchsFrmOthrOrgInd,AsstExchngInd,RntlOfFcltsTOthOrgInd,RntlOfFcltsFrmOthOrgInd,PrfrmOfSrvcsFrOthOrgInd,PrfrmOfSrvcsByOthrOrgInd,ShrngOfFcltsInd,PdEmplysShrngInd,RmbrsmntPdTOthrOrgInd,RmbrsmntPdByOthrOrgInd,TrnsfrTOthrOrgInd,TrnsfrFrmOthrOrgInd
201532299349302483,581249683,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
201532299349302568,030219309,true,false,true,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true
201530129349300863,410695509,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
201510159349301406,350867954,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false
201510099349301501,592139553,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true
201530139349300813,132553815,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
201510129349300331,366069820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201500149349300810,560530240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
201500129349301310,390806297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201500129349301325,204093450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201510129349300546,660380485,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
201520149349301257,560532303,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201510129349300731,620548913,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201520129349301462,710239383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201500089349300400,610444825,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201540219349300119,610444671,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201520229349300902,131740285,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
201520169349300027,362216176,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201500219349300245,610444788,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
201520299349300737,510175975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201520239349300007,951716809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
201520239349300107,900394713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
201500239349300505,800477644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
201520279349300217,440545280,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false
201500239349300040,020423502,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
201500239349300105,952592468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
201520279349300737,610673886,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
201500289349301350,042325504,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201520289349300407,941021164,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
201510239349300106,363005527,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
201500359349300125,131632522,false,false,false,false,false,-,false,false,false,false,false,false,false,false,false,true,false,false,false
201500309349301800,042111203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201500359349301115,131988190,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
201520369349300042,231608264,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
201500349349300965,910473310,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
201530369349300718,362181973,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,true,false
201530349349300408,410693977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201500339349300225,450350756,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201500339349300905,233069199,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
201500339349300705,470377991,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201510329349300051,741874583,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201520419349301407,150533545,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201520419349301982,540505922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201520419349300217,340714629,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false
201530439349302343,930845182,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
201540429349301964,010271210,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
201530429349301023,440545271,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
201510429349301836,043349703,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
201530379349301253,470378777,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
201530419349301803,042104778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201530439349301108,560657294,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
201510419349300416,440545914,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
201530429349301473,941585735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201500439349301035,042104258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201530439349301828,150532239,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
201520379349301037,941698615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
201500409349301010,233102135,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false
201520429349300812,620484185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201520439349301002,930634049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201510419349301561,341226547,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
201510439349300711,390806263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201530419349300023,470376525,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false
201520429349300032,430652675,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201520439349301877,860561847,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true
201540399349300254,942830046,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false
201520439349300532,250965406,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
201510419349301001,820200906,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201520419349302012,222547262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201500419349301715,390477970,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201500379349301315,530199507,false,false,false,true,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false
201500419349301300,540575812,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
201500419349301315,610445823,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201500439349300100,951744369,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1
201520409349301312,221912028,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
201510459349300701,042152671,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
201510479349302271,952501387,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201510479349302316,950549600,true,false,false,false,false,-,false,false,false,false,true,false,false,false,false,false,false,false,false
201530479349301653,750917417,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201540499349300029,941156485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201530479349301843,570314408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
201530479349301933,351148835,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
201540449349302909,480547846,false,false,true,false,true,false,false,false,false,false,true,false,false,true,true,true,true,false,false
201500489349301365,610444763,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201540449349301184,750827409,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201500569349300300,540505977,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201500559349300700,660362666,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false
201530489349302068,310971599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
201540449349301429,410747165,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0
201520449349300407,231433899,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1
201500579349300805,362225483,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
201510519349300311,480543736,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
201500449349301470,951958142,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true
201530449349301608,314379435,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201540579349300229,730774245,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201540579349300304,344428219,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201500559349300515,420680466,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
201530549349300703,160759798,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
201540479349300419,560530242,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
201540479349300424,941700607,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201510559349300331,470724387,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
201500479349301665,350868086,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201510559349300726,470491571,false,true,false,false,false,-,false,false,false,false,false,false,false,false,false,false,false,false,false
201520489349301002,420680404,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
201510489349301166,730579298,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
201500649349300005,930634049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201510639349300336,952962604,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
201510589349300401,751081109,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201500619349300720,716056774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201530619349300303,910564993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
201500639349300210,582624570,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
201530659349300738,237179567,false,false,true,false,false,-,false,false,false,true,true,false,false,false,false,true,false,false,false
201530719349301038,350935587,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201540659349300329,430746185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201500699349300310,240795506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201520709349300217,231657958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201520689349300347,930401259,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0
201520659349300107,042103830,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
201520659349300232,750926755,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
201510719349300041,660259904,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201540709349300964,870212470,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
201520759349300442,941156599,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201530729349300518,660201206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
201510729349300926,420680372,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201520769349300527,640428676,false,false,true,false,false,-,false,false,false,false,false,false,false,true,true,true,false,false,false
201520769349300712,370661496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201510759349300806,952944594,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
