object_id,ein,CntrctrNm_PrsnNm,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
201533179349305948,620497990,Pioneer College Caterers Inc,303 Glenrose Avenue,Nashville,TN,37210,Student food services,1782344
201533179349305948,620497990,Case Cleaning Company,PO Box 171053,Nashville,TN,37217,Specialty cleaning/recovery,1413373
201533179349305948,620497990,Tree of Life Bookstores Inc,4601 S Western Avenue,Marion,IN,46953,Bookstore services,772146
201533179349305948,620497990,Belmont University,1900 Belmont Boulevard,Nashville,TN,37212,Student instruction,650326
201533179349305948,620497990,American Constructors Inc,2900 Vanderbilt Place Suite 200,Nashville,TN,37212,Construction services,597364
201523209349311307,660258919,UTEP PSC BANCO POPULAR,PO BOX 362708,SAN JUAN,PR,009362708,MEDICAL,1035000
201523209349311307,660258919,DR JOS A NASSAR Y ASOC,PO BOX 9132,HUMACAO,PR,00791,MEDICAL,567870
201523209349311307,660258919,DR DANIEL AYALA RODRGUEZ,PO BOX 471,CANOVANAS,PR,00729,MEDICAL,173037
201523209349311307,660258919,DRA LUZ E VZQUEZ CANCEL,PO BOX 1646,CANOVANAS,PR,00729,MEDICAL,142351
201523209349311307,660258919,WIGBERTO RAMOS,AP702 COND PARQUE SAN ANTONIO,CAGUAS,PR,00725,CONSTRUCTION,137662
201503079349301720,381359083,MID MICHIGAN MEDICAL CENTER,300 E WARWICK DR,ALMA,MI,48801,MEDICAL SERVICE,143854
201503079349301720,381359083,ENTERPRISE FLEET MANAGEMENT,PO BOX 800089,KANSAS CITY,MO,64180,VEHICLE FLEET,128408
201503079349301720,381359083,MERCER,101 SOUTH HANLEY ROAD THIRD FLOOR,ST LOUIS,MO,631053406,INVEST MGT,128385
201503079349301720,381359083,WARNER NORCROSS & JUDD,900 FIFTH THIRD CENTER,GRAND RAPIDS,MI,49503,LEGAL SERVICE,104255
201513099349301401,222325405,LP CIMINELLI,2421 MAIN ST,BUFFALO,NY,14214,CONSTRUCTION SERVICES,7200022
201513099349301401,222325405,CAYUGA ANESTHESIA ASSOCIATES PLLC,PO BOX 366,ITHACA,NY,14850,ANESTHESIOLOGY SERVICES,3021951
201513099349301401,222325405,LECHASE CONSTRUCTION SERVICES,205 INDIGO CREEK DR,ROCHESTER,NY,14626,CONSTRUCTION SERVICES,1933510
201513099349301401,222325405,MAYO COLLABORATIVE SERVICES,PO BOX 9146,MINNEAPOLIS,MN,55480,LABORATORY SERVICES,1738540
201513099349301401,222325405,GE HEALTHCARE,PO BOX 640944,PITTSBURGH,PA,15264,EQUIPMENT LEASING,1423955
201513089349300746,470418641,JLC INCORPORATED,PO BOX 147,YORK,NE,68467,CONTRACTOR,1063567
201513089349300746,470418641,ALADDIN FOOD MANAGEMENT SERVICES,21 ARMORY DRIVE,WHEELING,WV,26003,FOOD SERVICE,799831
201513089349300746,470418641,SYMPHONY EDUCATION INC,615 W WILLOW LANE,OTTAWA,KS,66067,CONSULTANT,154264
201543109349300934,952672750,CONSTRUCTION LABORERS ADMINISTRATIV,4401 SANTA ANITA AVE STE 201,EL MONTE,CA,91731,COLLECTION SERVICE,169694
201543109349300934,952672750,ASSOCIATED THIRD PARTY ADMINISTRATO,4399 SANTA ANITA AVE STE 200,EL MONTE,CA,917311648,CONTRACT ADMIN.,122942
201543159349300439,160743905,Streeter Associates,PO Box 118,Elmira,NY,14902,Construction Services,5869332
201543159349300439,160743905,Siemens Medical Solutions,51 Valley Stream Parkway,Malvern,PA,19355,Maintenance Contracts Services,3449439
201543159349300439,160743905,Quadramed,PO Box 347188,Pittsburgh,PA,15251,Software Support Services,3045859
201543159349300439,160743905,Navigant Consulting Inc,4511 Paysphere Circle,Chicago,IL,60674,Consulting Services,2288142
201543159349300439,160743905,Associated Anesthesiologists of The Finger Lakes,PO Box 1253,Elmira,NY,14902,Anesthesiology Medical Director Services,2071267
