AddrssChngInd|Indicates this return has an address change
FnlRtrnInd|Indicates this return is a terminated return
AmnddRtrnInd|Indicates this return is an amended return
IntlRtrnInd|Indicates this is an initial return
DngBsnssAsNm_BsnssNmLn1Txt|Doing business as; Business name line 1
DngBsnssAsNm_BsnssNmLn2Txt|Doing business as; Business name line 2
PrncplOfcrBsnssNm_BsnssNmLn1Txt|Name of principal officer - Business; Business name line 1
FrgnAddrss_FrgnPstlCd|Address of principal officer - Foreign; Postal code
PrncplOfcrBsnssNm_BsnssNmLn2Txt|Name of principal officer - Business; Business name line 2
FrgnAddrss_AddrssLn1Txt|Address of principal officer - Foreign; Address line 1
USAddrss_SttAbbrvtnCd|Address of principal officer - US; State
FrgnAddrss_CntryCd|Address of principal officer - Foreign; Country
USAddrss_ZIPCd|Address of principal officer - US; ZIP code
FrgnAddrss_PrvncOrSttNm|Address of principal officer - Foreign; Province or state
FrgnAddrss_AddrssLn2Txt|Address of principal officer - Foreign; Address line 2
USAddrss_CtyNm|Address of principal officer - US; City
USAddrss_AddrssLn2Txt|Address of principal officer - US; Address line 2
FrgnAddrss_CtyNm|Address of principal officer - Foreign; City
USAddrss_AddrssLn1Txt|Address of principal officer - US; Address line 1
PrncplOffcrNm|Name of principal officer - Person
GrssRcptsAmt|Gross receipts
GrpRtrnFrAffltsInd|Group return for affiliates?
AllAffltsInclddInd|All affiliates included?
GrpExmptnNm|Group exemption number
Orgnztn527Ind|Indicates a 527 organization
Orgnztn501cInd|Indicates a 501(c) organization
Orgnztn49471NtPFInd|Indicates a 4947(a)(1) organization
Orgnztn501c3Ind|Indicates a 501(c)(3) organization
WbstAddrssTxt|Web site
OfOrgnztnTrstInd|Type of organization - trust
OthrOrgnztnDsc|Type of organization - other description
OfOrgnztnCrpInd|Type of organization - corporation
OfOrgnztnOthrInd|Type of organization - other
OfOrgnztnAsscInd|Type of organization - association
FrmtnYr|Year of formation
LglDmclSttCd|State of legal domicile
LglDmclCntryCd|Country of legal domicile
