object_id,ein,RgnTxt,PrpsOfGrntTxt,CshGrntAmt,MnnrOfCshDsbrsmntTxt
201532889349300523,631222148,"NORTH AMERICA - CANADA AND MEXICO, BUT",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,CENTRAL AMERICA AND THE CARIBBEAN -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201503209349316020,116039909,MIDDLE EAST AND NORTH AFRICA,PROMOTING JEWISH EDUCATION,1507072,WIRE/CHECK
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"QUEENSLAND BRAIN INSTITUTE, MARSHALL LABORATORY, UQ FOR LANTERN FISH PROJECT",405000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"THE DOW CENTRE FOR SUSTAINABLE ENGINEERING INNOVATION, UQ FOR THE OPERATIONS OF THE DOW CENTRE.",2000000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,SUPPORT AUSTRALIAN INSTITUTE OF BUSINESS AND ECONOMICS,235000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,THE MCLENNAN AND HOWES COLLABORATIVE SCHOLARSHIP,60000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"ENDOWED SCHOLARSHIPS, EMERGING NEEDS, VARIOUS FACULTIES, DEPARTMENTS AND COLLEGES",59703,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,THE CENTRE FOR SOCIAL RESPONSIBILITY IN MINING (CSRM) AT SMI FOR RESEARCH ON THE EFFECTIVENESS AND OUTCOMES OF CERTIFICATION SCHEMES IN THE MINING SECTOR.,125000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"THOMAS A. PLEIN ENDOWED SCHOLARSHIP FOR US CITIZEN(S) STUDYING IN EITHER THE SCHOOL OF BUSINESS, ECONOMICS OR LAW AT THE BUSINESS ECONOMICS AND LAW FACULTY.",27500,WIRE,FMV
201523159349300987,260069167,FUND SALARY OF PROF,10800,CHECK
201533209349315408,260833212,CHARITABLE,28934,WIRE TRANSFER
201533039349301303,912163512,SCHOOL AID,EFT
201533359349301118,841567873,Cuba,Training Support,10100,Wire Trnsfr
201533359349301118,841567873,Malawi,Training Support,11157,Wire Trnsfr
201533359349301118,841567873,Mexico,Training Support,28500,Wire Trnsfr
201533359349301118,841567873,USA Latinos,Training Support,10143,Wire Trnsfr
201513439349300141,980042539,"North America (including Canada and Mexico, but not the United States)","Since we are a Canadian organization, all of our grants are paid in Canada, which is outside the US. Our grants are to support student organizations, federated colleges, and other Universities performing research (subgrants).",1568737,Cheque,0
201522939349300037,580593438,East Asia,American Cultural,10000,Wire
201522859349300807,954749034,SUPPORT UNIVERSITY,CASH WIRE TRANSFER
201503499349300305,237069575,"North America (including Canada and Mexico, but not the United States)",research,5241987,cheque,0
201503519349300545,730739626,Central America and the Caribbean,Ministry support,150000,Check
201503519349300545,730739626,Middle East and North Africa,Pastoral training,5032,Check
201503519349300545,730739626,Europe (Including Iceland & Greenland),Ministry networking,7800,ACH payment
201503519349300545,730739626,Sub-Saharan Africa,Church building,5011,ACH payment
201620339349301002,042111203,East Asia and the Pacific,Research,63660,wire transfer,0
201620339349301002,042111203,Europe (including Iceland and Greenland),Research,45690,check,0
201620339349301002,042111203,"North America (including Canada and Mexico, but not the United States)",Research,41587,check,0
201620339349301002,042111203,South Asia,Research,18343,check,0
201620339349301002,042111203,South America,Research,24796,wire transfer,0
201620309349300107,454135256,EUROPE (INCLUDING ICELAND & GREENLAND),DIABETES RESEARCH,79926,WIRE TRANSFER
201640359349301314,951744369,"Sub-Saharan Africa - Angola, Benin, Botswana, Burkina, Faso,",Foreign studies,1867000,Wire Transfer
201543459349300904,986001141,"North America (including Canada and Mexico, but not the United States)",Research,56722000,Wire Cheque Draft,0
201543459349300904,986001141,Sub-Saharan Africa,Research,685000,Wire Cheque Draft,0
201543459349300904,986001141,East Asia and the Pacific,Research,193000,Wire Cheque Draft,0
201543459349300904,986001141,South Asia,Research,128000,Wire Cheque Draft,0
201543459349300904,986001141,Central America and the Caribbean,Research,63000,Wire Cheque Draft,0
201543459349300904,986001141,South America,Research,49000,Wire Cheque Draft,0
201543459349300904,986001141,Europe (including Iceland and Greenland),Research,27000,Wire Cheque Draft,0
201601309349300340,231352294,Central America and the Caribbean,Study Abroad,22950,Wire/Check,N/A,N/A
201601309349300340,231352294,East Asia and the Pacific,Study Abroad,67000,Wire/Check,N/A,N/A
201601309349300340,231352294,Europe (Including Iceland and Greenland),Study Abroad,954512,Wire/Check,N/A,N/A
201601309349300340,231352294,Sub-Saharan Africa,Supplies,7500,Wire/Check,N/A,N/A
201601309349300340,231352294,Europe (Including Iceland and Greenland),SA Housing/Meals,684606,Wire/Check,N/A,N/A
201601309349300340,231352294,Europe (Including Iceland and Greenland),SUPPLIES,22789,Check,N/A,N/A
201601309349300340,231352294,North America,SUPPLIES,10919,Check,N/A,N/A
201601349349304580,237251952,East Asia and the Pacific,Legal Training,427984,Wire Transfer,0
201620969349300137,362167048,Europe (Including Iceland and Greenland),General Support,294871,INTL. TRANS.,N/A,N/A
201620969349300137,362167048,Sub-Saharan Africa,Grant Sub-Award,86515,Wire Trans,N/A,N/A
201640749349300419,530196549,Sub-Saharan Africa,Sub-Award,19938,check
201640749349300419,530196549,South America,Sub-Award,83880,check
201640749349300419,530196549,South America,Sub-Award,167706,check
201640749349300419,530196549,East Asia and the Pacific,Sub-Award,35046,check
201640749349300419,530196549,East Asia and the Pacific,Sub-Award,9900,check
201640749349300419,530196549,South Asia,Sub-Award,20244,check
201640749349300419,530196549,East Asia and the Pacific,Sub-Award,38475,check
201640749349300419,530196549,South America,Sub-Award,65742,check
201640749349300419,530196549,North America,Sub-Award,7500,check
201640749349300419,530196549,Europe (Including Iceland and Greenland),Sub-Award,30929,check
201640749349300419,530196549,Middle East and North Africa,Sub-Award,141153,check
201640749349300419,530196549,South Asia,Sub-Award,19800,check
201640749349300419,530196549,South America,Sub-Award,52602,check
201640999349300019,910236600,SUB-SAHARAN AFRICA,SUPPORT LIBRARY AND CHURCH HALL PROJECTS,10000,WIRE TRANSFER,0
201640999349300019,910236600,SUB-SAHARAN AFRICA,SUPPORT CONSTRUCTION OF TENNIS COURTS AT A SCHOOL,25000,WIRE TRANSFER,0
201640999349300019,910236600,SUB-SAHARAN AFRICA,LIBRARY BOOKS FOR LITERACY PROJECT IN ZAMBIA,14000,CHECK,0
201640919349300604,580566143,"North America - Canada and Mexico, but",Educational,10000,Wire,FMV
201620929349300027,340714818,"EUROPE (INCLUDING ICELAND & GREENLAND) - ALBANIA, ANDORRA, AUSTRIA, BELGIUM",GENERAL SUPPORT,1400670
201620959349300842,362169145,Europe (Including Iceland and Greenland),Study Abroad,10738,Wire Trans
201620959349300842,362169145,Europe (Including Iceland and Greenland),Study Abroad,111725,Wire Trans
201600909349300905,420680387,SUB-SAHARAN AFRICA,GENERAL SUPPORT,50000,CHECK,N/A,N/A
201631309349300143,250969449,EUROPE (INCLUDING ICELAND & GREENLAND),SUBCONTRACTS,655878,CASH; ELECTRONIC FUND TRANSFER,N/A,N/A
201631309349300143,250969449,MIDDLE EAST AND NORTH AFRICA,SUBCONTRACTS,103742,CASH; ELECTRONIC FUND TRANSFER,N/A,N/A
201631309349300143,250969449,"NORTH AMERICA - CANADA AND MEXICO, BUT NOT THE UNITED STATES",SUBCONTRACTS,371149,CASH; ELECTRONIC FUND TRANSFER,N/A,N/A
201631309349300143,250969449,SUB-SAHARAN AFRICA,PROGRAM SUPPORT,5000,CASH; ELECTRONIC FUND TRANSFER,N/A,N/A
201600689349300140,237213309,North America,16900302,Check
201641319349303054,042121659,Europe (Including Iceland and Greenland),energy production research,312619,wire transfr
201631339349303958,381366958,SUB-SAHARAN AFRICA,"SCHOLARSHIPS FOR NEEDY STUDENTS, NURSING TEXTBOOKS, NURSING SKILLS EQUIPMENT/LAB",40000,WIRE TRANSFER,CASH
201631339349303958,381366958,CENTRAL AMERICA AND THE CARIBBEAN,TUITION PAYMENT FOR STUDY ABOARD PROGRAMS,49145,WIRE TRANSFER,CASH
201631049349300778,231352688,Europe (Including Iceland and Greenland),Event,22454,Credit Card,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Event,9230,Credit Card,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,34084,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Housing,6743,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,55110,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Housing,238170,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Housing,12524,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,23053,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,16721,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,136500,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,152275,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Academic,9780,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,24764,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Housing,6353,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Housing,6633,Wire,N/A,N/A
201631049349300778,231352688,Middle East and North Africa,Housing,21653,Wire,N/A,N/A
