object_id,ein,SttsWhrGmngCndctdCd
201533179349302578,752387636,TX
201513029349300706,390978445,WI
201513489349300916,596046500,FL
201610239349300401,351087173,IN
201630979349300133,610448560,KY
201620969349300137,362167048,IL
201630989349300543,370661494,IL
201601339349303330,430654876,MO
201601349349304810,520591672,MD
201610819349300721,340714687,OH
201610439349300646,381374230,MI
201621329349302572,111797182,NY
201611099349300741,131967322,NY
201640409349301429,610444780,KY
201620689349300142,941156599,CA
201600439349303290,941156617,CA
201611319349300331,251024358,PA
201621379349303347,060646973,CT
201640559349300424,350868074,IN
201611379349308936,530196603,DC
201621379349301582,381359081,MI
201611349349307796,390806261,WI
201611259349301246,810235407,MT
201611379349302081,720423889,LA
201611339349304661,362167725,IL
201620849349300522,250965557,PA
201611329349303766,141442493,NY
201621319349301747,210634584,NJ
201641339349301119,460224600,SD
201621319349302637,050258810,RI
201641339349303844,350868188,IN
201641329349303009,350868152,IN
201631359349300203,910565006,WA
201621379349302022,640303084,MS
201630479349301498,133508093,NY
201641979349300344,111630906,NY
