FcltyNm|Part V Section B repeating group; Line number of hospital facility
BsnssNmLn1Txt|Part V Section B repeating group; Name of hospital facility; Business name line 1
BsnssNmLn2Txt|Part V Section B repeating group; Name of hospital facility; Business name line 2
FrstLcnsdCYOrPYInd|Part V Section B repeating group; First licensed, registered or recognized by a State in current year or preceding prior year?
StrtgyPstdWbstInd|Part V Section B repeating group; Implementation strategy posted on website?
StrtgyWbstURLTxt|Part V Section B repeating group; Implementation strategy website URL
StrtgyAttchdInd|Part V Section B repeating group; Implementation strategy attached to return?
OrgnztnIncrExcsTxInd|Part V Section B repeating group; Incur an excise tax under section 4959 for the hospital facility's failure to conduct a CHNA as required by section 501(r)(3)?
Frm4720FldInd|Part V Section B repeating group; File Form 4720 to report the section 4959 excise tax?
ExcsRprtFrm4720FrAllAmt|Part V Section B repeating group; Total amount of section 4959 excise tax reported on Form 4720 for all of its hospital facilities?
ElgCrtrExplndInd|Part V Section B repeating group; Policy explains eligibility criteria for financial assistance?
FPGFmlyIncmLmtFrDscntInd|Part V Section B repeating group; Explained free care percent and discounted care percent
FPGFmlyIncmLmtDscntCrPct|Part V Section B repeating group; Percentage of FPG used to determine discount care
FPGFmlyIncmLmtFrCrPct|Part V Section B repeating group; Percentage of FPG used to determine free care
IncmLvlCrtrInd|Part V Section B repeating group; Income level criteria
AsstLvlCrtrInd|Part V Section B repeating group; Asset level criteria
MdclIndgncyCrtrInd|Part V Section B repeating group; Medical indigency criteria
InsrncSttsCrtrInd|Part V Section B repeating group; Insurance status criteria
UndrnsrncSttCrtrInd|Part V Section B repeating group; Underinsurance status criteria
RsdncyCrtrInd|Part V Section B repeating group; Residency criteria
OthrCrtrInd|Part V Section B repeating group; Other criteria
ExplndBssInd|Part V Section B repeating group; Policy explains basis for calculating amounts?
AppFnnclAsstExplnInd|Part V Section B repeating group; Policy explains method for applying for assistance?
DscrbdInfInd|Part V Section B repeating group; Described information as part of application.
DscrbdSprtDcInd|Part V Section B repeating group; Described supporting documentation as part of application.
PrvddHsptlCntctInd|Part V Section B repeating group; Provided contact information of hospital staff.
PrvddNnprftCntctInd|Part V Section B repeating group; Provided contact information of nonprofit organization.
OthrMthdInd|Part V Section B repeating group; Other method used to explain.
IncldsPblctyMsrsInd|Part V Section B repeating group; Policy includes publicity measures?
FAPAvlblOnWbstInd|Part V Section B repeating group; FAP widely available on a website
FAPAvlblOnWbstURLTxt|Part V Section B repeating group; FAP website URL
FAPAppAvlblOnWbstURLTxt|Part V Section B repeating group; FAP application form website URL
FAPAppAvlblOnWbstInd|Part V Section B repeating group; FAP application form widely available on a website
FAPSmmryOnWbstURLTxt|Part V Section B repeating group; FAP plain language summary website URL
FAPSmmryOnWbstInd|Part V Section B repeating group; FAP plain language summary on a website
FAPAvlblOnRqstNChrgInd|Part V Section B repeating group; FAP available upon request and without charge
FAPAppAvlblOnRqstNChrgInd|Part V Section B repeating group; FAP application form available upon request and without charge
FAPSmAvlblOnRqstNChrgInd|Part V Section B repeating group; FAP plain language summary available upon request and without charge
NtfdFAPCpyBllDsplyInd|Part V Section B repeating group; Notified of FAP by paper copy, on billing statement, and public displays
CmmnttyNtfdFAPInd|Part V Section B repeating group; Notified community about availability of FAP
FAPTrnsltdInd|Part V Section B repeating group; FAP translated into primary language spoken
OthrPblctyInd|Part V Section B repeating group; Other publicity
FAPActnsOnNnpymntInd|Part V Section B repeating group; Policy explains actions taken upon non-payment?
PrmtRprtTCrdtAgncyInd|Part V Section B repeating group; Report to credit agency permitted
PrmtSllngDbtInd|Part V Section B repeating group; Selling debt permitted
PrmtDfrDnyRqrPymntInd|Part V Section B repeating group; Deferring, denying or requiring payment before care due to previous nonpayment permitted.
PrmtLglJdclPrcssInd|Part V Section B repeating group; Actions that required a legal or judicial process
PrmtOthrActnsInd|Part V Section B repeating group; Other actions permitted
PrmtNActnsInd|Part V Section B repeating group; None of these actions or similar actions permitted
CllctnActvtsInd|Part V Section B repeating group; Authorize third-party to engage in collection activities?
RprtngTCrdtAgncyInd|Part V Section B repeating group; Credit agency engaged
EnggdSllngDbtInd|Part V Section B repeating group; Selling debt engaged
EnggDfrDnyRqrPymntInd|Part V Section B repeating group; Engaged actions to defer, deny or requirment payment before providing care
EnggdLglJdclPrcssInd|Part V Section B repeating group; Engaged actions that required a legal or judicial process
OthrActnsInd|Part V Section B repeating group; Other actions engaged
TxExmptHsptlCYOrPYInd|Part V Section B repeating group; Acquired or placed into service as tax-exempt hospital in current year or preceding prior year?
PrvddWrttnNtcInd|Part V Section B repeating group; Provided written notice and plain language summary of FAP
MdEffrtOrllyNtfyInd|Part V Section B repeating group; Reasonable effort to orally notify individual about FAP
PrcssdFAPApplctnInd|Part V Section B repeating group; Processed incomplete and complete FAP applications
MdPrsmptvElgDtrmInd|Part V Section B repeating group; Made presumptive eligibility determinations
OthrActnsTknInd|Part V Section B repeating group; Other action taken
NnMdInd|Part V Section B repeating group; None of these efforts were made
NndsEmrgncyCrPlcyInd|Part V Section B repeating group; Non-discriminatory emergency medical care policy?
NEmrgncyCrInd|Part V Section B repeating group; No emergency care
NEmrgncyCrPlcyInd|Part V Section B repeating group; No emergency policy
EmrgncyCrLmtdInd|Part V Section B repeating group; Limits emergency care
OthrRsnInd|Part V Section B repeating group; Other reason
LkBckMdcrInd|Part V Section B repeating group; Look-back method based on claims allowed by medicare fee for service
LkBckMdcrPrvtInd|Part V Section B repeating group; Look-back method based on claims allowed by medicare fee for service and all private health insurance
LkBckMdcdMdcrPrvtInd|Part V Section B repeating group; Look-back method based on claims allowed by nedicaid, medicare fee for service and all private health insurance
PrspctvMdcrMdcdInd|Part V Section B repeating group; Prospective medicare or medicaid method
AmntsGnrllyBlldInd|Part V Section B repeating group; Charged more than amount generally billed?
GrssChrgsInd|Part V Section B repeating group; Gross charges in billing?
CHNACndctdInd|Part V Section B repeating group; Conduct community needs health assessments?
CmmntyDfntnInd|Part V Section B repeating group; Definition of community served
CmmntyDmgrphcsInd|Part V Section B repeating group; Demographics of community
ExstngRsrcsInd|Part V Section B repeating group; Existing health care facilities and resources
HwDtObtndInd|Part V Section B repeating group; How data obtained
CmmntyHlthNdsInd|Part V Section B repeating group; Health needs of community
OthrHlthIsssInd|Part V Section B repeating group; Other health issues
CmmntyHlthNdsIdPrcssInd|Part V Section B repeating group; Identifying process
CnsltngPrcssInd|Part V Section B repeating group; Consulting process
PrrCHNAImpctInd|Part V Section B repeating group; Impact of actions taken identified in prior CHNA
OthrInd|Part V Section B repeating group; CHNA describes other
CHNACndctdYr|Part V Section B repeating group; Year last conducted CHNA
TkIntAccntOthrsInptInd|Part V Section B repeating group; Take community input into account
CHNACndctdWthOthrFcltsInd|Part V Section B repeating group; Other hospital facilities?
CHNACndctdWthNnFcltsInd|Part V Section B repeating group; Other than hospital facilities?
CHNARprtWdlyAvlblInd|Part V Section B repeating group; CHNA widely available to public?
RptAvlblOnOwnWbstInd|Part V Section B repeating group; Available on own website
OwnWbstURLTxt|Part V Section B repeating group; Hospital facilities website URL
OthrWbstInd|Part V Section B repeating group; Other website
OthrWbstURLTxt|Part V Section B repeating group; Other website URL
PprCpyPblcInspctnInd|Part V Section B repeating group; Made paper copy available for public inspection
RptAvlblThrOthrMthdInd|Part V Section B repeating group; Available other method
ImplmnttnStrtgyAdptInd|Part V Section B repeating group; Adopt implementation strategy?
ImplmnttnStrtgyAdptYr|Part V Section B repeating group; Year last adopted implementation strategy
