object_id,ein,FrmAndLnRfrncDsc,ExplntnTxt
201533179349305948,620497990,"Part I, Line 1a",A Section 107 minister's housing allowance was provided to the President. This benefit was treated as nontaxable compensation.
201503079349301720,381359083,"SCHEDULE J, PAGE 1, PART I, LINE 1A","THE PRESIDENT OF THE COLLEGE IS PROVIDED A HOUSE FOR PERSONAL AND BUSINESS REASONS. THE HOUSE IS ALSO A COMMUNITY CENTER AND GATHERING PLACE USED FOR FUNDRAISING, BUSINESS ACTIVITIES, AND VARIOUS SOCIAL EVENTS. THE PRESIDENT IS NOT TAXED ON USAGE OF THE HOUSE."
201513099349301401,222325405,"PART I, LINE 1A","PART I, LINE 1A: ALL EMPLOYEES ARE ELIGIBLE FOR A HEALTH CLUB MEMBERSHIP SUBSIDY, CAYUGA MEDICAL CENTER WILL REIMBURSE EMPLOYEES 50% OF THE SINGLE MONTHLY MEMBERSHIP FEE WHEN THEY ATTEND THE HEALTH CLUB AT LEAST 24 TIMES A QUARTER. IF AN INDIVIDUAL DOES NOT MEET THE CRITERIA, THEY WILL NOT RECEIVE THE SUBSIDY."
201513099349301401,222325405,"PART I, LINE 6","YEAR END BONUS PROGRAM FOR ALL EMPLOYEES WAS BASED ON THE OPERATING MARGIN, PARTICIPATION IN THE ANNUAL SAFETY TRAINING AND REACHING PREDETERMINED CUSTOMER SATISFACTION SCORES. BONUSES PAID TO JOHN RUDD, JOHN COLLETT AND DAVID EVELYN, M.D. WERE EARNED IN 2013. PAYMENT OF THE 2013 MANAGEMENT BONUSES TOOK PLACE IN 2014 ONCE THE AUDITED FINANCIAL STATEMENTS WERE MADE AVAILABLE. STAFF BONUSES EARNED IN 2013 WERE PAID TO STAFF IN 2013. NO BONUSES WERE AWARDED TO ANY EMPLOYEE IN 2014."
201543109349300934,952672750,ALL COMPENSATION MATTERS ARE APPROVED BY THE BOARD OF TRUSTEES.
201533159349302123,462931956,"PART 1, LINE 4B & PART II - COLUMNS (b)(i), (ii) AND (iii)","As it relates to Compensation from Montefiore Health System, Inc. The Compensation Committee reviews and approves all forms of compensation and benefits provided to each executive with the assistance of a national independent compensation consulting firm. The consulting firm assists the Compensation Committee with its decision-making process to ensure executive compensation levels are reasonable and appropriate relative to those of other similar organizations. Base salaries in Column B(i) are determined based on competitive market practices for comparable positions with similar size organizations and scope of responsibilities. Bonus and incentive compensation in Column B(ii) is based on the achievement of performance goals. The executives' compensation program has a significant pay-at-risk component to ensure the alignment of pay and organizational performance. Goals are set in advance in areas such as quality of care, patient satisfaction, community services and financial performance. Compensation is at risk if the goals established by the Compensation Committee are not met. Other reportable compensation in column B(III) includes distributions from the supplemental executive retirement plan. In a manner designed to qualify for the ""rebuttable presumption of reasonableness"" the Compensation Committee of the Board of Trustees expressly reviewed and approved these retirement benefit arrangements for senior executives in a manner that qualified under the intermediate sanctions rules of the Federal tax law, and in recognition of (a) the executives' years of service to the organization and (b) the significant contributions to enhancing the ability of the organization to achieve its charitable mission in a manner consistent with financial solvency. Accordingly, this benefit should be viewed as applying to years of service for the organization. Steven Safyer, MD - Pooled Supplemental Executive Retirement Plan distribution of $2,021,844 based on approximately 32 years of service at Montefiore. Joel Perlman - Pooled Supplemental Executive Retirement Plan distribution of $534,534 based on more than 25 years of service at Montefiore. Christopher Panczner - Accrued and unpaid service costs of $254,790. Philip O. Ozuah, MD, PHD. - Accrued and unpaid service costs of $1,981,481. Susan Green Lorenzen, RN - Accrued and unpaid service costs of $465,033. Lynn Richmond - Accrued and unpaid service costs of $323,020."
201543159349300439,160743905,"Schedule J, Part I, Line 1a",The CEO and COO have their dues paid at the Elmira Country Club. The personal use portion is reported under taxable income.
201543159349300439,160743905,"Schedule J, Part I, Line 3",Compensation for the President and Vice Presidents are set pursuant to a policy and compensation philosophy adopted by the Board of Directors. The Board has a Compensation Committee consisting of outside directors. The Compensation Committee uses a consultant to advise it on compensation for the officers. The consultant collects and reports compensation on similar positions in similar nonprofit hospitals from upstate New York and Western Pennsylvania. The Compensation Committee recommends adjustments to the Executive Committee of the Board which reviews the recommendations and approves or disapproves without employees in the room. This action then is reviewed with the entire Board also in executive session.
201543159349300439,160743905,"Schedule J, Part I, Line 7",Physician compensation has a variable component based upon volume quality and patient satisfaction scores. Officer compensation has a variable component based upon patient experience quality and efficiency.
201543159349300809,560529972,"PART I, LINE 1A","ONE EMPLOYEE HAS A COUNTRY CLUB MEMBERSHIP EXCLUSIVELY FOR BUSINESS PURPOSES, SUCH AS MEETINGS WITH FRIENDS OF THE UNIVERSITY AND DONORS."
201542549349300204,350715530,PART I,"LINE 1A: SPOUSAL TRAVEL IS ALLOWED FOR THE PRESIDENT'S WIFE AND IS INCLUDED IN TAXABLE INCOME. A HOUSING ALLOWANCE IS PROVIDED FOR THE PRESIDENT. THIS ALLOWANCE IS ALSO INCLUDED IN TAXABLE INCOME. LINE 4B: THE PRESIDENT IS THE SOLE PARTICIPANT IN TRINE'S 457(F) PLAN. DURING 2014, AMOUNTS DEFERRED UNDER THE PLAN WERE $17,500."
201512879349301636,410694721,"PART I, LINE 1A",PAUL PRIBBENOW - RESIDENCE FOR PERSONAL USE - NOT INCLUDIBLE IN TAXABLE INCOME
201522879349301422,344429091,"SCHEDULE J, PART I, LINE 1A","EXPLANATION OF BENEFITS SPOUSAL TRAVEL IS PROVIDED TO THE PRESIDENT AND HIS WIFE DURING SOLICITATION EVENTS PRIMARILY IN THE WINTER/SPRING MONTHS TO ASSIST IN BUILDING RELATIONSHIPS BETWEEN THE UNIVERSITY AND DONORS. THE PRESIDENT'S WIFE SERVES AS THE COMMUNITY LIAISON AND SHE IS AN INTEGRAL PART OF THE UNIVERSITY RELATIONS. AS A RESULT, THE SPOUSAL TRAVEL IS NOT INCLUDED IN TAXABLE INCOME BECAUSE THERE IS A SUBSTANTIAL BUSINESS PURPOSE FOR THIS BENEFIT. THE UNIVERSITY FURNISHES A RESIDENCE TO THE PRESIDENT FOR THE CONVENIENCE OF THE UNIVERSITY. THE PRESIDENT IS REQUIRED TO LIVE IN THE RESIDENCE AS A CONDITION OF HIS EMPLOYMENT, AND THE RESIDENCE IS CONTIGUOUS TO CAMPUS. THE VALUE OF THE OCCUPANCY OF THE RESIDENCE IS NOT INCLUDED IN HIS TAXABLE INCOME. THE PRESIDENT ALSO REGULARLY CONDUCTS BUSINESS IN THE HOME INCLUDING STUDENT EVENTS, DONOR RECEPTIONS, BUSINESS MEETINGS AND OTHER BUSINESS RELATED MATTERS. SOCIAL CLUB DUES ARE PROVIDED FOR BUSINESS PURPOSES ONLY TO THE PRESIDENT."
201522879349301422,344429091,"SCHEDULE J, PART I, LINE 4A","IN 2015, THE UNIVERSITY IMPLEMENTED SOME EMPLOYEE REDUCTIONS, PRIMARILY THROUGH A ONE-TIME VOLUNTARY RETIREMENT OPTION TO CERTAIN ELIGIBLE EMPLOYEES. HOWARD N. FENTON, III, BRUCE FRENCH, AND TERRY MARIS PARTICIPATED IN THE RETIREMENT OPTION WHICH RESULTED IN PAYMENTS FOR SEVERANCE OF $250,000, $189,473, AND $142,531 RESPECTIVELY."
