object_id,ein,DspstnOfAsstsDtl_AsstsDstrOrExpnssPdDsc,DspstnOfAsstsDtl_DstrbtnDt,DspstnOfAsstsDtl_FrMrktVlOfAsstAmt,DspstnOfAsstsDtl_MthdOfFMVDtrmntnTxt,DspstnOfAsstsDtl_EIN,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,DspstnOfAsstsDtl_IRCSctnTxt
201523179349301747,540506331,INVESTMENTS,2014-05-01,193979585,BROKERAGE STATEMENT,521271901,SENTARA HEALTHCARE,6015 POPLAR HALL DRIVE,NORFOLK,VA,23502,501(C)(3)
201523179349301747,540506331,CASH,2014-11-30,50000000,521271901,SENTARA HEALTHCARE,6015 POPLAR HALL DRIVE,NORFOLK,VA,23502,501(C)(3)
201523179349301747,540506331,PENSION DEBT,2014-04-30,-19650044,BOOK VALUE,521271901,SENTARA HEALTHCARE,6015 POPLAR HALL DRIVE,NORFOLK,VA,23502,501(C)(3)
201523179349301747,540506331,INTERCO DEBT,2014-06-30,-288197246,BOOK VALUE,521271901,SENTARA HEALTHCARE,6015 POPLAR HALL DRIVE,NORFOLK,VA,23502,501(C)(3)
201543149349301889,530174589,REAL ESTATE,2015-01-13,11850000,FMV,472771328,THE INTERNATIONAL LEARNING HUB,4341 MONTGOMERY AVENUE,BETHESDA,MD,20814,LLC
201630099349300303,391599062,"Building, Land & Leasehold Improvements in DePere, WI Book Value = $824,492",2015-06-12,512000,Real property sold at market value,484866918,Peninsula LLC,856 East Main Street,Robins,IA,52328
201611339349304731,520895834,"SALE OF LAND AND BUILDINGS (BOOK VALUE $31,578,981) TO RELEASE ALL BOND LOANS PAYABLE AND PAYABLES UNDER TRHE SWAP AGREEMENT TO DATE.",2014-07-01,31400000,SALES PRICE,BANK OF AMERICA,C/O NLC 815 16TH STR NW,WASHINGTON,DC,20006,CORPORATION
201621379349301857,550370128,TRUST INVESTMENTS,2015-06-30,775580,FMV,550357039,UNIVERSITY OF CHARLESTON INC,2300 MACCORKLE AVE SE,CHARLESTON,WV,25304,501(C)(3)
201621379349301857,550370128,"LAND, BUILDINGS, AND EQUIPMENT",2015-06-30,7090632,BV,556000842,WEST VIRGINIA UNIVERSITY,PO BOX 6201,MORGANTOWN,WV,26506,501(C)(3)
201630509349300013,530196641,NET ASSETS AND OPERATIONS,2014-08-14,43993828,FMV,530196584,THE GEORGE WASHINGTON UNIVERSITY,45155 RESEARCH PLACE,ASHBURN,VA,201474198,501(C)(3)
201630509349300013,530196641,NET ASSETS AND OPERATIONS,2014-08-14,5265761,FMV,536001666,NATIONAL GALLERY OF ART,6TH AND CONSTITUTION AVE NW,WASHINGTON,DC,20565,501(C)(3)
201630509349300013,530196641,NET ASSETS AND OPERATIONS,2014-08-18,2560000,FMV,541876548,THE PITTMAN FAMILY FOUNDATION,810 SEVENTH AVENUE 7FL,NEW YORK,NY,10019,501(C)(3)
201600479349301495,660379122,SALE OF ASSETS,2014-09-05,11294378,APPRAISAL,452847914,ARIST MEDICAL SCIENCES UNIVERSITY,PO BOX 7004,PONCE,PR,007327004,PBC
201621309349300542,250965307,CASH AND CASH EQUIVALENTS,2014-08-31,258579,BOOK VALUE,611739000,DLP CONEMAUGH MEMORIAL MEDICAL CENTER,330 SEVEN SPRINGS WAY,BRENTWOOD,TN,37027,CORPORATION
201621309349300542,250965307,PATIENT ACCOUNTS RECEIVABLE,2014-08-31,43829550,BOOK VALUE,611739000,DLP CONEMAUGH MEMORIAL MEDICAL CENTER,330 SEVEN SPRINGS WAY,BRENTWOOD,TN,37027,CORPORATION
201621309349300542,250965307,SUPPLIES INVENTORIES,2014-08-31,4316350,BOOK VALUE,611739000,DLP CONEMAUGH MEMORIAL MEDICAL CENTER,330 SEVEN SPRINGS WAY,BRENTWOOD,TN,37027,CORPORATION
201621309349300542,250965307,PREPAID EXPENSES,2014-08-31,5845757,BOOK VALUE,611739000,DLP CONEMAUGH MEMORIAL MEDICAL CENTER,330 SEVEN SPRINGS WAY,BRENTWOOD,TN,37027,CORPORATION
201621309349300542,250965307,ASSETS LIMITED AS TO USE,2014-08-31,591064,BOOK VALUE,611739000,DLP CONEMAUGH MEMORIAL MEDICAL CENTER,330 SEVEN SPRINGS WAY,BRENTWOOD,TN,37027,CORPORATION
201621309349300542,250965307,PROPERTY AND EQUIPMENT,2014-08-31,90611491,BOOK VALUE,611739000,DLP CONEMAUGH MEMORIAL MEDICAL CENTER,330 SEVEN SPRINGS WAY,BRENTWOOD,TN,37027,CORPORATION
201621309349300542,250965307,OTHER ASSETS,2014-08-31,2311000,BOOK VALUE,611739000,DLP CONEMAUGH MEMORIAL MEDICAL CENTER,330 SEVEN SPRINGS WAY,BRENTWOOD,TN,37027,CORPORATION
201631019349300203,237022431,LAND & BUILDING,2014-09-09,235000,SALES PRICE,363339157,SAINT PAUL INTERVENTION PROJECT,1509 MARSHALL AVENUE,SAINT PAUL,MN,55104,501(C)(3)
