object_id,ein,RltdOrgnztnNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdOrgTxblCrpTr_EIN,IdRltdOrgTxblCrpTr_PrmryActvtsTxt,IdRltdOrgTxblCrpTr_LglDmclSttCd,IdRltdOrgTxblCrpTr_DrctCntrllngNACd,IdRltdOrgTxblCrpTr_EnttyTxt,IdRltdOrgTxblCrpTr_CntrlldOrgnztnInd
201533179349305948,620497990,Charitable Remainder Unitrust (1),Charitable Remainder Unitrust,TN,Trevecca Nazarene University,0
201533179349305948,620497990,Beneficial Interest in Trust (1),Beneficial Interest in Trust,TN,Trevecca Nazarene University,0
201503079349301720,381359083,PERPETUAL TRUSTS (6),TRUSTS,MI,N/A,TRUST,false
201503079349301720,381359083,CHARITABLE REMAINDER TRUSTS (5),CRTS,MI,N/A,TRUST,false
201503079349301720,381359083,ALMA COLLEGE POOLED INCOME FUND,111 LYON STREET,GRAND RAPIDS,MI,49503,386452295,PIF,MI,N/A,TRUST,346727,1.00000,false
201513099349301401,222325405,TOMPKINS OFFICE MANAGEMENT SYSTEM,101 DATES DRIVE,ITHACA,NY,14850,161437217,OFFICE MANAGEMENT,NY,CAYUGA MEDICAL CENTER AT ITHACA,C,171478,841126,1.00000,1
201513099349301401,222325405,CAYUGA AREA PLAN INC,101 DATES DRIVE,ITHACA,NY,14850,161298390,HEALTHCARE,NY,C,0.50000,0
201513099349301401,222325405,CAYUGA AREA PREFERRED INC-(CONSOLIDATED W CAYUGA AREA PLAN),101 DATES DRIVE,ITHACA,NY,14850,161542122,HEALTHCARE,NY,C,92893,616893,0.50000,0
201513099349301401,222325405,CAP CONNECTLLC,101 DATES DRIVE,ITHACA,NY,14850,453969273,HEALTHCARE,NY,CAYUGA MEDICAL CENTER AT ITHACA,C,75141,0.85000,1
201513099349301401,222325405,ISLAND HEALTH & FITNESS (IH&F),310 TAUGHANNOCK BLVD SUITE 1,ITHACA,NY,14850,203036206,FITNESS,NY,TOMPKINS OFFICE MGMT SYSTEM,C,0
