object_id,ein,PrsnNm,TtlTxt,AvrgHrsPrWkRt,AvrgHrsPrWkRltdOrgRt,IndvdlTrstOrDrctrInd,OffcrInd,RprtblCmpFrmOrgAmt,RprtblCmpFrmRltdOrgAmt,OthrCmpnstnAmt
201612439349300006,042662873,ROBERT A BURKE,DIRECTOR,X,0,0,0
201612439349300006,042662873,BRUCE HOLMES,PRESIDENT,X,X,0,0,0
201612439349300006,042662873,BOB EVERS,SECRETARY,X,X,0,0,0
201612439349300006,042662873,BRIAN QUINN,DIRECTOR,X,0,0,0
201612439349300006,042662873,LAURA SEAMAN,DIRECTOR,X,0,0,0
201612439349300006,042662873,CHERYL LAGATTA,DIRECTOR,X,0,0,0
201612439349300006,042662873,BILL PLASKO,VICE-PRESIDE,X,X,0,0,0
201612439349300006,042662873,BRIAN KNELL,DIRECTOR,X,0,0,0
201612439349300006,042662873,THOMAS TOBIN,TREASURER,X,X,0,0,0
201612439349300006,042662873,TIMOTHY O'CONNELL,DIRECTOR,X,0,0,0
201612439349300006,042662873,JOHN J FOLEY,DIRECTOR,X,0,0,0
201612439349300006,042662873,PERRY SIEGEL,DIRECTOR,X,0,0,0
201612439349300006,042662873,PETER KING,DIRECTOR,X,0,0,0
201612439349300006,042662873,JAMES MORRISSEY,DIRECTOR,X,0,0,0
201612439349300006,042662873,JAMES SULLIVAN,DIRECTOR,X,0,0,0
201612439349300006,042662873,PETER CONNEELY,DIRECTOR,X,0,0,0
201612439349300026,042964630,DHARMENA DOWNEY,BOARD MEMBER,1.00,X,0,0,0
201612439349300026,042964630,ROSE FIORE,BOARD MEMBER,1.00,X,0,0,0
201612439349300026,042964630,MARY ELLEN WELCH,BOARD MEMBER,1.00,X,0,0,0
201612439349300026,042964630,KYLA PIERCEY CURLEY CPA,CO-VICE PRESIDENT,1.00,X,X,0,0,0
201612439349300026,042964630,MICHAEL LAKE,BOARD MEMBER,1.00,X,0,0,0
201612439349300026,042964630,GREG COMEAU CPA,CO-TREASURER,1.00,X,X,0,0,0
201612439349300026,042964630,ERNANI DEARAUJO ESQ,PRESIDENT,1.00,X,X,0,0,0
201612439349300026,042964630,MICHAEL ZALDUMBIDE CPA,CO-VICE PRESIDENT,1.00,X,X,0,0,0
201612439349300026,042964630,ROBERT SCHMIDT,CO-CLERK/SECRETARY,1.00,X,X,0,0,0
201612439349300026,042964630,KIMBERLY DAWSON,BOARD MEMBER,1.00,X,0,0,0
201612439349300026,042964630,MIRYAM CISSERO ESQ,CO-CLERK/SECRETARY,1.00,X,X,0,0,0
201612439349300026,042964630,LAUREN DEMAYO CPA,CO-TREASURER,1.00,X,X,0,0,0
201612439349300026,042964630,BRIAN GREGORY,BOARD MEMBER,1.00,X,0,0,0
201612439349300026,042964630,SCARLETT B MITCHELL,BOARD MEMBER,1.00,X,0,0,0
201612439349300026,042964630,ANDREW DESTEFANO,BOARD MEMBER,1.00,X,0,0,0
201612439349300026,042964630,C OMAR JAUREGUI,BOARD MEMBER,1.00,X,0,0,0
201612439349300026,042964630,PHILIP R GIFFEE,EXECUTIVE DIRECTOR,37.50,X,142739,0,17481
201612439349300026,042964630,VINNY QUALTIERI,DIRECTOR OF FINANCE,37.50,X,95868,0,3191
201612439349300341,382912028,WILLIAM LAWRENCE,PRESIDENT,3.00,X,X,0,0,0
201612439349300341,382912028,DON HAMILTON,BOARD MEMBER,3.00,X,X,0,0,0
201612439349300341,382912028,CHARLES HONKALA,SECRETARY/TR,3.00,X,X,0,0,0
201612439349300341,382912028,MIKE BARGER,PAST PRESIDE,2.00,X,X,0,0,0
201612439349300341,382912028,DENNIS BOWLES,BOARD MEMBER,2.00,X,X,0,0,0
201612439349300341,382912028,PATRICIA CALABRO,BOARD MEMBER,2.00,X,X,0,0,0
201612439349300341,382912028,ANITA DALEY,BOARD MEMBER,2.00,X,X,0,0,0
201612439349300341,382912028,DR DAVID ROBERTS,BOARD MEMBER,2.00,X,X,0,0,0
201612439349300341,382912028,MELINDA JONES,BOARD MEMBER,2.00,X,X,0,0,0
201612439349300341,382912028,STEVE TURNER,BOARD MEMBER,2.00,X,X,0,0,0
201612439349300341,382912028,GAIL CAGLE,ADMIN ASSIST,2.00,X,X,0,0,0
201612439349300516,200509226,MATT TRACY,PRESIDENT,1.00,X,X,0,0,0
201612439349300516,200509226,LARRY BROWN,VP,1.00,X,X,0,0,0
201612439349300516,200509226,KEITH CORNELL,SECRETARY,1.00,X,X,0,0,0
201612439349300516,200509226,STEVE RICE,TREASURER,1.00,X,X,0,0,0
201612439349300546,202699020,EMILY SMITH,EXECUTIVE DI,40.00,X,35000,0,0
201612439349300546,202699020,THOMAS SMITH,PRESIDENT,20.00,X,X,0,0,0
201612439349300546,202699020,FRANCES SMITH,SECRETARY/TR,20.00,X,X,0,0,0
201612439349300546,202699020,KEVIN SMITH,VICE PRESIDE,3.00,X,X,0,0,0
201612439349300601,251525572,CHARLES BARBER,BOARD MEMBER,1.00,X,0,0,0
201612439349300601,251525572,BETSY BORT,TREASURER/SECRETARY,1.00,X,X,0,0,0
201612439349300601,251525572,HARRY BROWN,VICE CHAIRMAN,1.00,X,X,0,0,0
201612439349300601,251525572,KELLY BYERS,BOARD MEMBER,1.00,X,0,0,0
201612439349300601,251525572,JAMES E GEHRLEIN,PRINCIPAL OFFICER,1.00,X,X,0,0,0
201612439349300601,251525572,ROSEMARI GRAHAM,BOARD MEMBER,1.00,X,0,0,0
201612439349300601,251525572,LARRY HAMMON,BOARD MEMBER,1.00,X,0,0,0
201612439349300601,251525572,MARIA CONTINENZA,BOARD MEMBER,1.00,X,0,0,0
