object_id,ein,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
201533039349300813,411495321,WELLS FARGO,222 W SUPERIOR ST STE 200,DULUTH,MN,55802,INVESTMENT SERVICES,575078
201533039349300813,411495321,MINNESOTA MASONIC ELDER SERVICES,11501 MASONIC HOME DRIVE,BLOOMINGTON,MN,55437,MANAGEMENT SERVICES,350000
201533039349300813,411495321,SILCHESTER INTERNATIONAL INVESTORS,780 3RD AVENUE 42ND FLOOR,NEW YORK,NY,10017,INVESTMENT SERVICES,115514
201533139349300148,362425015,DELORES RIDOUT,1323 KIRBY LAKE CT,RICHMOND,TX,77469,ADVERTISING SALES,214517
201533139349300148,362425015,MDS ASSOCIATES,1127 KRISTIN DR,LIBERTYVILLE,IL,60048,ADVERTISING SALES,166671
201533139349300208,060666277,MUNDY KATOWITZ MEDIA INC,1322 G STREET SE,WASHINGTONWASHINGTON,DC,20003,MARKETING FIRM FOR POLITICAL CAMPAIGNS,371114
201533139349300208,060666277,LAKE RESEARCH PARTNERS,1726 M STREET NW,WASHINGTONWASHINGTON,DC,20036,POLITICAL STRATEGY RESEARCH FIRM,148372
201533139349300208,060666277,THE HAMBURGER COMPANY,5505 CONNECTICUT AVE NW,WASHINGTONWASHINGTON,DC,20015,POLITICAL STRATEGY RESEARCH- INNOVATIVE,146580
201533069349300408,581666179,CLARK CONTRACTORS LLC,15825 CANTRELL RD,LITTLE ROCK,AR,722234249,CONSTRUCTION,814068
201533069349300408,581666179,CONSTRUCTION NETWORK INC,PO BOX 1654,JONESBORO,AR,72116,CONSTRUCTION,116859
201533069349300408,581666179,PRESTIGE HOMES,110 S OAK ST,CABOT,AR,72023,CONSTRUCTION,313321
201533189349300443,201605555,ROMAN PESHOFF,1500 TIMBERWOLF DR,HOLLAND,OH,43528,MARKETING PUBLIC RELATIONS,272019
201533189349300443,201605555,HAVEN HOME,750 3RD AVENUE,NEW YORK,NY,10017,MEDIA SERVICE,247169
201533189349300443,201605555,CUTTERS PRODUCTIONS INC,3626 SHARON ROAD,CHARLOTTE,NC,28211,MEDIA AND MARKETING SUPPORT,140200
201533179349305888,541595311,FREEMAN AUDIO & VISUAL SOLUTIONS,100 VICEROY SUITE 100,DALLAS,TX,75235,EVENT SERVICES,172835
201533179349305888,541595311,VERIS CONSULTING INC,11710 PLAZA AMERICA DRIVE SUITE 30,RESTON,VA,20190,ACCOUNTING SERVICES,150285
201533179349305888,541595311,ARNALL GOLDEN GREGORY LLP,171 17TH STREET NW SUITE 2100,ATLANTA,GA,30363,LEGAL/LOBBYING,150000
201533179349305948,620497990,Pioneer College Caterers Inc,303 Glenrose Avenue,Nashville,TN,37210,Student food services,1782344
201533179349305948,620497990,Case Cleaning Company,PO Box 171053,Nashville,TN,37217,Specialty cleaning/recovery,1413373
201533179349305948,620497990,Tree of Life Bookstores Inc,4601 S Western Avenue,Marion,IN,46953,Bookstore services,772146
201533179349305948,620497990,Belmont University,1900 Belmont Boulevard,Nashville,TN,37212,Student instruction,650326
201533179349305948,620497990,American Constructors Inc,2900 Vanderbilt Place Suite 200,Nashville,TN,37212,Construction services,597364
201533209349306058,251268703,BALDWIN ASPHALT PAVING,227 BALDWIN RD,PITTSBURGH,PA,15207,ASPHALT PAVING,218129
201523209349313352,133506107,CFD CONSULTING,13112 HUNTINGTON WOODS AVE,SPRING HILL,FL,34446,CONSULTING,190875
201523209349313352,133506107,THE LEWIN GROUP,3130 FAIRVIEW PARK DRIVE,FALLS CHURCH,VA,33042,CONSULTING,473312
201523209349313352,133506107,DENTONS USA LLP,DEPT 7247-6670,PHILADELPHIA,PA,19170,LEGAL,130651
201523209349313352,133506107,Brand consultancy,consulting,411001
201533179349303723,751094140,BAYLOR UNIVERSITY MED CTR,PO BOX 842022,DALLAS,TX,75284,HOSPICE CARE,774267
201533179349303723,751094140,OLICON INC,1801 ROYAL LANE 700,DALLAS,TX,75229,CONSTRUCTION SERVICES,696853
201533179349303723,751094140,PRDG LLC,3535 TRAVIS STREET 265,DALLAS,TX,75204,ARCHITECTURAL SERVICES,518378
201533179349303723,751094140,SALUS SOLUTIONS,7330 FERN AVE SUITE 502,SHREVEPORT,LA,71105,CONTRACT LABOR,478341
201533179349303723,751094140,FAULKNER DESIGN GROUP,3232 MCKINNEY AVENUE SUITE 1170,DALLAS,TX,75204,CONTRACT LABOR,244122
201523039349300982,131690769,WHITE PLAINS BUS,14 FISHER LANE,WHITE PLAINS,NY,10603,TRANSPORTATION SERVICES,1548666
201523039349300982,131690769,JOE CROCCO JR,4 MACDONALD AVENUE STE 5,ARMONK,NY,10504,GENERAL CONSTRUCTION,391064
201523039349300982,131690769,GARITO CONTRACTING INC,791 NEPPERHAN AVENUE,YONKERS,NY,10703,GENERAL CONSTRUCTION,208974
201523039349300982,131690769,STAN-MAR MAINTENANCE,434 GARFIELD AVE,BRIDGEPORT,CT,06606,CLEANING,122629
201523039349300982,131690769,ROBI ELECTRIC,90 SOUTH CENTRAL AVENUE,ELMSFORD,NY,10523,ELECTRICIAN,109567
201533099349301313,953523323,Kellen Company,1100 Johnson Ferry Rd Suite 300,Atlanta,GA,30342,"Management Services, Website, PR, etc",1283097
201533099349301313,953523323,Marina Bay Sands Pte Ltd,10 Bayfront Ave,Singapore,SN,018956,Conference & Tradeshow facilities,141918
201533099349301313,953523323,Kirstein & Young PLLC,1750 K Street NW Suite 200,Washington,DC,20006,U.S. Dept of Transportation Consulting,136617
201533099349301313,953523323,SmartBrief,148 Madison Ave 7th Floor,New York,NY,10016,Digital Media Services,122550
201533099349301313,953523323,Freeman,1600 Viceroy Suite 100,Dallas,TX,75266,Exhibition & Decoration Services,100655
201533079349301328,130428020,STRAT COMM LLC,1156 15TH STREET NW,WASHINGTON,DC,20005,PR CONSULTANT,364706
201533079349301328,130428020,DUCKER RESEARCH NA LLC,1250 MAPLELAWN DRIVE,TROY,MI,48084,RESEARCH CONSULTANT,142441
201533079349301328,130428020,BAKER & HOSTETLER,1050 CONNECTICUT AVE NW,WASHINGTON,DC,20036,LEGAL SERVICES,134707
201523209349312367,391669331,BCBS,120 FIFTH AVE,PITTSBURGH,PA,15222,ADMINISTRATION,3176047
201523209349312367,391669331,THE HARTFORD,20 Stanwix St Fl 4,PITTSBURGH,PA,15222,ADMINISTRATION,269656
201523089349301927,362703057,AESTHETIC VISUAL SOLUTIONS INC,7565 COMMERCIAL WAY,HENDERSON,NV,89011,GRAPHIC DESIGNING,109778
201523089349301927,362703057,ANSWERS MEDIA INC,30 NORTH RACINE 300,CHICAGO,IL,60607,PRODUCTION SERVICES,108115
201533179349300543,621674308,NEW DIRECTION LAKEVIEW,106 CARTER LANE,MT JULIET,TN,37122,RENTS,415040
201533179349300543,621674308,YOUNG'S HAVEN,PO BOX 60330,NASHVILLE,TN,37206,RENTS,194861
201533179349300543,621674308,AUTUMN RIDGE MANOR LLC,PO BOX 135,WHITE BLUFF,TN,37187,RENTS,175992
201533179349300543,621674308,JEWELL MECHANICAL,1000 ELM HILL PK,NASHVILLE,TN,37210,REPAIRS & MAINT.,140833
201523209349311932,311078646,KAPP CONSTRUCTION INC,329 MOUNT VERNON AVE,SPRINGFIELD,OH,45503,CONSTRUCTION SERVICES,741204
201523209349311932,311078646,SOURCE AMERICA,8401 OLD COURTHOUSE RD,VIENNA,VA,22182,GOVT CONTRACT ADVOCATE,154097
201533179349308283,237323629,Precision Communications Enterprises,PO Box 7335,Silver Spring,MD,20907,GetCovered Project Leader,120000
201533179349308308,161588242,LECHASE CONSTRUCTION SERVICES LLC,205 INDIGO CREEK DRIVE,ROCHESTER,NY,14626,RENOVATION PROJECT,578948
201533179349306108,237382708,INSPERITY,545 E JOHN CARPENTER FWY 1200,IRVING,TX,75062,PEO SALARIES AND BENEFITS,1634576
