object_id,ein,FrgnCntryCd
201533179349308913,132686230,CA
201533209349301973,204662303,FR
201533089349301458,980031007,SW
201533209349311133,841284437,NL
201533209349310838,562553486,OC
201533209349304743,371440662,SZ
201523209349311832,680369934,BY
201523209349311832,680369934,CO
201523209349311832,680369934,KZ
201533079349300818,204352212,CJ
201503089349300305,131628168,JA
201503089349300535,133345696,UK
201503099349301190,943280315,CS
201513079349301516,364237214,FR
201503039349300115,521835853,BD
201513099349300136,316054097,CA
201543139349303014,134059911,CA
201533149349303803,043265555,TH
201533159349301333,421523757,OC
201543109349300004,650544687,IT
