object_id,ein,Dsc,BsnssCd,TtlRvnClmnAmt,ExclsnAmt
201533189349300608,237324566,MISCELLANEOUS,900099,1094,1094
201533069349300963,621273871,UNREALIZED GAIN OR LOSS,900001,8515,8515
201523099349300542,541897455,RENT FROM UVA,17751,17751
201523069349300142,272364809,OTHER REVENUE,21,21
201523089349301462,561797737,SALES TAX REFUND,1430,1430
201523089349301462,561797737,MISCELLANEOUS INCOME,333,333
201523209349311332,752204594,MISCELLANEOUS,900099,5091,5091
201533179349302173,251374594,FEES AND OTHER INCOME,561499,29535,29535
201533179349302173,251374594,RESIDUALS,561499,5558,5558
201533179349302173,251374594,SALES & SERVICE,561499,3195,3195
201533209349302633,363789851,REBATE INCOME,900099,1349,1349
201533039349300813,411495321,OTHER REVENUE,900099,227426,227426
201533139349300148,362425015,SUBSIDIARY INVESTMENT INCOME,524298,1327072,1327072
201533139349300148,362425015,CURRENCY EXCHANGE LOSS,900099,-281,-281
201523069349300957,341496171,INSURANCE RECOVERY,624100,25900,25900
201523079349301387,951161330,REIMBURSED EXPENSES,900099,6383,6383
201523079349301387,951161330,SALE OF PROMOTIONAL ITEMS,900099,1535,1535
201523209349310937,166064596,OTHER INCOME,383,383
201533179349306528,237362980,OTHER INCOME,900099,1150,1150
201533209349302303,541020432,OTHER INCOME,900099,5099,5099
201533179349307828,237190326,MISCELLANEOUS,453000,3795,3795
201533179349309453,431130682,MISCELLANEOUS,219,219
201533209349301728,510173731,OTHER REVENUE,900099,9842,9842
201533209349301728,510173731,VALUATION ADJUSTMENT,900099,-311206,-311206
201533209349306423,930718337,MISCELLANEOUS REVENUE,900099,4551,4551
201533179349307838,930286205,DIRECTORY,541800,50458,20612,29846
201533179349307838,930286205,NEWSLETTER,541800,17134,11554,5580
201533179349307838,930286205,WEBSITE,541800,5581,4611,970
201533189349300223,521754771,ADVERTISING INCOME,541800,78200,78200
201533189349300223,521754771,MISCELLANEOUS INCOME,900099,36500,36500
201533189349300233,237392554,ADVERTISING REVENUE,900099,9911,9650,261
201533069349300408,581666179,MEANINGFUL USE REVENUE,900099,327250,327250
201533069349300408,581666179,TUITION,900099,178335,178335
201533069349300408,581666179,TRANSPORTATION,900099,7003,7003
201533179349308913,132686230,REIMBURSED EXPENSES,900099,6454231,6454231
201533209349305433,581899084,FINRA GRANT,999999,5000,5000
