object_id,ein,Dsc,BsnssCd,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt
201533189349300608,237324566,RACE & RALLY FEES,711300,230378
201533189349300608,237324566,RACE * RALLY CONSULTING FEES,711300,15000
201533189349300608,237324566,MEMBERSHIP FEES,900099,80300
201533189349300608,237324566,CONFERNECES & FORUMS,611710,105046
201523069349301367,043259150,COMMUNITY SERVICES,900099,166191,166191
201533069349300963,621273871,EVENT INCOME - RCC,713990,78906,78906
201523099349300542,541897455,TRAINING COURSES AND MATERIAL,81700,81700
201533099349301033,251869168,MISSION TRIPS,26425,26425
201533099349301043,204560423,MISCELLANEOUS,541900,3200,3200
201533109349300348,596134207,INCOME ON LOANS,522100,2436786,2436786
201533109349300348,596134207,"FEES, CHARGES, MISCELLANEOUS",522100,1093064,1093064
201543039349301204,463812139,MASTER CLASS REGISTRAT,711120,24920,24920
201543039349301204,463812139,PERFORMANCES,711120,18500,18500
201523089349301462,561797737,COUNTY TAX RECEIPTS,197905,197905
201533069349300788,590638867,MEMBERSHIP DUES,813410,717040,717040
201533079349300238,273314429,Tuition,611600,24330,24330
201523209349311332,752204594,Fees & Contracts Gov Agencies,900099,66605,66605
201523209349311332,752204594,RETAIL PROGRAM SALES,453310,1607861,1607861
201533179349302173,251374594,BUSINESS FEES,564199,267186,267186
201533179349302173,251374594,PROMOTION,564199,64700,64700
201533179349302173,251374594,JOB FAIR,564199,14725,14725
201533179349302173,251374594,AFTER HOURS MIXERS,564199,11900,11900
201533179349302173,251374594,ECONOMIC EVENTS,564199,4790,4790
201533179349307048,450448773,SERVICE REVENUE,56008,56008
201533209349302633,363789851,INSURANCE PREMIUMS,525100,6439109,6439109
201533209349302633,363789851,MEMBERSHIP DUES,900099,34226,34226
201533209349302633,363789851,FLEX SPENDING PREMIUMS,525100,7236,7236
201533099349301113,411712804,PACKAGE INCOME,812900,520716,520716
201533099349301113,411712804,ADOPTION STUDY INCOME,812900,203318,203318
201533099349301113,411712804,BIRTHPARENT COUNSELING,812900,47700,47700
201533099349301113,411712804,INTAKE INCOME,812900,8625,8625
201533099349301113,411712804,CONSENT INCOME,812900,6800,6800
201523079349301652,273741627,Program Service Fees,900099,19613,19613
201533139349300148,362425015,CONVENTION/TRADE,611710,6418537,6418537
201533139349300148,362425015,MEMBERSHIP DUES,611710,3115015,3115015
201533139349300148,362425015,RENTAL MGMT MAGAZINE,511120,2602268,2602268
201533139349300148,362425015,RISK MANAGEMENT,611710,564525,564525
201533139349300148,362425015,BUSINESS MANAGEMENT,611710,271540,271540
201533139349300208,060666277,MEMBERSHIP DUES,900099,18287166,18287166
201533139349300208,060666277,NEA SUPPORT AND REIMBURSEMENTS,900099,1137495,1137495
201533139349300208,060666277,SPECIAL SERVICES,900099,101046,101046
201533069349301413,042616064,CONTRACT INCOME,621610,33729838,33729838
201533069349301413,042616064,PROGRAM SERVICE FEES,623000,461450,461450
201523069349300957,341496171,MEDICAID FEE-FOR-SERVICE,624100,434111,434111
201523079349301387,951161330,DUES AND FEES,900099,880424,880424
201523239349300002,593181989,MEDICAID INCOME,1297204,1297204
201523239349300002,593181989,LTRC INCOME,155632,155632
201523239349300002,593181989,FOOD STAMPS,2024,2024
201533209349302303,541020432,THRIFT STORE SALES,448000,97260,97260
201533179349307828,237190326,REHABILITATIVE SERVICE,624310,370158,370158
201533179349309453,431130682,MEETINGS,38444,38444
201533179349309453,431130682,SPONSORSHIPS,21510,21510
201533209349301728,510173731,ADMISSIONS,900099,69973,69973
201533209349301728,510173731,MEMBERSHIP,900099,26268,26268
201533209349301728,510173731,EXHIBIT AND EDUCATION,900099,23947,23947
201533209349301738,465547446,INCOME,900099,4720,4720
201533179349307538,570980098,WATER/SEWER SERVICE,221000,2246255,2246255
201533209349306438,521120638,PATIENT SERVICE FEES,624100,727775,727775
201533209349306438,521120638,CONTINUING EDUCATION,624100,15365,15365
201533179349307838,930286205,MEETINGS / WORKSHOPS,83492,83492
201533179349307838,930286205,GREETERS,45986,45986
201533179349307838,930286205,GOVT CONTRACTS,27500,27500
201533189349300223,521754771,MEMBERSHIP DUES,900099,2828780,2828780
201533189349300223,521754771,REGISTRATION FEES,900099,1140005,1140005
201533189349300223,521754771,ONLINE REVENUE,900099,766000,766000
201533189349300223,521754771,ANNUAL CONFERENCE,900099,488183,488183
201533179349309083,850171020,SHELTER SERVICES,34702,34702
201533189349300233,237392554,MEMBERSHIP FEES,900099,511967,511967
201533189349300233,237392554,MEETING REVENUE,900099,120327,120327
201533189349300233,237392554,DEEP TRAINING,900099,6744,6744
