object_id,ein,SttsWhrCpyOfRtrnIsFldCd
201533179349306298,270609504,MI
201533209349304768,521548962,MD
201533179349307343,731653383,WA
201523069349301367,043259150,MA
201533069349300963,621273871,TN
201533099349301033,251869168,PA
201543039349301204,463812139,OH
201523209349314227,237394096,PA
201533179349302173,251374594,PA
201533179349307048,450448773,ND
201533099349301113,411712804,MN
201523039349300127,381557861,MI
201523079349301652,273741627,CA
201533039349300813,411495321,MN
201533069349301413,042616064,MA
201533079349300003,581651220,GA
201523069349300957,341496171,OH
201533179349303278,205582985,VA
201523239349300002,593181989,FL
201533209349302303,541020432,VA
201533179349307818,141775218,NY
201533179349307828,237190326,VA
201533209349306423,930718337,OR
201533209349306438,521120638,MD
201533179349309083,850171020,NM
201533069349300408,581666179,AR
201533179349309088,237230340,CA
201533209349305433,581899084,GA
201533179349309348,030593446,MO
201543099349301839,261469065,CA
201523069349301112,621803937,TN
201523069349301117,990240355,HI
201523069349301127,341762284,OH
201523069349301132,204198413,LA
201523069349301157,371449493,NY
201523089349300322,953715964,CA
201533069349300508,651276811,NY
201533069349300708,136169404,NY
201533069349300778,800480295,MN
201533179349305958,161491203,NY
201533179349305893,350350880,IN
201533069349300443,954214221,CA
201533179349301803,311113570,OH
201533179349301803,311113570,FL
201533179349301803,311113570,IL
201533179349301803,311113570,NY
201533179349301803,311113570,PA
201533179349301803,311113570,WI
201523209349311197,860894042,AZ
201533179349305948,620497990,TN
201523209349314597,311616833,CA
201523209349314607,270059405,OR
201523209349314607,270059405,WA
201523209349315117,943136500,CA
201523209349312647,201174366,CA
201523209349310667,160618920,NY
201533209349302068,262073166,MI
201523069349301752,770505640,CA
201523229349300507,680301012,CA
201533209349301008,232738932,PA
201533209349301023,311655288,OH
201533099349302063,043596357,CA
201523079349300707,201381912,NY
201523039349301092,954574466,CA
201533099349301028,310930319,OH
201523229349300122,201778861,OH
201533179349303908,411938525,MN
201533179349303913,201301939,NY
201533179349300928,043153941,MA
201523209349313352,133506107,DC
201523209349313352,133506107,NY
201533179349303713,060771393,CT
201523039349300977,331085125,IL
201523039349300977,331085125,AL
201523039349300977,331085125,AK
201523039349300977,331085125,AR
201523039349300977,331085125,CA
201523039349300977,331085125,CO
201523039349300977,331085125,CT
201523039349300977,331085125,DC
201523039349300977,331085125,FL
201523039349300977,331085125,GA
201523039349300977,331085125,HI
201523039349300977,331085125,KS
201523039349300977,331085125,KY
201523039349300977,331085125,ME
201523039349300977,331085125,MD
201523039349300977,331085125,MA
201523039349300977,331085125,MI
201523039349300977,331085125,MN
201523039349300977,331085125,MS
201523039349300977,331085125,NH
201523039349300977,331085125,NJ
201523039349300977,331085125,NM
201523039349300977,331085125,NY
201523039349300977,331085125,NC
201523039349300977,331085125,ND
201523039349300977,331085125,OH
201523039349300977,331085125,OK
201523039349300977,331085125,OR
201523039349300977,331085125,PA
201523039349300977,331085125,RI
201523039349300977,331085125,SC
201523039349300977,331085125,TN
201523039349300977,331085125,UT
201523039349300977,331085125,VA
201523039349300977,331085125,WA
201523039349300977,331085125,WV
201523039349300977,331085125,WI
201523039349300982,131690769,NY
201533039349300948,956187083,CA
201543039349301154,310537069,OH
201533079349300213,231584971,PA
201533079349300328,611413533,TX
201533079349301328,130428020,VA
201523209349311052,060999696,DC
201533089349300633,770645010,CO
201523239349300107,042849487,MA
201523239349300202,020347622,NH
201533179349300543,621674308,TN
201533209349302503,541307595,VA
201533179349308293,260683783,CA
201533179349308308,161588242,NY
201533209349306913,950999010,CA
201533179349303018,521843341,MD
201533179349306963,113463951,NY
201533179349306108,237382708,TX
201533209349301973,204662303,NY
201533209349304733,451623204,MD
201533099349301308,341505889,OH
201503099349300215,010691315,CT
201503099349300225,541447096,VA
201543079349301354,591227747,FL
201523209349312807,020663908,WI
201533209349300603,237154678,AZ
201533209349300608,141832659,NY
201533209349300618,142002356,KY
201533209349300623,391770592,WI
201523069349301327,237058116,AK
201523069349300707,412012707,MN
201523089349301977,751904829,TX
201533039349300823,237314735,NJ
201533039349300828,205035082,WA
201543089349301464,383555110,MI
201543089349301464,383555110,IL
201543089349301464,383555110,WI
201533179349303958,880197458,NV
201523209349312622,470968279,NY
201523209349314792,860191375,AZ
201543079349301309,931039723,CA
201533199349300033,222583099,NJ
201523209349308842,731317935,OK
201543079349300119,161502150,NY
201533179349302383,411673628,MN
201533179349302388,465054207,MI
201533179349302423,710399224,AR
201533209349304753,562083776,TN
201533179349305163,208189437,GA
201533189349300433,990329344,HI
201533099349301173,411287792,MN
201523059349300002,141885230,CA
201523059349300007,453176693,GA
201523209349310582,462694752,CA
201523219349300927,953719543,CA
201533209349301013,344466356,OH
201523069349300737,251628168,PA
201523039349300142,465485283,KY
201523089349301962,743255972,PA
201523089349301962,743255972,NJ
201523089349301962,743255972,NY
201523089349300147,382862153,MI
201523099349301322,230400855,PA
201523079349301522,521200060,VA
201533209349304958,582033460,CA
201533209349304958,582033460,FL
201533209349304958,582033460,GA
201533209349304958,582033460,NY
201533209349304958,582033460,PA
201533209349307203,953315571,CA
201533089349301298,346609700,OH
201543149349303884,112625096,NY
201543159349302009,237176524,OH
201543159349302049,931172164,OR
201533089349300118,870764478,OK
201543169349301814,200418002,OR
201543169349301814,200418002,NM
201543169349301814,200418002,CA
201523209349313982,920145301,AK
201523039349301162,237333433,NY
201533039349301308,300156392,CA
201533099349300408,570240935,SC
201523099349301587,471165520,OH
201533079349300708,271363698,MD
201533079349301718,936027198,OR
201533099349300008,341728897,OH
201533209349304158,351613028,IN
201523209349313822,510216589,CA
201533179349304353,480862732,KS
201533209349302323,273400284,GA
201533209349306063,570958723,SC
201533209349307733,621282542,TN
201533179349302083,300225826,IA
201533179349302108,900626767,PA
201533179349302108,900626767,NC
201533179349302108,900626767,SC
201533179349302108,900626767,AL
201533179349302108,900626767,FL
201533179349302108,900626767,GA
201533209349310963,262034996,HI
201533209349310378,161478905,NY
201533209349308923,620794812,TN
201533209349310413,237204806,MD
201533209349311133,841284437,CO
201533209349314553,010693398,GA
201533209349314693,911934463,CA
201533209349310838,562553486,NY
201533209349314723,810235416,MT
201523209349314277,454866590,CA
201523209349310987,237269676,NY
201523209349311657,953766170,CA
201543089349301989,710888906,OR
201533209349300923,231352227,PA
201523089349300032,453586123,WA
201503069349300805,237029065,IN
201523039349301212,680501459,WI
201523099349300047,341389369,OH
201523099349300112,136016178,NY
201533089349300748,411404075,MN
201533179349301748,260021511,NY
201533179349301758,314390844,OH
201523209349313117,631186023,AL
201523209349315172,953792795,CA
201523209349315217,953565388,CA
201523209349314172,460742795,OH
201533179349302358,261446630,MA
201533179349302363,382481809,MI
201543039349300509,231705803,PA
201543039349300519,273611908,NY
201523069349300892,251052379,PA
201533089349300048,150392700,NY
201533209349306018,201835089,IL
201523209349312607,311340842,OH
201533179349301013,310921774,IN
201543089349301684,930773613,IL
201543089349301814,452351381,MA
201543089349301949,133712630,NY
201543089349301949,133712630,CA
201533209349307673,300305947,SC
201533179349309068,743161465,CA
201533199349301023,046052643,MA
201533199349301028,203707784,DC
201533209349307183,043150560,MA
201533179349306873,043242980,MA
201523209349308717,990207024,HI
201533179349302053,370635502,IL
201533179349306148,931186075,OR
201543079349300814,943305844,CA
201523209349312297,201687722,OK
201523209349312322,371692998,CA
201533089349301428,941156621,CA
201533209349302993,237025130,IL
201533179349309508,237099373,SC
201533179349305708,611063997,KY
201533179349306808,770640000,CA
201523209349314662,271481855,TX
201523209349314712,208356519,CA
201523209349313887,611579760,OH
201533179349303978,591475376,FL
201523209349312307,464387860,IA
201533209349304743,371440662,AZ
201533209349304743,371440662,FL
201533209349304743,371440662,UT
201533209349304743,371440662,NV
201523069349300797,272533084,CT
201523069349300812,113025942,NY
201533089349301583,560543231,NC
201533079349301213,222055574,NJ
201533179349303518,134165834,CT
201533179349303518,134165834,NY
201533179349307778,800567359,NC
201533209349307303,250912765,PA
201533209349307363,540979285,FL
201523239349300862,680440622,CA
201533209349303283,911694299,WA
201533209349303298,020692687,AL
201533209349303303,453848336,NJ
201533209349303773,455415041,AK
201533209349303773,455415041,AL
201533209349303773,455415041,CA
201533209349303773,455415041,CO
201533209349303773,455415041,FL
201533209349303773,455415041,KY
201533209349303773,455415041,ME
201533209349303773,455415041,ND
201533209349303773,455415041,NH
201533209349303773,455415041,OH
201533209349303773,455415041,OK
201533209349303773,455415041,OR
201533209349303773,455415041,SC
201533209349303773,455415041,UT
201533209349303773,455415041,VA
201533209349303773,455415041,WA
201533039349300213,953370744,AL
201533039349300213,953370744,AK
201533039349300213,953370744,AZ
201533039349300213,953370744,AR
201533039349300213,953370744,CA
201533039349300213,953370744,CT
201533039349300213,953370744,DC
201533039349300213,953370744,FL
201533039349300213,953370744,GA
201533039349300213,953370744,IL
201533039349300213,953370744,KS
201533039349300213,953370744,KY
201533039349300213,953370744,LA
201533039349300213,953370744,ME
201533039349300213,953370744,MD
201533039349300213,953370744,MA
201533039349300213,953370744,MI
201533039349300213,953370744,MN
201533039349300213,953370744,MS
201533039349300213,953370744,MO
201533039349300213,953370744,NH
201533039349300213,953370744,NJ
201533039349300213,953370744,NM
201533039349300213,953370744,NY
201533039349300213,953370744,NC
201533039349300213,953370744,ND
201533039349300213,953370744,OH
201533039349300213,953370744,OK
201533039349300213,953370744,OR
201533039349300213,953370744,PA
201533039349300213,953370744,RI
201533039349300213,953370744,SC
201533039349300213,953370744,TN
201533039349300213,953370744,UT
201533039349300213,953370744,VA
201533039349300213,953370744,WA
201533039349300213,953370744,WV
201533039349300213,953370744,WI
201543149349303704,273813061,WI
