InfInSkdOPrtVInd|Schedule O contains a response to a question in Part V
InttnFsAndCpCntrAmt|Initiation fees amount
GrssRcptsFrPblcUsAmt|Gross receipts amount
MmbrsAndShrGrssIncmAmt|Gross income from members
OthrSrcsGrssIncmAmt|Gross income, other sources
OrgFldInLOfFrm1041Ind|Filed lieu 1041?
TxExmptIntrstAmt|Amount of tax exempt interest
LcnsdMrThnOnSttInd|Is the organization licensed to issue qualified health plans in more than one state?
SttRqrdRsrvsAmt|State required reserves amount
RsrvsMntndAmt|Reserves maintained amount
IndrTnnngSrvcsInd|Payments received for indoor tanning services?
Frm720FldInd|Form 720 filed and taxes paid on indoor tanning services?
SbjTTxRmnrtnExPrchtPymtInd|Subject to the section 4960 tax on remuneration or excess parachute payments?
SbjctTExcsTxNtInvstIncInd|Subject to the section 4968 excise tax on net investment income?
IRPDcmntCnt|Number forms transmitted with 1096
IRPDcmntW2GCnt|Number W-2Gs included in 1a
BckpWthldCmplncInd|Compliance with backup witholding?
EmplyCnt|Number of employees
EmplymntTxRtrnsFldInd|Employment tax returns filed?
UnrltdBsIncmOvrLmtInd|Unrelated business income?
Frm990TFldInd|Form 990-T filed?
FrgnFnnclAccntInd|Foreign financial account?
PrhbtdTxShltrTrnsInd|Prohibited tax shelter transaction?
TxblPrtyNtfctnInd|Taxable party notification?
Frm8886TFldInd|Form 8886-T filed?
NnddctblCntrbtnsInd|Non-deductible contributions?
NnddctblCntrDsclInd|Non-deduct. disclosure?
QdPrQCntrbtnsInd|Quid pro quo contributions?
QdPrQCntrDsclInd|Quid pro quo disclosure?
Frm8282PrprtyDspsdOfInd|Form 8282 property disposed of?
Frm8282FldCnt|Number of 8282s filed
RcvFndsTPyPrsnlBnftCntrctInd|Funds to pay premiums?
PyPrmmsPrsnlBnftCntrctInd|Premiums paid?
Frm8899Fldnd|Form 8899 filed?
Frm1098CFldInd|Form 1098-C filed?
DAFExcssBsnssHldngsInd|Donor advised fund have excess business holdings?
TxblDstrbtnsInd|Taxable distributions?
DstrbtnTDnrInd|Distribution to donor?
