object_id,ein,CntrbtrNm,NncshPrprtyDsc,FrMrktVlAmt,RcvdDt
201602589349100020,461211777,1,"KEELEY SMALL CAP VALUE FUND CLASS I KSCIX, 98698.427 sh.",3565974,2015-11-24
201602589349100310,202810904,1,SECURITIES,584734,2015-05-15
201602589349100515,650843891,1,127 SHS LOCKHEED MARTIN,27633,2015-12-22
201602589349100515,650843891,1,559 SHS REYNOLDS AMERICAN INC,25658,2015-12-22
201602579349100200,736322336,1,600 SHARES OF DFA - US CORE EQUITY 2,10008,2015-10-06
201622539349100312,680524438,1,100% INTEREST IN FFP PRAIRIE LLC,341655,2015-12-29
201612589349100406,880489330,1,1800 SHARE OF APPLE STOCK - SYMBOL APPL WITH A MEAN PRICE OF 110.62,199107,2015-12-17
201602599349100420,383182232,1,LAWN MOWER,12346
201622599349100002,133579157,1,527 SHS AMERICAN TOWER CORP,50044,2015-07-08
201612589349100016,471935075,1,"SPROUTS FARMERS MARKET INC SFM, 41139 sh.",1505070,2015-01-27
201612589349100211,270572772,1,"STOCKS, BONDS, MUTUAL FUNDS",1836516,2015-12-23
201622589349100507,461252608,1,"ZILLOW INC CL A Z-OLD, 6485 sh.",484397,2015-08-14
201622589349100002,263931162,1,945000 SHARES DYNACERT INC,28500,2015-11-17
201622589349100002,263931162,2,945000 SHARES DYNACERT INC,28200,2015-11-17
201622589349100002,263931162,3,1351000 SHARES DYNAMIC FUEL SYS INC,112199,2015-05-12
201642289349100929,274274566,2,"10,138.0 SHARES BALL CORP",703273,2015-12-01
201642289349100929,274274566,3,"11,200.0 SHARES BALL CORP",794080,2015-12-10
201642289349100929,274274566,4,"17,000.0 SHARES BALL CORP",1207425,2015-12-15
201642289349100929,274274566,5,"2,000.0 SHARES WILLIAMS CO",94230,2015-06-02
201642289349100929,274274566,6,"6,000.0 UNITS BLACKSTONE GROUP LP",182850,2015-12-10
201642289349100929,274274566,7,"4,000.0 SHARES POST HOLDINGS",263360,2015-12-10
201642289349100929,274274566,8,"3,000.0 SHARES SEALED AIR CP",131820,2015-12-10
201642289349100929,274274566,9,"1,000 SHARES WALT DISNEY CO",110875,2015-12-10
201642289349100929,274274566,10,"4,000 SHARES CSRA INC",112760,2015-12-10
201642289349101909,263909838,1,COSTCO STOCK,806150,2015-12-23
201602329349100805,471833006,1,VARIOUS PUBLICLY TRADED SECURITIES,6665430,2015-07-01
201602329349100805,471833006,3,VARIOUS PUBLICLY TRADED SECURITIES,1855593,2015-07-01
201612359349100361,263695626,3,SECURITIES,98970,2015-12-14
201602539349100005,203575169,3,89 SHARES OF BERKSHIRE HATHAWAY INC,11966,2015-11-30
201602539349100500,300137513,1,"1,814 SHARES OF GRUBHUB INC. COMMON STOCK",82646,2015-03-23
201602539349100500,300137513,2,"12,129 SHARES OF ARAMARK COMMON STOCK",411658,2015-12-07
201632289349100933,830325778,2,PUBLICLY TRADED SECURITIES,5211112,2015-03-03
201632289349101018,582049998,1,"555 SH AETNA INC NEW, 339 SH AMGEN INC, 400 SH DISNEY WALT CO, 199 SH PPG INDUSTRIES, 430 SH ROSS ST",326835,2015-05-18
201612379349100411,460477322,1,SECURITIES,767242,2016-01-26
201642519349100314,306313703,1,1100 SHS GENESSEE WYOMING STOCK,59395,2015-12-30
201642459349100104,132927245,1,VARIOUS EXPENSES PAID ON BEHALF OF THE FOUNDATION,180605,2015-11-30
