object_id,ein,Dsc,BkVlAmt,MthdVltnCd
201602519349300000,611531458,Financial derivatives and other financial products
201602519349300000,611531458,Closely-held equity interests
201612599349301401,330611334,Financial derivatives and other financial products
201612599349301401,330611334,Closely-held equity interests
201602579349301200,410789397,Financial derivatives and other financial products
201602579349301200,410789397,Closely-held equity interests
201623009349300517,208096718,ENTRUST,2597851,C
201623009349300517,208096718,GROSVNER GIP,5211772,C
201602649349300650,616002351,Funds managed by others,17099861,F
201643029349301114,450231180,Held in Trust,33601072,F
201642989349301074,710236867,MINERAL INTERESTS,41987,F
201642989349301074,710236867,PRIVATE EQUITIES,9690774,F
201602919349301055,344429091,COMMON TRUST FUNDS,3604499,F
201602919349301055,344429091,MULTI-STRATEGY HEDGE FUNDS,3465663,F
201602919349301055,344429091,PRIVATE EQUITY FUNDS,21735783,F
201602919349301055,344429091,REAL ESTATE INVESTMENT FUNDS,2843419,F
201632749349300108,541743079,MUTUAL FUNDS,9071932,F
201602879349301310,541854399,OTHER INVESTMENTS-PASS THROUGH ENTITIES,93681,F
201602879349301310,541854399,VCU FOUNDATION FUND,1011305,F
201632869349301233,460320561,ENDOWMENT FUNDS,1328390,F
201622819349300402,381443369,Financial derivatives and other financial products
201622819349300402,381443369,Closely-held equity interests
201602859349300515,203185510,US TREASURY NOTES,18622666,C
201602859349300515,203185510,MUTUAL FUNDS,910588,C
201602859349300515,203185510,"INVESTMENT IN SCP KOALA RESOURCES, LLC",3642779,C
201622709349300907,364500805,POOLED CASH (LT),655833,F
201622709349300907,364500805,POOLED CASH (INT),309367,F
201622709349300907,364500805,ANGEL FUND,23876,F
201622709349300907,364500805,BIOID,1,F
201622709349300907,364500805,"PRISM ANALYTICAL TECHNOLOGIES, INC.",1,F
201622709349300907,364500805,"POINT HOPE ENERGY, INC.",1,F
201622709349300907,364500805,"REIHL-EFFICIENT, LLC",1,F
201613149349302221,420680408,Cash value of life insurance,359089,F
201613149349302221,420680408,Dubuque Foundation Trust,10438,F
201613149349302221,420680408,Real estate,15200,C
201613149349302221,420680408,Beneficial interest in Houtz Charitable Remainder Unitrust,200000,C
201613149349302221,420680408,Beneficial interest in Mastrovich Scholarship Trust,1318342,F
201613149349302221,420680408,Hedge fund,2867245,F
201643159349303234,810231774,NON-LIQUID ASSETS,154300,F
201643159349303234,810231774,RESTRICTED CASH,6160602,F
201643159349303234,810231774,OTHER INVESTMENTS,99000,F
201643159349303234,810231774,REAL ESTATE INVESTMENTS,154369,F
201643159349303234,810231774,INTEREST IN CHARITABLE TRUSTS,4328811,F
201603129349302435,136171197,457B PLAN,42111750,F
201603129349302435,136171197,8 EAST 102ND STREET,-23166403,F
201603129349302435,136171197,POOLED INVESTMENTS,659260843,F
201603129349302435,136171197,ASSETS LIMITED AS TO USE,92043451,F
201603209349300635,470424785,Equity securities,10243057,F
201603209349300635,470424785,Fixed income securities,3983410,F
201603209349300635,470424785,Certificates of deposit,1703507,F
201603179349300045,273002117,Financial derivatives and other financial products
201603179349300045,273002117,Closely-held equity interests
201613089349302451,560529972,MONEY MARKET FUNDs & time deposits,182781,F
201613089349302451,560529972,MUTUAL FUNDS - fixed income,18408160,F
201613089349302451,560529972,mutuAL FUNDS - equities,21483643,F
201613089349302451,560529972,equity securities,6362706,F
201613089349302451,560529972,ALTERNATIVE INVESTMENT,13432146,F
201623099349301137,540129860,REAL ESTATE FUNDS,1694930,F
201623099349301137,540129860,HEDGE FUNDS,1011731,F
201623099349301137,540129860,CSV OF LIFE INSURANCE,130218,F
201623099349301137,540129860,CASH AND CASH EQUIVALENTS,1360751,C
201623099349301137,540129860,FUNDS HELD IN TRUST BY OTHERS,3112148,F
201623099349301137,540129860,STABLE VALUE FUNDS,2888432,F
201623099349301137,540129860,ENDOWMENT INTEREST,59592,C
201603169349302535,900893455,Financial derivatives and other financial products
201603169349302535,900893455,Closely-held equity interests
201633129349300918,150532053,HEDGE FUNDS,3341956,F
201623159349303032,231937954,COMMON FUND MULTI-STRATEGY INVESTMENTS,1355833,F
201632889349300933,160909446,CASH AND CASH EQUIVALENTS,1784191,F
201632889349301163,161476258,Life Insurance,145557,F
201632889349301163,161476258,Multi Asset Fund,11446535,F
201633159349302528,516017306,UNIVERSITY OF DELAWARE ENDOWMENT,9332430,F
201603199349310725,954469618,Financial derivatives and other financial products
201603199349310725,954469618,Closely-held equity interests
201623029349300217,640303086,SHORT TERM INVESTMENTS,3011865,F
201623029349300217,640303086,EXTERNALLY MANAGED TRUST,7271793,F
201623029349300217,640303086,OTHER,40686566,F
201623029349300217,640303086,corporate stocks and mutual funds,2928495,F
201623029349300217,640303086,real estate,21194283,F
201633139349301738,362310478,Real Estate Fund,6696394,F
201633139349301738,362310478,Multi-Strategy Fund of Funds,3208987,F
201603179349300000,460515673,Financial derivatives and other financial products
201603179349300000,460515673,Closely-held equity interests
201622899349300307,942254303,CERTIFICATES OF DEPOSIT,2625667,F
201633079349301433,410694721,CSV LIFE INSURANCE,79417,F
201633079349301433,410694721,ALTERNATIVE INVESTMENTS,13690127,F
201633129349301458,420730347,SEI OFFSHORE OPPORTUNITY,5808830,F
201633129349301458,420730347,SEI STRUCTURED CREDIT,547088,F
201633129349301458,420730347,SEI GLOBAL PRIVATE EQUITY,3226636,F
201633129349301458,420730347,SEI GPA PRIVATE EQUITY,1670024,F
201633129349301458,420730347,SEI SPECIAL SITUATIONS,8365736,F
