object_id,ein,FrmAndLnRfrncDsc
201612479349300601,850474926,"SCHEDULE E, LINE 3",PUBLICATION IN ENROLLMENT DOCUMENTS AND ADVERTISING
201642529349200634,946112260,"Schedule E, Line 3 - Racially Nondiscriminatory Policy Publicized"
201642529349200634,946112260,"Schedule E, Line 4 - Explanation of Records and Materials Not Maintained"
201642529349200634,946112260,"Schedule E, Line 5 - Explanation of Organization Discrimination by Race"
201612439349200126,237178313,"SCHEDULE E, PART I, LINE 3","ICU PRINTS THE FOLLOWING IN ITS BULLETIN FOR ALL TO READ: ""INDIANA CHRISTIAN UNIVERSITY SHALL NOT DISCRIMINATE AGAINST ANY PERSON BECAUSE OF RACE, COLOR, RELIGION, NATIONAL ORIGIN, OR ANCESTRY."""
201612449349300791,750891465,"Schedule E, Part I, Line 3",The nondiscriminatory policy is published in the University Bulletin as well as on the web site.
201612449349300791,750891465,"Schedule E, Part I, Line 6",Government aid received by the University is for student aid for which the University acts as a conduit between the government and the student. A program audit is conducted on these transactions.
201632419349300203,471994752,Line 3,"THE ORGANIZATION'S NONDISCRIMINATORY POLICY IS STATED IN THE STUDENT HANDBOOK, ON THE APPLICATION, IN THE BYLAWS, AND IN ADVERTISEMENTS THAT WERE RUN IN THE LOCAL NEWSPAPERS. NO FURTHER EXPLANATION"
201622439349300602,200617900,"SCHEDULE E, PART I, LINE 3","THE SOLICITATION FOR STUDENTS IS NATIONWIDE IN SCOPE. THEREFORE, THERE IS NO APPLICABLE ""GENERAL COMMUNITY""."
201612399349200206,263216231,"SCHEDULE E, LINE 3",LIGHTHOUSE CHRISTIAN COLLEGE ACADEMY AND SEMINARY PUBLISHES THE RACIAL NONDISCRIMINATION POLICY THROUGH THE LOCAL NEWSPAPER ADVERTISEMENTS EVERY YEAR.
201602459349300930,350715530,"SCHEDULE E, PART I, LINE 3","INCLUDED IN ALL PUBLICATIONS, NEWSPAPERS AND RADIO ADVERTISEMENTS."
201602459349300930,350715530,"SCHEDULE E, PART I, LINE 6A","TRINE UNIVERSITY RECEIVED GOVERNMENTAL AGENCY FUNDS IN THE FORM OF STATE OF INDIANA GRANTS, PELL GRANTS, AND WORK STUDY GRANTS."
201612379349300526,953921204,"SCHEDULE E, LINE 3",POLICY HAS BEEN PUBLISHED THROUGH CATALOG
201612379349300526,953921204,"SCHEDULE E, LINE 6",THE SCHOOL RECEIVED STUDENT FINANCIAL AID (TITLE IV)
