object_id,ein,RgnTxt,OffcsCnt,EmplyCnt,OfActvtsCndctdTxt,RgnTtlExpndtrsAmt
201602459349300930,350715530,EAST ASIA AND THE PACIFIC,9,PROGRAM SERVICES,STUDENT RECRUITMENT,66445
201602459349300930,350715530,SOUTH ASIA,5,PROGRAM SERVICES,STUDENT RECRUITMENT,703302
201602459349300930,350715530,MIDDLE EAST AND NORTH AFRICA,2,PROGRAM SERVICES,STUDENT RECRUITMENT,116000
201622889349301537,420680323,"EUROPE (INCLUDING ICELAND & GREENLAND) - ALBANIA, ANDORRA, AUSTRIA, BELGIUM",0,0,PROGRAM SERVICES,STUDY ABROAD EXPENSES,17421
201622889349301537,420680323,CENTRAL AMERICA AND THE CARIBBEAN,0,0,PROGRAM SERVICES,STUDY ABROAD EXPENSES,51450
201623029349300717,840600653,NORTH AMERICA,0,0,INVESTMENT IN FOREIGN SUBSIDIARY,1115072
201642539349301214,010833168,Europe,0,0,Program Services,Meeting/conferences,11264
201642539349301214,010833168,North America,0,0,Program Services,Educ./conferences,59034
201642539349301214,010833168,South America,0,0,Program Services,Meeting/conferences,8661
201642539349301214,010833168,South Asia,0,0,Program Services,Meeting/conferences,3237
201612669349300781,463103295,Europe,0,0,Grantmaking,11000
201612639349300046,462795989,"KAKUMA, KENYA",0,0,PROGRAM SERVICES,"THE JC:HEM PROJECT AT THE KAKUMA REFUGEE CAMP IN NW KENYA CURRENTLY SUPPORTS 99 DIPLOMA STUDENTS AND MORE THAN 200 REFUGEES ON COMMUNITY SERVICE LEARNING TRACKS IN PSYCHOSOCIAL CASE MANAGEMENT, COMMUNITY DEVELOPMENT, STUDIES AND BUSINESS AND ENTREPRENEURSHIP.",74849
201612639349300046,462795989,"DZALEKA, MALAWI",0,0,PROGRAM SERVICES,"JC:HEM BEGAN WORKING AT THE DZALEKA REFUGEE CAMP IN MALAWI IN 2010. IT CURRENTLY SUPPORTS 83 DIPLOMA STUDENTS AND OFFERS COMMUNITY SERVICE LEARNING TRACKS IN SPECIAL NEEDS, COMMUNITY HEALTH PROVIDER AND BUSINESS AND ENTREPRENEURSHIP.",126774
201612639349300046,462795989,"AMMAN, JORDAN",0,0,PROGRAM SERVICES,"JC:HEM RECRUITED ITS FIRST COHORT OF 19 DIPLOMA STUDENTS IN THE SUMMER OF 2012. STUDENTS ARE FROM IRAQ, JORDAN, SYRIA AND SOMALIA.",71554
201612639349300046,462795989,"MAE HONG SON, THAILAND",0,0,PROGRAM SERVICES,JC:HEM BEGAN WORKING AT THE MAE HONG SON PROVINCE ON THE BORDER OF THAILAND AND BURMA/MYANMAR IN 2013. IT OFFERS COMMUNITY SERVICE LEARNING TRACKS.,52343
201612639349300046,462795989,"HERAT, AFGHANISTAN",0,0,PROGRAM SERVICES,"JC:HEM BEGAN WORKING IN HERAT IN 2013. IT CURRENTLY OFFERS EDUCATION, SKILL TRAINING, ECONOMIC PROGRAMS, HEALTHCARE, COMMUNITY DEVELOPMENT AND EMERGENCY ASSISTANCE PROGRAMS.",42041
201612639349300046,462795989,"BAMIYAN, AFGHANISTAN",0,0,PROGRAM SERVICES,"JC:HEM BEGAN WORKING IN BAMIYAN, AFGHANISTAN IN 2014.",48724
201612639349300046,462795989,"GUEREDA, CHAD",0,0,PROGRAM SERVICES,"JC:HEM BEGAN WORKING IN GUEREDA IN 2015. IT CURRENTLY OFFERS EDUCATION, SKILL TRAINING, ECONOMIC PROGRAMS, HEALTHCARE, COMMUNITY DEVELOPMENT AND EMERGENCY ASSISTANCE PROGRAMS.",26171
201612639349300046,462795989,"MANNAR, SRI LANKA",0,0,PROGRAM SERVICES,"JC:HEM BEGAN WORKING IN MANNAR IN 2015. IT CURRENTLY OFFERS EDUCATION, SKILL TRAINING, ECONOMIC PROGRAMS, HEALTHCARE, COMMUNITY DEVELOPMENT AND EMERGENCY ASSISTANCE PROGRAMS.",27100
201612639349300046,462795989,"TAUNGGYI, MYANMAR",0,0,PROGRAM SERVICES,"JC:HEM BEGAN WORKING IN TAUNGGYI IN 2015. IT CURRENTLY OFFERS EDUCATION, SKILL TRAINING, ECONOMIC PROGRAMS, HEALTHCARE, COMMUNITY DEVELOPMENT AND EMERGENCY ASSISTANCE PROGRAMS.",6218
201612639349300046,462795989,"APC, PHILLIPINES",0,0,PROGRAM SERVICES,"JC:HEM BEGAN WORKING IN APC IN 2015. IT CURRENTLY OFFERS EDUCATION, SKILL TRAINING, ECONOMIC PROGRAMS, HEALTHCARE, COMMUNITY DEVELOPMENT AND EMERGENCY ASSISTANCE PROGRAMS.",26171
