object_id,ein,RgnTxt,PrpsOfGrntTxt,CshGrntAmt,MnnrOfCshDsbrsmntTxt
201612669349300781,463103295,Europe,General Support,11000,Wire
201642749349301024,980150041,NORTH AMERICA,SUPPORT,CHECKS,N/A,N/A
201623129349302277,912163512,SCHOOL AID,EFT
201603069349300525,800406815,China Zhejiang,Academic Research,119760,Wire Xfer,Book
201622879349300977,522242995,East Asia,Provide direct or indirect scholarship for educating Asian elite students.,205900,Wire
201622879349300977,522242995,Europe,Provide direct or indirect scholarship for educating Asian elite students.,9700,Wire
201623199349305762,237065664,East Asia and Pacific,MINISTRIES PROJECTS,264740,CHECK,0,FMV
201623199349305762,237065664,East Asia and Pacific,ACADEMIC ASSISTANCE,25260,CHECK,0,FMV
201623199349305762,237065664,East Asia and Pacific,BIBLE CLASSES,140000,CHECK,0,FMV
201603149349303245,260833212,CHARITABLE,31780,WIRE TRANSFER
201603149349303245,260833212,CHARITABLE,9115,WIRE TRANSFERS
201623209349310857,631222148,"NORTH AMERICA - CANADA AND MEXICO, BUT",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201623209349310857,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201623209349310857,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201623209349310857,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201623209349310857,631222148,CENTRAL AMERICA AND THE CARIBBEAN -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201623209349310857,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201623209349310857,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201623209349310857,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201623209349305232,980148939,East Asia and the Pacific,Program Support,17356
201623209349305232,980148939,East Asia and the Pacific,Program Support,7373
201623209349305232,980148939,East Asia and the Pacific,Program Support,28214
201623209349305232,980148939,East Asia and the Pacific,Program Support,13405
201623209349305232,980148939,East Asia and the Pacific,Program Support,6702
201623209349305232,980148939,East Asia and the Pacific,Program Support,6702
201623209349305232,980148939,East Asia and the Pacific,Program Support,33512
201623209349312977,830454800,ECUADOR,CONSERVATION,36672,ETF & CASH,BOOK
201643199349310374,350868181,Sub-Saharan Africa,Contribution to Samuel Morris Educational Resource & Conference Center,28163,Statue of Samuel Morris,Book Value
201643169349301529,580593438,AMERICAN CULTURE,13000,WIRE/CHECKS
201643209349307444,116039909,"MIDDLE EAST AND NORTH AFRICA - ALGERIA, BAHRAIN, DJIBOUTI, EGYPT,",PROMOTING JEWISH EDUCATION,276950,WIRE/CHECK
201643209349307444,116039909,MIDDLE EAST AND NORTH AFRICA,PROMOTING JEWISH EDUCATION,248699,WIRE/CHECK
201613409349300421,237069575,"North America (including Canada and Mexico, but not the United States)",Research,4903440,Cheque,0
201623489349300937,530196603,Europe (Including Iceland and Greenland),General Support,10000,Wire,0,N/A,N/A
201623489349300937,530196603,Europe (Including Iceland and Greenland),General Support,15663,Wire,0,N/A,N/A
201633499349300213,237213309,North America,16210865
201603489349300425,980042539,"North America (including Canada and Mexico, but not the United States)","Since we are Canadian Organization, all of our grants are paid in Canada, which is outside the US. Our grants are to support student organizations, federated colleges, and other Universities performing research (sub-grants)",1433170,cheque,0
201710329349300221,042111203,East Asia and the Pacific,Research,80530,wire transfer,0
201710329349300221,042111203,Europe (including Iceland and Greenland),Research,110170,wire transfer,0
201710329349300221,042111203,"North America (including Canada and Mexico, but not the United States)",Research,80864,check,0
201700249349300700,580566143,"North America - Canada and Mexico, but",Educational,8000,Wire,FMV
201730469349303273,580566205,Sub-Saharan Africa,13624,Check,N/A,N/A
201730469349303273,580566205,Sub-Saharan Africa,14810,Check,N/A,N/A
201730469349303273,580566205,East Asia and the Pacific,12415,Check,N/A,N/A
201730469349303273,580566205,Central America and the Caribbean,12230,Check,N/A,N/A
201730469349303273,580566205,Europe (Including Iceland and Greenland),23068,Check,N/A,N/A
201730469349303273,580566205,Sub-Saharan Africa,27000,Check,N/A,N/A
201730469349303273,580566205,Sub-Saharan Africa,7210,Check,N/A,N/A
201720469349302942,237179639,CENTRAL AMERICA AND THE CARIBBEAN,CHURCH AND SCHOOL OPERATIONS AND BUILDING MAINTENANCE,467000,WIRE TRANSFER
201740739349300774,730739626,East Asia and the Pacific,Ministry conference,10000,ACH payment
201740739349300774,730739626,Middle East and North Africa,Outreach packs,21000,ACH payment
201740739349300774,730739626,Europe (Including Iceland & Greenland),Ministry networking,22902,ACH payment
201740739349300774,730739626,Sub-Saharan Africa,Church building/Birthing clinic,8950,Check
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,1467200,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,727920,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,120391,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,103297,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,93320,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,85505,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,78577,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,66618,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,65290,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,64777,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,59568,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,56709,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,55050,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,53488,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,53461,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,49566,Wire Transfer
201730739349300033,986001062,"North America (including Canada and Mexico, but not the United States)",Research and Education,48528,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,37574,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,36607,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,28993,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,27408,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,25581,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,24388,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,22937,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,22677,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,21104,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,20174,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,20161,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,19807,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,18010,Wire Transfer
201730739349300033,986001062,East Asia and the Pacific,Research and Education,17763,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,16299,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,15884,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,14820,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,14820,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,14672,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,14672,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,14173,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,14173,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,14173,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,14019,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,13938,Wire Transfer
