object_id,ein,FrmAndLnRfrncDsc,ExplntnTxt
201632519349301153,364592698,"SCHEDULE G, PART I, LINE 2B, COLUMN (V)",PAYMENTS FOR PROFESSIONAL FUNDRAISING SERVICES
201602389349300545,237034337,"SCHEDULE G, PAGE 3, PART III, LINE 16",JOHN SCOTT GOSS X 0 BINGO CALLER COLEMAN GENTRY X 0 BINGO CALLER
201602389349300545,237034337,"SCHEDULE G, PAGE 3, PART III, LINE 17B","VIRGINIA 18,658"
201612459349300426,132626135,"SCHEDULE G, PART I, LINE 2",MAL WARWICK AND FAIRCOM WERE RETAINED AS FUNDRAISING COUNSEL FOR TECHNOSERVE'S DIRECT MAIL AND PRINTING PROGRAM. ALL CONTRIBUTIONS ARE DELIVERED DIRECTLY TO TECHNOSERVE. TECHNOSERVE PAYS MAL WARWICK AND FAIRCOM DIRECTLY FOR THEIR ADVISORY AND PRINTING SERVICES.
201622169349301667,936027731,"SCHEDULE G, PART I, LINE 2B, COLUMN (V)","STARSET COMMUNICATIONS OF WOODSTOCK, GEORGIA IS THE FUNDRAISING COMPANY USED BY OSSA TO PROMOTE AND ENCOURAGE INDIVIDUAL, HONORARY AND BUSINESS MEMBERSHIP. ALL MAILING RESPONSES ARE RETURNED DIRECTLY TO OSSA IN BUSINESS REPLY ENVELOPES ENCLOSED IN THE STARSET COMMUNICATIONS MAILINGS. RETURNED BUSINESS REPLY ENVELOPES ARE MAILED TO THE ASSOCIATION'S U. S. POST BOX"
201602169349300300,237337229,"SCHEDULE G, PART I, LINE 2B, COLUMN (V)","IN THE CONTRACT WITH ROBBINS KERSTEN DIRECT, THE MANAGEMENT FEES ARE FIXED AMOUNTS PER MONTH FOR IN-SCOPE SERVICES THAT TOTALS $966,132 PER YEAR OF WHICH $559,459 HAS BEEN ALLOCATED UNDER PART XI, LINE 11(G) TO PROGRAM AND MANAGEMENT AND ARE NOT CONSIDERED TO BE THE PROFESSIONAL FUNDRAISING CONSULTANT FEE."
201602239349302375,330051202,"Part I, Line 2b - Fundraiser Additional Information","Majorgiving.com advises staff on fundraising strategies. All solicitation, administrative work, and gift acceptance is performed by PCTA staff. Seth Levy consults with staff on fundraising strategies for corporate partnerships. All solicitation, administrative work, and gift acceptance is performed by PCTA staff."
201622229349300527,131845455,FUNDRAISING ACTIVITIES,"SCHEDULE G, PART I, LINE 2B DURING 2015, IPPF/WHR PAID FAIRCOM NEW YORK, INC. A $55,200 RETAINER FEE FOR PRINTING AND MAILING SERVICES, INCLUDING STRATEGY ON MAILINGS, AS REPORTED ON SCHEDULE G. IPPF ALSO REIMBURSED FAIRCOM NEW YORK, INC. $767,166 FOR COSTS RELATED TO DESIGN, PRINTING, FULFILLMENT, AND POSTAGE OF DIRECT MAIL CAMPAIGNS. IPPF ALSO PAID M&R STRATEGIC SERVICES A $32,000 RETAINER FEE FOR PROFESSIONAL FUNDRAISING SERVICES, INCLUDING STRATEGY ON MAILINGS, AS REPORTED ON SCHEDULE G. IPPF ALSO REIMBURSED M&R STRATEGIC SERVICES $143,000 FOR POSTAGE."
201642039349300014,520972043,"SCHEDULE G, PART II, COLUMN B:","EXPENSES OF $15,000 FOR DEPOSITS WERE INCURRED DURING 2015 FOR THE 2016 1ST AMENDMENT AWARDS DINNER EVENT."
201622249349302802,237069110,"SCHEDULE G, PART I, LINE 2B:","THE PAYMENT TO M+R STRATEGIC SERVICES INCLUDES $85,760 CONSIDERED AS PAYMENT FOR CONSULTING SERVICES."
201642239349301989,351978359,"PART I, LINE 2B","HIGHEST PAID FUNDRAISER: THE FOUNDATION ENGAGED FUENTES STRATEGIC CONSULTING, INC., FOR THE FIRST TIME IN 2014. THIS ORGANIZATION IS WORKING ON DEVELOPING SIGNIFICANT NEW DONORS FOR THE FOUNDATION. THE FOUNDATION ANTICIPATES FUENTES GENERATING NEW DONORS FOR THE FOUNDATION IN 2016."
201602569349300900,311669279,"SCHEDULE G, PAGE 3, PART III, LINE 17B","VIRGINIA 144,828"
201602569349300900,311669279,"SCHEDULE G, PART IV",COMPENSATION FOR ROBERT PHILLIPS AS REFLECTED ABOVE HAS BEEN ALLOCATED TO BINGO OPERATIONS BASED ON TIME WORKED IN BINGO OPERATIONS VS. OTHER DUTIES OF THE ORGANIZATION.
201612429349300111,416036759,"SCHEDULE G, PAGE 3, PART III, LINE 17B","MINNESOTA 50,071"
