object_id,ein,FrmAndLnRfrncDsc,ExplntnTxt
201612439349300861,936027198,"Part I, Line 2:",THE ORGANIZATION KEEPS RECORDS FOR ALL SCHOLARSHIP GRANTS GIVEN OUT EACH FISCAL YEAR.
201612439349300861,936027198,"Schedule I, Part III, column (b)","Scholarship grants are given to specific individuals, so the number in column (b) represents the actual number of people who received a scholarship grant during the fiscal period."
201612449349300636,946181807,"Part I, Line 2:","Funds are transferred from the Trust to support the operation of Mt. Diablo Silverado Council Boy Scouts of America, Inc. The funds transferred to the Council are for use in operating and capital expenditures. The transferred amount was approved by the Board."
201602379349300530,742629973,"Monitoring procedures (Part I, line 2)","THE ORGANIZATION MAINTAINS RECORDS TO SUBSTANTIATE THE AMOUNTS OF ASSISTANCE, BUT DOES NOT MAINTAIN RECORDS REGARDING THE DONEE ORGANIZATIONS ELIGIBILITY OR THE SELECTION CRITERIA USED. THE ASSISTANCE PROVIDED IS A GENERAL DONATION, AND THE ORGANIZATION DOES NOT HAVE A FORMAL PROCEDURE TO DETERMINE WHICH MINISTRIES WILL RECEIVE DONATIONS FOR GENERAL SUPPORT EACH YEAR."
201612459349301101,410128105,"PART I, LINE 2:",THE TOTAL AMOUNT OF CONTRIBUTIONS PLANNED FOR A YEAR IS APPROVED BY THE BOARD AS A PART OF OUR ANNUAL PROFIT PLANNING PROCESS. INDIVIDUAL CONTRIBUTIONS ARE APPROVED AND SUBSTANTIATED USING OUR NORMAL PAYMENT APPROVAL PROCESS.
201612469349300231,364150724,"Part I, Line 2:",THE PROGRAM DIRECTOR MONITORS THE GRANT REPORTS WHICH ARE RECEIVED FROM THE GRANT RECIPIENTS DETAILING THE USE OF THE GRANTS. THESE GRANT REPORTS ARE MATCHED TO THE GRANT APPLICATION TO ENSURE THE PURPOSE OF THE GRANT IS BEING ACCOMPLISHED.
201612509349300621,200932817,"PART I, LINE 2:","OUR SISTERS PLACE, INC. PAYS FOR HOUSING AND LIVING EXPENSES OF 53 VICTIMS OF DOMESTIC VIOLENCE DIRECTLY TO THE VENDORS."
201602439349300415,750818172,"PART I, LINE 2:","THE CHILDREN IN THE ORGANIZATION'S CARE ARE ELIGIBLE TO PARTICIPATE IN THE ORGANIZATION'S ADVANCED EDUCATION PROGRAM IF THEY HAVE BEEN IN CARE FOR AT LEAST ONE YEAR & MEET CONTINUING QUALIFICATION REQUIREMENTS TO HAVE AT LEAST C-AVERAGE GRADES. THE ORGANIZATION HAS A SPECIFIC ADVANCED EDUCATION POLICY, AND EMPLOYEES' CHILDREN ARE NOT ELIGIBLE TO PARTICIPATE - ONLY CHILDREN IN THE CARE OF THE ORGANIZATION."
201602459349300715,943213100,Grantmaker's Description of How Grants are Used,"Thorough due diligence is conducted in advance of funding to determine the group's tax-exempt status and whether the group is appropriate from a mission perspective. All grantees receive a written grant agreement which indicates whether lobbying is permissible and by accepting payment, the grantee agrees to the conditions of the award, which provide assurance that funds will not be used for any prohibited purpose. If a grant is restricted to a particular non-lobbying purpose, organizations further agree that (i) any portion of the grant not used for the stated purpose must be repaid, (ii) any change of purpose must be requested and approved in advance, in writing and (iii) not to use any portion of the grant to carry on propaganda or to attempt to influence specific legislation either by direct or grassroots lobbying.Based on a risk assessment, a progress report may be required for certain grants nine months after the grant award. The grantee is asked to submit a two page narrative describing the use of the funds and activities undertaken as a result of the grant (including lobbying activity, if permitted), along with a financial report."
201602459349301055,351165883,"SCHEDULE I, PAGE 1, PART I, LINE 2","THE ORGANIZATION DOES NOT PROVIDE CASH DIRECTLY TO THE GRANTEE. PAYMENTS ARE MADE ON BEHALF OF THE GRANTEE, THE ITEMS NEEDED ARE PURCHASED FOR THE GRANTEE, OR THE GRANTEE IS PROVIDED WITH A GIFT CARD THAT CAN ONLY BE USED FOR THE DESIGNATED PURPOSE."
