object_id,ein,NnCshChckbxInd,Dsc,CntrbtnCnt,NncshCntrbtnsRptF990Amt,MthdOfDtrmnngRvnsTxt
201612459349300426,132626135,X,GOV'T FOOD AID,1,3111750,SELLING PRICE
201612459349300426,132626135,X,SOFTWARE,1,86490,SELLING PRICE
201612509349300166,161511190,AUTOMOBILES,44,17983,NET SALES PRIC
201612509349300476,943232437,X,SUPPLIES,5,7525,SELLING PRICE
201602439349300415,750818172,X,CHILDREN'S GIFTS,125,38748,FMV
201602439349300415,750818172,X,OUTREACH,156,30698,FMV
201602439349300415,750818172,X,SCHOOL SUPPLIES,12,3964,FMV
201602439349300415,750818172,X,CAMPUS ACTIVITIES,11,2486,FMV
201602439349300415,750818172,X,BOARD MEMBER TRAVEL,9,2240,FMV
201602439349300415,750818172,X,FURNITURE & EQUIPMENT,5,1723,FMV
201602439349300415,750818172,X,RECREATION,2,980
201602439349300415,750818172,X,PERSONAL CARE,1,810,FMV
201602439349300415,750818172,X,PROGRAM SUPPLIES,3,395,FMV
201602459349300345,272865980,X,PLEDGE,1,30000,ACTUAL PLEDGE AMOUNT
201602459349300715,943213100,X,Goods In-Kind,74,48150,FMV
201632079349301368,521648941,X,SUPPLIES AND OTHER,0,3635,FAIR MARKET VALUE
201642249349303004,942707273,X,Numerous Misc Supplies,0,18823,fmv
201602259349303350,131635294,X,Postage,1,17663,Market value
201602259349303350,131635294,X,Supplies,1,92863,Market value
201632239349302363,363151279,X,Plane tickets,1,24000,fair market value
201632239349302363,363151279,X,Catering,1,6656,fair market value
201612229349301241,930900864,X,AUCTION CERTIFICATES,12,35000,FAIR MARKET VALUE
201602189349300760,510292919,X,VARIOUS GOODS,453,152803,FMV
201622119349301027,910839385,X,Auction Items,0,45542
201622159349301767,911539831,X,Two round trip tickets,1,2500,Fair Market Value
201622159349301767,911539831,X,Use of presentation equipment,1,15825,Fair Market Value
201622159349301767,911539831,X,Event Supplies,1,21218,Fair Market Value
201602199349300500,576000599,X,CATERING SERVICES,8,17797,FMV DETERMINED BY DO
201602199349300500,576000599,X,ARCHITECTURAL DRAWINGS,1,10000,FMV DETERMINED BY DO
201602199349300500,576000599,X,AIRLINE TICKETS,1,8000,FMV DETERMINED BY DO
201602199349300500,576000599,X,DIGITAL RENDERING,1,5000,FMV DETERMINED BY DO
201602199349300500,576000599,X,ARCHITECTURAL FEES,2,4305,FMV DETERMINED BY DO
201602199349300500,576000599,X,HOTEL ROOMS,5,1585,FMV DETERMINED BY DO
201602199349300500,576000599,X,CONSTRUCTION MATERIALS,1,503,FMV DETERMINED BY DO
201602199349300500,576000599,X,FLOWERS,1,468,FMV DETERMINED BY DO
201602199349300500,576000599,X,"POSTCARDS, MAPS, & HISTORICAL DOCUMENTS",27,0,NO VALUE GIVEN BY DO
201602299349300525,942783401,X,Print Materials,3,7750,FMV
201602299349300525,942783401,X,Goods,5,9696,FMV
201602289349305800,591911653,X,ADVERTISING,3,0,"GAAP FS FMV $65,300"
201632079349301123,430666759,X,Supplies/Products,270,160730,Est Fair Mkt Value
201612259349301956,016048322,X,TANGIBLE PROPERTY,4,1815,DONOR PROVIDED
201602259349301840,300126510,X,SOFTWARE,1,59710,FMV
201622249349301907,521481896,X,SOFTWARE,1,79333,FAIR MARKET VALUE
201632229349301808,850402507,X,9,88760
201622229349301197,540445205,X,PROGRAM SUPPLIES,58,23726,Opinions of experts
201622229349301197,540445205,X,Office Software,8,6168,Opinions of experts
201622229349301197,540445205,X,Office Furniture,2,4200,Opinions of experts
201632249349300503,454264204,X,6,168143
201642249349300729,264008029,X,Rare wines,1,35986,FMV
201642249349300729,264008029,X,Rare Wines,1,3927,FMV
201642249349300729,264008029,X,Other wines,750,69977,FMV
201642219349302074,311806773,X,GIFT CERTIFICATES,8,4755,SELLING PRICE
201642219349301564,204954604,X,Horses,4,220000,Appraisals
201642219349301564,204954604,X,Boarding,1,75645,Actual Costs
201642219349301564,204954604,X,Supplies,4,1131,Actual Costs
201642219349301564,204954604,X,Accounting Fees,1,600,Actual Costs
201602569349300110,520986261,X,Professional legal services,2,181103,Fair market value
201602579349300820,364659738,OTHER,3399
201612359349300461,260819262,X,OFFICE FOR MAC 2011,1,1176,RETAIL COST
201612379349300016,751929755,X,COMPUTER EQUIP,13400
201612379349300016,751929755,X,OTHER,470015
201632529349301013,596196141,X,SALVAGED AND RECYCLED NON-SALABLE GOODS,0,1215213,SALES PRICE
201612429349301161,916018658,X,LEGAL SERVICES,2,136487,FMV
201612429349301161,916018658,X,SUPPLIES,15,925,FMV
