object_id,ein,FrmAndLnRfrncDsc,ExplntnTxt
201602459349300930,350715530,SCHEDULE K,TRINE UNIVERSITY USES SCHWAB TO SELL ANY CONTRIBUTED SECURITIES.
201622889349301537,420680323,"PART I, COLUMN (B):","THE ORGANIZATION IS REPORTING THE NUMBER OF CONTRIBUTIONS RECEIVED. SCHEDULE M, PART I, COLUMN (D): VALUES ARE ASSIGNED ONLY AT THE REQUEST OF THE DONOR. WHEN VALUATION IS REQUESTED BY THE DONOR, THE ORGANIZATION REQUIRES AN APPRAISAL OR COST DOCUMENTATION. IF NO VALUATION IS REQUESTED BY THE DONOR, A VALUE OF ONE DOLLAR IS ASSIGNED TO EACH CONTRIBUTION."
201643029349301114,450231180,"Part I, Line 32b:",Brokers are engaged to sell securities. Realtors are engaged to sell contributed property.
201602919349301055,344429091,"PART I, QUESTION 32B",AN INVESTMENT CUSTODIAN (STOCK BROKER) IS UTILIZED TO LIQUIDATE STOCK CONTRIBUTIONS.
201603199349310195,390978445,"Part I, Column (b):",NUMBER OF CONTRIBUTIONS REPRESENTS THE NUMBER OF CONTRIBUTORS.
201603199349310195,390978445,"Part I, Line 32b:",STOCK GIFTS ARE SOLD BY AN INDEPENDENT BROKER.
201643159349303234,810231774,"PART I, LINE 32B:",THE COLLEGE USES APPROPRIATELY CERTIFIED PROFESSIONALS TO SELL NON-CASH GIFTS (SUCH AS SHARES OF STOCK OR REAL ESTATE) ON BEHALF OF THE COLLEGE.
201603129349302435,136171197,"SCHEDULE M, PART I, LINE 9","* 57,500 SHARES OF ESTEE LAUDER VALUED AT $5,000,000 * 5,100 SHARES OF GOLDMAN SACHS VALUED AT $940,573 * 540,000 SHARES OF MORGAN STANLEY GLOBAL VALUED AT $495,242 * 900 SHARES OF SIGMA-ALDRICH VALUED AT $124,614 * 488 SHARES OF PRECISION CASTPARTS VALUED AT $100,626 * 2,044 SHARES OF TWITTER VALUED AT $100,013 * 540,000 SHARES OF MORGAN STANLEY GLOBAL VALUED AT $100,000 * 5,000 SHARES OF INTERXION HLDG VALUED AT $100,000 * 910 SHARES OF ASML HOLDING NV VALUED AT $99,800 * 740 SHARES OF INTERNATIONAL BUSINESS VALUED AT $99,663 * 740 SHARES OF INTERNATIONAL BUSINESS VALUED AT $99,663 * 1,992 SHARES OF NIELSEN VALUED AT $89,979 * 5,277 SHARES OF JPMORGAN LARGE CAP CORE VALUED AT $69,922 * 78 SHARES OF ALPHABET INC VALUED AT $59,830 * 4,000 SHARES OF INTERXION VALUED AT $57,680 * 997 SHARES OF CANTEL MEDICAL CORP VALUED AT $53,808 * 1,000 SHARES OF ATMOS ENERGY CORP VALUED AT $53,204 * 472 SHARES OF FACEBOOK VALUED AT $50,428 * 217 SHARES OF PRECISION CASTPARTS VALUED AT $50,303 * 885 SHARES OF CBS CORPORATION CL B VALUED AT $50,233 * 820 SHARES OF CBS CORPORATION CL B VALUED AT $50,217 * 883 SHARES OF CBS CORPORATION CL B VALUED AT $50,207 * 1,375 SHARES OF ORACLE CORP VALUED AT $50,160 * 1,700 SHARES OF CRAY INC. VALUED AT $50,000 * 4,000 SHARES OF INTERXION VALUED AT $50,000 * 243 SHARES OF GOLDMAN SACHS VALUED AT $48,182 * 990 SHARES OF US BANCORP VALUED AT $42,125 * 600 SHARES OF BRISTOL-MYERS SQUIBB VALUED AT $41,460 * 5,000 SHARES OF INTERXION HLDG VALUED AT $39,200 * 163 SHARES OF PRECISION CASTPARTS VALUED AT $37,785 * 900 SHARES OF YAHOO VALUED AT $29,669 * 240 SHARES OF CORE LABORATORIES VALUED AT $26,400 * 300 SHARES OF EXPRESS SCRIPTS VALUED AT $25,896 * 352 SHARES OF TARGET CORP VALUED AT $25,879 * 110 SHARES OF PRECISION CASTPARTS VALUED AT $25,515 * 110 SHARES OF PRECISION CASTPARTS VALUED AT $25,413 * 993 SHARES OF JOHNSON OUTDOORS INC. VALUED AT $25,123 * 2,297 SHARES OF TECHNOLOGY SELECT VALUED AT $25,066 * 2,297 SHARES OF TECHNOLOGY SELECT VALUED AT $25,066 * 2,297 SHARES OF TECHNOLOGY SELECT VALUED AT $25,066 * 2,297 SHARES OF TECHNOLOGY SELECT VALUED AT $25,066 * 220 SHARES OF MCDONALD'S CORP VALUED AT $25,049 * 922 SHARES OF EMC CORP VALUED AT $25,042 * 335 SHARES OF DUKE ENERGY VALUED AT $25,000 * 463 SHARES OF ROYAL BANK OF CANADA VALUED AT $24,766 * 170 SHARES OF INTERNATIONAL BUSINESS VALUED AT $23,055 * 139 SHARES OF AMGEN, INC. VALUED AT $22,901 * 185 SHARES OF LANCASTER COLONY CORP. VALUED AT $21,081 * 37 SHARES OF TRANSDIGM GROUP INC VALUED AT $15,279 * 262 SHARES OF AMERICAN INTERNATIONAL GROUP VALUED AT $15,104 * 111 SHARES OF INTERNATIONAL BUSINESS VALUED AT $14,949 * 245 SHARES OF HEALTHSOUTH CORP VALUED AT $10,996 * 45 SHARES OF PRECISION CASTPARTS VALUED AT $10,391 * 145 SHARES OF CONSTELLATION BRANDS VALUED AT $10,304 * 145 SHARES OF CONSTELLATION BRANDS VALUED AT $10,304 * 80 SHARES OF AMERIPRISE FINANCIAL INC VALUED AT $10,262 * 40 SHARES OF SPDR S&P MIDECAP 400 VALUED AT $10,247 * 74 SHARES OF INTERNATIONAL BUSINESS MACHINES VALUED AT $10,132 * 83 SHARES OF CHUBB CORP VALUED AT $10,108 * 88 SHARES OF APPLE INC VALUED AT $10,102 * 80 SHARES OF APPLE INC. VALUED AT $10,034 * 175 SHARES OF BARON ASSET RETAIL (BARAX) VALUED AT $10,029 * 96 SHARES OF TARGA RESOURCES CORP. VALUED AT $10,027 * 3,550 SHARES OF GRIFFIN LAND & NURSERIES VALUED AT $10,000 * 4,000 SHARES OF INTERXION VALUED AT $10,000 * 133 SHARES OF EXXON MOBIL CORP VALUED AT $9,996 * 1,000 SHARES OF ATMOS ENERGY CORP VALUED AT $8,726 * 23 SHARES OF PRECISION CASTPARTS CORP VALUED AT $5,278 * 43 SHARES OF UNITEDHEALTH GROUP VALUED AT $5,169 * 44 SHARES OF UNITED HEALTH GROUP INC-CS VALUED AT $5,164 * 50 SHARES OF CVS HEALTH VALUED AT $5,129 * 30 SHARES OF PALO ALTO NETWORK VALUED AT $5,065 * 45 SHARES OF VANGUARD SMALL-CAP EFT VALUED AT $5,065 * 45 SHARES OF TRAVELERS COS VALUED AT $5,052 * 104 SHARES OF NEXTERA ENERGY VALUED AT $5,051 * 50 SHARES OF PEPSICO INC. VALUED AT $5,027 * 35 SHARES OF GENERAL DYNAMICS VALUED AT $4,942 * 108 SHARES OF REYNOLDS AMERICAN INC VALUED AT $4,925 * 40 SHARES OF VANGUARD MID-CAP EFT VALUED AT $4,866 * 16 SHARES OF LOCKHEAD MARTIN CORP VALUED AT $3,456 * 30 SHARES OF MOODY'S CORP. VALUED AT $2,989 * 34 SHARES OF NESTLE SA VALUED AT $2,560 * 591 SHARES OF WALT DISNEY VALUED AT $2,549 * 25 SHARES OF UNITED PARCELS VALUED AT $2,535 * 85 SHARES OF GENERAL ELECTRIC VALUED AT $2,522 * 16 SHARES OF ILLUMINA INC VALUED AT $2,512 * 245 SHARES OF WENDY'S VALUED AT $2,511 * 22 SHARES OF PEPSICO INC VALUED AT $2,214 * 22 SHARES OF EXXON MOBIL VALUED AT $1,971 * 1,700 SHARES OF CRAY INC. VALUED AT $1,493 * 21 SHARES OF TIME WARNER INC. VALUED AT $1,373 * 10 SHARES OF IBM VALUED AT $1,365 * 23 SHARES OF SIX FLAGS ENTERTAINMENT VALUED AT $1,182 * 22 SHARES OF EQT CORPORATION VALUED AT $1,062 * 32 SHARES OF PFIZER VALUED AT $1,040 * 335 SHARES OF DUKE ENERGY VALUED AT $1,026 * 15 SHARES OF JPMORGAN CHASE VALUED AT $995 * 50 SHARES OF ISLE OF CAPRI CASINOS INC. VALUED AT $964 * 30 SHARES OF BLACKSTONE GROUP VALUED AT $924 * 5 SHARES OF TIME WARNER CABLE VALUED AT $917 * 1,200 SHARES OF ZIOPHARM ONCOLOGY VALUED AT $728 * 114 SHARES OF FRONTIER COMMUNICATION VALUED AT $577 * 6 SHARES OF SEMPRA ENERGY VALUED AT $572 * 6 SHARES OF UNITED TECHNOLOGIES VALUED AT $564 * 16 SHARES OF PFIZER VALUED AT $532 * 4,400 SHARES OF EXLSERVICE HOLDINGS INC. VALUED AT $179 * 4,400 SHARES OF EXLSERVICE HOLDINGS INC. VALUED AT $179 * 139 SHARES OF AMGEN, INC. VALUED AT $53 * 23 SHARES OF SIX FLAGS ENTERTAINMENT VALUED AT $39 * 2 SHARES OF TIME INC VALUED AT $31"
201603129349302435,136171197,"SCHEDULE M, PART I, LINE 32B",NON-CASH DONATIONS ARE RESOLD THROUGH OUTSIDE AUCTION HOUSES.
201603209349300635,470424785,"Part I, Line 32b:",The College uses a broker to sell non-cash securities received.
