object_id,ein,DspstnOfAsstsDtl_AsstsDstrOrExpnssPdDsc,DspstnOfAsstsDtl_DstrbtnDt,DspstnOfAsstsDtl_FrMrktVlOfAsstAmt,DspstnOfAsstsDtl_MthdOfFMVDtrmntnTxt,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,DspstnOfAsstsDtl_IRCSctnTxt
201643199349300934,341479317,Note Receivable,398000,Non recoverable amou
201710139349301306,010388637,"LIBRARY BOOKS, EQUIPMENT, TABLES/DESKS AND SEATING.",2015-07-01,88590,BOOK VALUE,010543513,GRACE EVANGELICAL COLLEGE AND SEMINARY,502 ODLIN ROAD,BANGOR,ME,04401,501(C)(3)
201740459349301474,560530003,SECURITIES ENDOWMENT,2015-07-01,94993862,fmv,472298734,QUEENS UNIVERSITY OF CHARLOTTE ENDO,220 N TRYON,CHARLOTTE,NC,28202,501(c)(3)
201731329349302058,131624225,ALBERT EINSTEIN COLLEG OF MEDICINE,2015-09-09,SEE PART III,472209056,ALBERT EINSTEIN COLLEG OF MEDICINE,1300 MORRIS PARK AVENUE,BRONX,NY,10461,501(C)(3)
201701329349306895,880190091,CASH,2015-07-01,2129684,CASH VALUE,463851186,UNSOM PHARMACY INC,1664 N VIRGINIA ST MS 0318,RENO,NV,89557,501(C)(3)
201701329349306895,880190091,INVESTMENTS - ENDOWMENT FUND,2015-07-01,3856088,MARKET VALUE FOR PUBLICLY TRADED SECURITIES,463851186,UNSOM PHARMACY INC,1664 N VIRGINIA ST MS 0318,RENO,NV,89557,501(C)(3)
201701329349306895,880190091,PATIENT AND RELATED PARTY RECEIVABLES,2015-07-01,1758349,NET REALIZABLE VALUE,463851186,UNSOM PHARMACY INC,1664 N VIRGINIA ST MS 0318,RENO,NV,89557,501(C)(3)
201701329349306895,880190091,INVENTORIES,2015-07-01,497265,COST,463851186,UNSOM PHARMACY INC,1664 N VIRGINIA ST MS 0318,RENO,NV,89557,501(C)(3)
201701329349306895,880190091,"FIXED ASSETS, NET OF DEPRECIATION",2015-07-01,194373,NET BOOK VALUE,463851186,UNSOM PHARMACY INC,1664 N VIRGINIA ST MS 0318,RENO,NV,89557,501(C)(3)
201701329349306895,880190091,ACCOUNTS PAYABLE AND ACCRUED EXPENSES,2015-07-01,-1319804,AMOUNT PAYABLE FOR GOODS OR SERVICES RECEIVED,463851186,UNSOM PHARMACY INC,1664 N VIRGINIA ST MS 0318,RENO,NV,89557,501(C)(3)
201741359349304579,741339050,BUILDING LAND EQUIP,2017-07-01,2880000,MARKET PRI,453540033,RESTORATION COMMUNITY FELLOWSHIP,AND DISCOVERY CHRISTIAN SCHOOL INC,P O BOX 180129,RICHLAND,MS,39218,501(C)(3)
201711959349300831,900790361,SEE PART III,2016-08-29,9473000,LOSS ON DISPOSAL,264723391,THE GLOBAL CENTER FOR MEDICAL INNOV,75 5TH STREET NW SUITE 300,ATLANTA,GA,30332,501(C)(3)
201733049349302013,540505972,LAND,2016-12-01,995930,BOOK VALUE - FORECLOSURE,HIGHLANDS UNION BANK,821 COMMONWEALTH AVE,BRISTOL,VA,24201,BANK
201733049349302013,540505972,BUILDING AND OTHER FIXED ASSETS,2016-12-01,9220982,BOOK VALUE - FORECLOSURE,HIGHLANDS UNION BANK,821 COMMONWEALTH AVE,BRISTOL,VA,24201,BANK
