object_id,ein,LqdtnOfAsstsDtl_AsstsDstrOrExpnssPdDsc,LqdtnOfAsstsDtl_DstrbtnDt,LqdtnOfAsstsDtl_FrMrktVlOfAsstAmt,LqdtnOfAsstsDtl_MthdOfFMVDtrmntnTxt,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,LqdtnOfAsstsDtl_IRCSctnTxt
201622519349301112,756064033,Savings and temporary cash investments,2015-08-31,5733775,Fair Market Value,471744274,3500 Camp Bowie,Ft Worth,TX,76107,501(c)(3)
201622519349301112,756064033,Investments - Publicly traded securities,2015-08-31,11840110,Fair Market Value,471744274,3500 Camp Bowie Road,Ft Worth,TX,76107,501(c)(3)
201643199349201439,363447685,CASH,2016-04-29,750,CASH BALANCE,470489031,NEBRASKA CHRISTIAN COLLEGE,12550 S 114TH STREET,PAPILLION,NE,68046,501(C)(3)
201612959349300701,208757406,CASH,145125,731527538,SOUTHWESTERN OKLAHOMA STATE UNIVERSITY,100 CAMPUS DRIVE,WEATHERFORD,OK,73096,SCHOOL
201642579349300429,200258004,CASH AND CASH EQUIVALENTS,2016-02-01,2804253,BOOK VALUE,150543659,CLARKSON UNIVERSITY,8 CLARKSON AVENUE BOX 5546,POTSDAM,NY,136995546,501(C)(3)
201642579349300429,200258004,FIXED INCOME - INVESTMENTS,2016-02-01,633007,BOOK VALUE,150543659,CLARKSON UNIVERSITY,8 CLARKSON AVENUE BOX 5546,POTSDAM,NY,136995546,501(C)(3)
201642579349300429,200258004,EQUITY - INVESTMENTS,2016-02-01,2877542,BOOK VALUE,150543659,CLARKSON UNIVERSITY,8 CLARKSON AVENUE BOX 5546,POTSDAM,NY,136995546,501(C)(3)
201642579349300429,200258004,ACCOUNTS RECEIVABLE,2016-02-01,27313,BOOK VALUE,150543659,CLARKSON UNIVERSITY,8 CLARKSON AVENUE BOX 5546,POTSDAM,NY,136995546,501(C)(3)
201642579349300429,200258004,PLEDGES/GRANTS RECEIVABLE,2016-02-01,141033,BOOK VALUE,150543659,CLARKSON UNIVERSITY,8 CLARKSON AVENUE BOX 5546,POTSDAM,NY,136995546,501(C)(3)
201642579349300429,200258004,PREPAID EXPENSES AND DEFERRED CHARGES,2016-02-01,38367,BOOK VALUE,150543659,CLARKSON UNIVERSITY,8 CLARKSON AVENUE BOX 5546,POTSDAM,NY,136995546,501(C)(3)
201642579349300429,200258004,"PROPERTY, PLANT, AND EQUIPMENT, NET OF ACCUMULATED DEPRECIATION OF $1,457,463",2016-02-01,6670060,BOOK VALUE,150543659,CLARKSON UNIVERSITY,8 CLARKSON AVENUE BOX 5546,POTSDAM,NY,136995546,501(C)(3)
201642579349300429,200258004,"UNAMORTIZED BOND CLOSING COSTS, NET OF ACCUMULATED AMORTIZATION OF $75,381",2016-02-01,211046,BOOK VALUE,150543659,CLARKSON UNIVERSITY,8 CLARKSON AVENUE BOX 5546,POTSDAM,NY,136995546,501(C)(3)
