object_id,ein,RltdOrgnztnNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdOrgTxblCrpTr_EIN,IdRltdOrgTxblCrpTr_PrmryActvtsTxt,IdRltdOrgTxblCrpTr_LglDmclSttCd,DrctCntrllngEnttyNm_BsnssNmLn1Txt,IdRltdOrgTxblCrpTr_EnttyTxt,IdRltdOrgTxblCrpTr_CntrlldOrgnztnInd
201612439349300026,042964630,STEVEN'S CORNER GP,143 BORDER STREET,EAST BOSTON,MA,02128,271127297,MANAGING MEMBER OF A LIMITED LIABILITY COMPANY,MA,NOAH,C,0.79000,0
201612439349300026,042964630,BENFIELD GP LLC,143 BORDER STREET,EAST BOSTON,MA,02128,461555210,MANAGING MEMBER OF A LIMITED LIABILITY COMPANY,MA,NOAH,C,0.79000,0
201612439349300026,042964630,SITKOWSKI GP LLC,143 BORDER STREET,EAST BOSTON,MA,02128,462956971,MANAGING MEMBER OF A LIMITED LIABILITY COMPANY,MA,NOAH,C,0.79000,0
201612439349300026,042964630,SHOE SHOP GP LLC,143 BORDER STREET,EAST BOSTON,MA,02128,472125920,MANAGING MEMBER OF A LIMITED LIABILITY COMPANY,MA,NOAH,C,0.51000,0
201632519349300313,611339396,104th street mm llc,1999 Broadway Suite 1000,Denver,CO,80202,272754418,management,IL,na,c corp,false
201632519349300313,611339396,111th & Wentworth Apartments Corp,1999 Broadway Suite 1000,Denver,CO,80202,383648994,management,IL,na,c corp,false
201632519349300313,611339396,Affordable Housing Corp,1999 Broadway Suite 1000,Denver,CO,80202,841173690,management,CA,na,c corp,false
201632519349300313,611339396,Affordable Housing Initiative (AHI),1999 Broadway Suite 1000,Denver,CO,80202,943096988,management,CA,na,c corp,false
201632519349300313,611339396,Antioch II LLC,1999 Broadway Suite 1000,Denver,CO,80202,273209358,management,GA,na,c corp,false
201632519349300313,611339396,Aurora Snior Apartments GP LLC,1999 Broadway Suite 1000,Denver,CO,80202,272564297,management,IL,na,c corp,false
201632519349300313,611339396,Belray Apartments Corporation,1999 Broadway Suite 1000,Denver,CO,80202,364027474,management,IL,na,c corp,false
201632519349300313,611339396,Belvidere Place Corp I NFP,1999 Broadway Suite 1000,Denver,CO,80202,263800299,low-inc hsng,KY,na,c corp,false
201632519349300313,611339396,Countryside Seniors LLC,1999 Broadway Suite 1000,Denver,CO,80202,261483851,management,IL,na,c corp,false
201632519349300313,611339396,Englewood Apartments NFP,1999 Broadway Suite 1000,Denver,CO,80202,261233523,management,IL,na,c corp,false
201632519349300313,611339396,Greenwich Park Apartments MM LLC,1999 Broadway Suite 1000,Denver,CO,80202,611750718,management,WI,na,c corp,false
201632519349300313,611339396,Harold Washington Apartments Corporation,1999 Broadway Suite 1000,Denver,CO,80202,363556291,management,IL,na,c corp,false
201632519349300313,611339396,HWA 850 EastWOOD GP,1999 Broadway Suite 1000,Denver,CO,80202,271257072,management,IL,na,c corp,false
201632519349300313,611339396,Impact Family Village GP LLC,1999 Broadway Suite 1000,Denver,CO,80202,364715432,management,WA,na,c corp,false
201632519349300313,611339396,Malden Arms Corp II NFP,1999 Broadway Suite 1000,Denver,CO,80202,363815990,management,CA,na,c corp,false
