object_id,ein,RltdOrgnztnNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdOrgTxblPrtnrshp_EIN,IdRltdOrgTxblPrtnrshp_PrmryActvtsTxt,IdRltdOrgTxblPrtnrshp_LglDmclSttCd,DrctCntrllngEnttyNm_BsnssNmLn1Txt,IdRltdOrgTxblPrtnrshp_PrdmnntIncmTxt,IdRltdOrgTxblPrtnrshp_ShrOfTtlIncmAmt,IdRltdOrgTxblPrtnrshp_ShrOfEOYAsstsAmt,IdRltdOrgTxblPrtnrshp_DsprprtntAllctnsInd,IdRltdOrgTxblPrtnrshp_GnrlOrMngngPrtnrInd,IdRltdOrgTxblPrtnrshp_OwnrshpPct
201612439349300026,042964630,SIOCHAIN PROPERTIES LP,143 BORDER STREET,EAST BOSTON,MA,02128,043489643,PROVIDES HOUSING FOR LOW TO MODERATE INCOME INDIVIDUALS/FAMILIES,MA,N/A,N/A,0,1
201612439349300026,042964630,STEVENS CORNER LP,143 BORDER STREET,EAST BOSTON,MA,02128,271785655,PROVIDE AFFORDABLE HOUSING (42 UNITS) FOR INDIVIDUALS IN NORTH ANDOVER.,MA,N/A,N/A,0,1
201612439349300026,042964630,BENFIELD FARMS LP,143 BORDER STREET,EAST BOSTON,MA,02128,320398732,"PROVIDE AFFORDABLE HOUSING (26 UNITS) FOR INDIVIDUALS IN CARLISLE, MA.",MA,N/A,N/A,0,1
201612439349300026,042964630,SITKOWSKI LP,143 BORDER STREET,EAST BOSTON,MA,02128,364765056,CONSTRUCTING AND HOLDING A 66 UNIT BUILDING IN WEBSTER MA.,MA,N/A,N/A,0,1
201612439349300026,042964630,SHOE SHOP LP,120 INGELL STREET,TAUNTON,MA,02780,471320339,CONSTRUCTING AND HOLDING A 25 UNIT BUILDING IN MIDDLEBORO.,MA,N/A,N/A,0,1
201612439349300601,251525572,1401 STATE STREET LLC,600 WATERFRONT DRIVE,PITTSBURGH,PA,15222,208175899,SALE AND RENTAL OF CONDO UNITS,PA,N/A,EXCLUDED,-5545,672313,0,0,0.10000
201632519349300313,611339396,1028 Howard St Associates,1999 Broadway Suite 1000,Denver,CO,80202,943160742,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,104th Street LP,1999 Broadway Suite 1000,Denver,CO,80202,272755027,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,1100 Ocean Avenue LP,1999 Broadway Suite 1000,Denver,CO,80202,454437017,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,1101 Howard St Associates,1999 Broadway Suite 1000,Denver,CO,80202,943160341,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,111 Jones Street Assoc (111 Jones St),1999 Broadway Suite 1000,Denver,CO,80202,943142765,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,1475 167th Avenue Assoc,1999 Broadway Suite 1000,Denver,CO,80202,943249328,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,16th & Church Street Assoc,1999 Broadway Suite 1000,Denver,CO,80202,943135262,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,180 Properties,1999 Broadway Suite 1000,Denver,CO,80202,270561021,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,1760 Bush LP,1999 Broadway Suite 1000,Denver,CO,80202,473449006,low-inc hsng,CA,na,RELATED,false,false
