object_id,ein,DsrgrddEnttyNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdTxExmptOrg_EIN,IdRltdTxExmptOrg_PrmryActvtsTxt,IdRltdTxExmptOrg_LglDmclSttCd,IdRltdTxExmptOrg_ExmptCdSctnTxt,IdRltdTxExmptOrg_PblcChrtySttsTxt,IdRltdTxExmptOrg_CntrlldOrgnztnInd
201612439349300026,042964630,PEACE PROPERTIES INC,143 BORDER STREET,EAST BOSTON,MA,02128,043173140,PURCHASING AND DEVELOPING AFFORDABLE HOUSING,MA,501(C)(3),PUBLIC CHARITY,NOAH,0
201612439349300026,042964630,PAZ PROPERTIES INC,143 BORDER STREET,EAST BOSTON,MA,02128,043206160,RENTAL PROPERTIES FOR LOW TO MODERATE INCOME FAMILIES,MA,501(C)(2),N/A,NOAH,0
201612439349300026,042964630,SHALOM PROPERTIES INC,143 BORDER STREET,EAST BOSTON,MA,02128,043358724,RENTAL PROPERTIES FOR LOW TO MODERATE INCOME FAMILIES,MA,501(C)(2),N/A,NOAH,0
201612439349300026,042964630,NOAH COMMUNITY DEVELOPMENT FUND INC,143 BORDER STREET,EAST BOSTON,MA,02128,043554045,PROVIDES LOANS AND COUNSELING TO LOW/MODERATE INCOME FAMILIES,MA,501(C)(3),PUBLIC CHARITY,NOAH,0
201612439349300026,042964630,SIOCHAIN PROPERTIES INC,143 BORDER STREET,EAST BOSTON,MA,02128,043488694,MANAGING MEMBER OF A LIMITED PARTNERSHIP,MA,501(C)(3),PUBLIC CHARITY,NOAH,0
201612439349300601,251525572,ECONOMIC DEVELOPMENT CORPORATION OF ERIE COUNTY INC,5240 KNOWLEDGE PARKWAY,ERIE,PA,16510,251148957,Development of new job opportunities in Erie County,PA,501 (c) (6),N/A,0
201612439349300601,251525572,GREATER ERIE INDUSTRIAL DEVELOPMENT CORPORATION,5240 KNOWLEDGE PARKWAY,ERIE,PA,16510,251046776,RENTAL OR SALE OF PROPERTY FOR THE PURPOSE OF ECONOMIC DEVELOPMENT,PA,501 (c) (6),N/A,0
201612449349300636,946181807,Boy Scouts of America Inc Mt Diablo Silverado Council,800 Ellinwood Way,Pleasant Hill,CA,94523,941156249,Scouting,CA,501(c)(3),Line 7,N/A,0
201612449349300786,221936892,SJ MECHANICAL CONTRACTORS ASSOC,10000 LINCOLN DRIVE E,201,MARLTON,NJ,08053,237244295,PROMOTE,NJ,501C6,NO,false
201612449349300786,221936892,SJ MECHANICAL CONTRACTORS PAC,10000 LINCOLN DRIVE E,201,MARLTON,NJ,08053,550881121,PROMOTE,NJ,527,NJ,false
201632469349300108,223091017,NORTH SUFFOLK MENTAL HEALTH ASSOCIATION INC,301 BROADWAY,CHELSEA,MA,02150,042317215,MENTAL HEALTH SERVICES,MA,501(C)(3),LINE 7,N/A,0
201632469349300108,223091017,NORTH SUFFOLK GROUP HOMES INC,301 BROADWAY,CHELSEA,MA,02150,223204728,PROVIDES LOW INCOME HOUSING,MA,501(C)(3),LINE 9,NORTH SUFFOLK MENTAL HEALTH ASSOCIATION INC,0
201632469349300108,223091017,NOBLE SCHOOLHOUSE CORP,301 BROADWAY,CHELSEA,MA,02150,111028072,PROVIDES LOW INCOME HOUSING,MA,501(C)(3),LINE 9,NORTH SUFFOLK MENTAL HEALTH ASSOCIATION INC,0
201632469349300108,223091017,HARBORVIEW INC,301 BROADWAY,CHELSEA,MA,02150,223176099,PROVIDES LOW INCOME HOUSING,MA,501(C)(3),LINE 9,NORTH SUFFOLK MENTAL HEALTH ASSOCIATION INC,0
201632469349300108,223091017,BROADWAY COMMUNITY HOUSING CORP,301 BROADWAY,CHELSEA,MA,02150,223409403,PROVIDES LOW INCOME HOUSING,MA,501(C)(3),LINE 9,NORTH SUFFOLK MENTAL HEALTH ASSOCIATION INC,0
201632469349300108,223091017,NORTH SUFFOLK COMMUNITY HOUSING CORP,301 BROADWAY,CHELSEA,MA,02150,222606679,PROVIDES LOW INCOME HOUSING,MA,501(C)(3),LINE 9,NORTH SUFFOLK MENTAL HEALTH ASSOCIATION INC,0
201632469349300108,223091017,BRADSTREET COMMUNITY HOUSING CORP,301 BROADWAY,CHELSEA,MA,02150,311660731,PROVIDES LOW INCOME HOUSING,MA,501(C)(3),LINE 9,NORTH SUFFOLK MENTAL HEALTH ASSOCIATION INC,0
201632469349300108,223091017,PROCTOR COMMUNITY HOUSING CORP,301 BROADWAY,CHELSEA,MA,02150,311699625,PROVIDES LOW INCOME HOUSING,MA,501(C)(3),LINE 9,NORTH SUFFOLK MENTAL HEALTH ASSOCIATION INC,0
201632519349300313,611339396,2101 Telegraph Avenue Inc,1999 Broadway Suite 1000,Denver,CO,80202,943222935,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,All Hallows Community,1999 Broadway Suite 1000,Denver,CO,80202,942722870,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Allegre Point Senior Residences,1999 Broadway Suite 1000,Denver,CO,80202,204295472,low-inc hsng,CO,501 (c) (3),9,NA,false
201632519349300313,611339396,Avondale Senior Village,1999 Broadway Suite 1000,Denver,CO,80202,860980810,low-inc hsng,AZ,501 (c) (3),9,NA,false
201632519349300313,611339396,Camelot Casitas,1999 Broadway Suite 1000,Denver,CO,80202,860980809,low-inc hsng,AZ,501 (c) (3),9,NA,false
201632519349300313,611339396,Cantebria Senior Homes,1999 Broadway Suite 1000,Denver,CO,80202,943361794,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Casa de Merced,1999 Broadway Suite 1000,Denver,CO,80202,860808941,low-inc hsng,AZ,501 (c) (3),9,NA,false
201632519349300313,611339396,Casa de Shanti,1999 Broadway Suite 1000,Denver,CO,80202,860728526,low-inc hsng,AZ,501 (c) (3),11a,NA,false
201632519349300313,611339396,Central Coast Housing,1999 Broadway Suite 1000,Denver,CO,80202,770117473,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Charles Crest Corporation (Charles Crest,1999 Broadway Suite 1000,Denver,CO,80202,341399869,low-inc hsng,OH,501 (c) (3),9,NA,false
201632519349300313,611339396,Charles Crest II Corporation,1999 Broadway Suite 1000,Denver,CO,80202,341714407,low-inc hsng,OH,501 (c) (3),9,NA,false
201632519349300313,611339396,Charles Meadows Corporation,1999 Broadway Suite 1000,Denver,CO,80202,341552671,low-inc hsng,OH,501 (c) (3),9,NA,false
201632519349300313,611339396,Decatur Place,1999 Broadway Suite 1000,Denver,CO,80202,841062097,low-inc hsng,CO,501 (c) (3),9,NA,false
201632519349300313,611339396,Dublin Manor Inc,1999 Broadway Suite 1000,Denver,CO,80202,020655254,low-inc hsng,KY,501 (c) (3),9,NA,false
201632519349300313,611339396,Eagle Senior Village,1999 Broadway Suite 1000,Denver,CO,80202,030410639,low-inc hsng,ID,501 (c) (3),9,NA,false
201632519349300313,611339396,EHCC Housing Corp (Eden House),1999 Broadway Suite 1000,Denver,CO,80202,943234538,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,El Mirage Senior,1999 Broadway Suite 1000,Denver,CO,80202,860847975,low-inc hsng,AZ,501 (c) (3),9,NA,false
201632519349300313,611339396,Fairfax Nonprofit Housing Development Co,1999 Broadway Suite 1000,Denver,CO,80202,942772546,low-inc hsng,CA,501 (c) (3),9,NA,false
