object_id,ein,Dsc,BsnssCd,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt
201713199349318906,113811029,MISCELLANEOUS,113,113
201713469349300626,166031585,Commissions,451211,92362,0,0,92362
201713469349300626,166031585,Transcripts,611600,7286,7286,0,0
201713469349300626,166031585,Miscellaneous,900099,139367,0,0,139367
201723419349300107,237373765,CONSTRUCTION,230000,53369,53369
201723419349300107,237373765,SBC TECH,541519,1595,1595
201703479349300920,910615846,STUDENT SUPPORT FEES,611710,397858,397858
201703479349300920,910615846,ATHLETIC DEPT REVENUE,711210,57225,57225
201713469349300631,943204136,Other Revenue,900099,685553,685553
201713189349309806,161359213,EMR REFUND,900099,99380,99380
201713189349309806,161359213,MISCELLANEOUS INCOME,900099,57832,57832
201703429349300000,010802914,Other revenue,900099,115529,115529
201713189349306656,980148939,SUNDRY INCOME,900099,2487134,2487134
201713189349306656,980148939,INSURANCE PAYOUT,900099,1646779,1646779
201713189349306656,980148939,LOSS ON FOREIGN EXCHANGE,900099,-310612,-310612
201713199349303801,160743900,Research,541712,718098,718098,0,0
201713199349303801,160743900,Athletics & Equestrian,711210,278732,278732,0,0
201713199349303801,160743900,Student Loan Interest,611710,417760,417760,0,0
201743189349312639,231352008,Professional Recertifi,611310,689674,689674
201743189349312639,231352008,Ethics Center Membersh,611310,225000,225000
201743189349312639,231352008,royalties,611310,180915,180915
201743179349306289,230973290,MISCELLANEOUS,900099,408705,408705
201743179349306289,230973290,LAUNDRY VENDING INCOME,900099,5482,5482
201713199349313076,260833212,TRAVEL REIMBURSEMENT INCOME,15167,15167
201733189349306558,231937954,MISCELLANEOUS REVENUE,900099,86399,86399
201743259349300804,370661231,MISCELLANEOUS,900099,168946,168946
201743259349300804,370661231,FITNESS CENTER,900099,114815,114815
201743259349300804,370661231,VENDOR COMMISSIONS,900099,41320,41320
201713199349300126,550753754,Affiliate Transfer,900099,6120047,6120047
201743189349307114,370661491,OTHER INCOME,611600,144863,144863
201743209349301324,237075717,OTHER OPERATING REVENUE,611710,259968,259968
201713179349305811,250965603,student fees,713940,126000,126000
201713179349305811,250965603,OTHER SOURCES,611600,93546,93546
201713179349305811,250965603,CELL TOWER & GAS LEASE,900099,13550,13550
201743179349308264,320237828,Other income,900099,1205,1205
201703489349300545,460623034,Miscellaneous Revenue,900099,1354,1354
201703189349313305,451171945,OTHER INCOME,611710,2438,2438
201733149349303603,410698301,PARKING,812930,294870,294870
201733149349303603,410698301,INDIRECT COST RECOVERY,561000,180176,0,180176
201733149349303603,410698301,BOOK RENTAL,900099,116303,116303
201713189349313481,351358522,INSTALLMENT/SCRAP,900099,6062
201713199349318201,953104298,RENTAL INCOME,733349,733349
201713199349318201,953104298,SALES & SERVICES,3336,3336
201713199349318201,953104298,REBATE INCOME,1750,1750
201713199349319176,566049935,CAMPS & CONFERENCES,713940,170856,90946,79910
201713199349319176,566049935,ATHLETIC INCOME,611310,166380,166380
201713199349319176,566049935,NEWSPAPER,511110,46793,46793
201723469349300327,237032625,MUSEUM INCOME,88480,88480
201723389349300157,590624459,Health Center Fees,621400,1312069,0,0,1312069
201723389349300157,590624459,Forfeited Deposits,900099,233578,233578,0,0
201723389349300157,590624459,Parking/Library Fines,900099,212500,212500,0,0
201733189349311103,421351526,MISCELLANEOUS REVENUE,900099,31749,31749
201723479349300827,350869063,COLLECTION COSTS RECOVE,900099,33959,33959
201723479349300827,350869063,VENDING,900099,5774,5774
201713149349301601,136171197,MASTERS PROGRAM TUITION & RELATED FEES,900099,9957161,9957161
201713149349301601,136171197,8 EAST 102ND STREET MANAGER LLC,525990,670420,670420
201713149349301601,136171197,PARKING GARAGE,611710,4391346,4391346
201723199349310802,274967732,EDUCATIONAL SERVICES,616000,25322,25322
201723199349310802,274967732,MISC,900099,37550,37550
201713149349301516,240795439,BINGHAM TRUST,611710,78838,78838
201713149349301516,240795439,MISCELLANEOUS,611710,30398,30398
201703179349301205,560767736,OTHER INCOME,900099,859280,859280
201703179349301205,560767736,CHANGE IN VALUE OF SPLIT INTE,900099,294571,294571
201703179349301205,560767736,CHANGE IN INSURANCE VALUE,900099,13771,13771
201723199349312827,611531458,UNAM - MEXICO SUBSIDY,611600,3110885,3110885
201723199349316142,461549605,OTHER INCOME,52,52
201713189349310926,810994377,MISCELLANEOUS REVENUE,900099,24014,24014
201733189349313563,473609601,OTHER INCOME,900099,8450,8450
201723259349300002,041843040,"Dining Sercices, Cafe, Catering",721000,706801,706801
201723259349300002,041843040,Departmental,611600,4415911,4220989,194922
201723259349300002,041843040,"Indirects, Allowances",611600,681150,681150
201743199349307739,231352626,CATERING REVENUE,722320,134341,134341
201743199349307739,231352626,PARKING TICKETS AND FEES,611110,79198,79198
201743199349307739,231352626,PY Financial Aid,611110,70729,70729
201713189349303286,390806325,Summer Conferences,721000,579354,579354
201713189349303286,390806325,Other Income,900099,-182666,-182666
201723179349302037,430471057,STUDENT HOUSING,611710,610947,610947
201723179349302037,430471057,LAPTOP REVENUES,611710,91574,91574
201723179349302037,430471057,FEDERAL FINANCIAL AID REIMBURSEMENT,611710,89888,89888
201723179349306102,263031521,POP SALES/MISC INCOME,900099,4990,4990
201703469349300115,620812782,"WORKSHOP, SUPPLY, OTHER",222988,222988
201723249349300207,203287316,OTHER INCOME:MISCELLAN,900099,780,780
201703349349300500,510109178,MISCELLANEOUS INCOME,900099,128359,128359
201733329349300768,750851900,Other Income,611710,615159,615159
201733189349312483,273321328,OTHER,611600,13854,13854
201703189349301430,541863192,WESTMORELAND MARINA,713990,12974,12974
201703189349301430,541863192,MISCELLANEOUS INCOME,900099,15,15
201713199349317246,880320324,Other Income,900099,85,85
