object_id,ein,Dsc,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt
201743179349306214,470378779,ALL OTHER PATIENT REVE,621300,112724501,112724501
201743179349306214,470378779,NET MEDICARE REVENUE,621300,40467943,40467943
201743179349306214,470378779,NET MEDICAID REVENUE,621300,6248717,6248717
201743179349306214,470378779,MEANINGFUL USE INCENTI,621300,118000,118000
201743179349306214,470378779,RADIOLOGY SCHOOL,621300,50072,50072
201703179349307400,111635088,NET PATIENT SERVICE REVENUE - HOSPITAL,621300,205189571,205189571
201703179349307400,111635088,NET PATIENT SERVICE REV-LAB PROCEDURES,621500,171478,171478
201733179349306133,226019101,PATIENT SERVICE REVENUE,900099,533707609,533707609
201733179349306133,226019101,MEDICAL RECORDS,900099,237581,237581
201733179349306133,226019101,NEURO DRUG STUDY,900099,415352,415352
201733179349306133,226019101,LAMAZE,900099,21707,21707
201733179349306133,226019101,CPR COURSE,900099,62015,62015
201743189349308204,362166946,BAKING AND FOOD TECHNICAL SERVICE,611600,1523220,1523220
201743189349308204,362166946,FOOD SAFETY SERVICES AND APPLICAT,611600,1090994,1090994
201723199349305457,210634462,NET PATIENT SERVICE REVENUE,541900,1149205968,1149205968
201723199349305457,210634462,OTHER HEALTHCARE RELATED REVENUE,541900,38242262,38242262
201723199349305457,210634462,EDUCATION,541900,143798,143798
201703189349300745,390830664,OUTPATIENT REVENUE,621400,104327425,104327425
201703189349300745,390830664,INPATIENT REVENUE,621990,96500131,96500131
201703189349300745,390830664,LAB REFERRAL REVENUE,621500,1963130,1963130
201703189349300745,390830664,Affiliate Rental Revenue,900099,1813634,1813634
201703189349300745,390830664,OTHER REVENUE,621990,1066288,1039166,27122
201703189349313625,952158727,OTHER OPERATING REVENUE,621400,117,117
201713469349300626,166031585,Tuition and Fees,611600,16052584,16052584,0,0
201713469349300626,166031585,Dorms,721000,1342083,0,0,1342083
201713469349300626,166031585,Government Agency Fees,561000,11744,11744,0,0
201723419349300107,237373765,GOVERNMENTAL PROGRAM GRANTS,611600,9206159,9206159
201723419349300107,237373765,TUITION AND OTHER LOCAL,611600,3059454,3059454
201723419349300107,237373765,BOOKSTORE SALES,611600,502767,502767
201713179349305346,570828733,Net Patient Service,621400,397781807,397781807
201713179349305346,570828733,Cytology Net Income,900099,367065,367065
201713179349305346,570828733,Clinical Research,900099,30717,30717
201743199349303834,111661359,PATIENT CARE,621400,166627075,166627075
201743199349303834,111661359,PROVISION OF MEDICAL SERVICES BY,621110,144173,144173
201743179349306639,132635819,WORKSHOP FEES-AFFILIAT,900099,95241,95241
201743179349306639,132635819,WORKSHOP FEES-NYC,900099,30036,30036
201743179349306639,132635819,AFFILIATE LICENSE FEES,900099,20750,20750
201743179349306639,132635819,OTHER PROGRAM FEES,900099,3898,3898
201703479349300920,910615846,TUITION AND FEES,611600,39388105,39388105
201703479349300920,910615846,STUDENT HOUSING,611710,5692003,5692003
201703479349300920,910615846,AUXILIARY,611710,119461,119461
201703429349300225,750800653,Tuition & Fees,611310,24849385,24849385
201703429349300225,750800653,Auxiliary Enterprises,611710,3672205,3672205
201703429349300225,750800653,Other Program Revenue,611710,445421,445421
201713469349300631,943204136,Student Tuition,611600,29597082,29597082
201713469349300631,943204136,Auxiliary Fees,611600,6971301,6971301
201713489349300116,390806263,Tuition and fees,611310,41949573,41949573,0,0
201713489349300116,390806263,Auxiliary enterprises,611310,4774604,4774604,0,0
201713489349300116,390806263,Other income,611310,128693,128693,0,0
201723199349302842,250965270,PATIENT SERVICE REVENUE,621990,63158031,63158031
201743189349305244,208091013,TUITION AND FEES,611310,184084174,184084174
201723199349309022,560554230,NET PATIENT REVENUE,622110,1107288912,1107288912
201723199349309022,560554230,PHARMACY,446110,7807379,7099983,707396
201723199349309022,560554230,SOUTHPARK SURGERY CTR NET PT REV,621111,1039213,1039213
201703179349301545,810231774,TUITION AND FEES,611600,44490552,44490552
201703179349301545,810231774,AUXILIARY ENTERPRISES,611600,7753922,7753922
201703179349301545,810231774,OTHER SOURCES,611600,885185,885185
201703179349301545,810231774,ATHLETICS,611600,756010,756010
201713189349308761,030197728,TUITION & FEES,611600,5467674,5467674
201713189349308761,030197728,AUXILIARY SERVICES,611600,1239182,1239182
201713189349308761,030197728,OTHER PROGRAM SERVICE REVENUE,611600,16118,16118
201703149349302985,150533577,PATIENT SERVICE REVENUE,623000,214713513,214713513
201713199349303801,160743900,Tuition & Fees,611310,53544711,53544711,0,0
201713199349303801,160743900,Auxiliary Services to School,611710,15110053,14910121,199932,0
201713199349303801,160743900,Educational Activities,611710,227285,227285,0,0
201743189349312639,231352008,Solomon S. Huebner Sch,611310,21959447,21959447
201743189349312639,231352008,Richard D. Irwin Gradu,611310,2887579,2887579
201743189349312639,231352008,FSCP Program,611310,2291408,2291408
201743189349312639,231352008,Customized Corporate C,611310,408644,408644
201743179349306289,230973290,TUITION AND FEES,900099,19307068,19307068
201743179349306289,230973290,AUXILIARY ENTERPRISES,900099,4688721,4688721
201733149349303423,042104451,TUITION AND FEES,900099,56293660,56293660
201733149349303423,042104451,AUXILIARY ENTERPRISES,900099,10939337,10939337
201733189349306558,231937954,STUDENT TUITION & FEES,900099,2538606,2538606
201733189349306558,231937954,AUXILIARY ENTERPRISE,611710,74359,74359
201743259349300804,370661231,TUITION AND FEES,611430,26084920,26084920
201743259349300804,370661231,DORMITORIES,721310,3833323,3833323
201743259349300804,370661231,FOOD SERVICE,722210,2469298,2469298
201743259349300804,370661231,ATHLETICS,711210,537477,537477
201703189349310940,420698265,NET PATIENT REVENUE,900099,171744686,171744686
201703189349310940,420698265,PHARMACY REVENUE,446110,57302007,57283072,18935
201703189349310940,420698265,RENTAL INCOME,531120,2621719,2615084,6635
201703189349310940,420698265,"MANAGEMENT, IT AND SUPPORT SVCS",561000,840833,811016,29817
201703189349310940,420698265,MISCELLANEOUS REVENUE,900099,370723,370723
201713199349303036,131740127,Inpatient,900099,108786353,108786353
201713199349303036,131740127,Clinic & Psychiatry,621400,58941010,58941010
201713199349303036,131740127,Ambulatory Surgery,621990,10577222,10577222
201713199349303036,131740127,Emergency Room,900099,9142862,9142862
201713199349303036,131740127,Renal,621500,1359523,1359523
201713199349300126,550753754,Education Services,611710,2947629,2947629
201713199349300126,550753754,Research Revenue,621990,289764,289764
201713199349300126,550753754,Non Clinical Services,621990,6957,6957
201743189349307114,370661491,TUITION AND FEES,611600,11593671,11593671
201743189349307114,370661491,AUXILLARY ENTERPRISES,611600,2770923,2770923
201743259349300239,222547262,ADMISSIONS,711110,2850617,2850617
201743259349300239,222547262,service charge income,711110,355321,355321
201743259349300239,222547262,mfa program income,611710,2591919,2591919
201743259349300239,222547262,"CONCESSION INCOME, NET",711110,95447,95447
201743259349300239,222547262,TUITION INCOME,711110,268014,268014
201733149349303183,131624135,NET INPATIENT REVENUE,622110,545653594,545653594
201733149349303183,131624135,NET OUTPATIENT REVENUE,622110,321975798,321975798
201733149349303183,131624135,PROFESSIONAL FEES,622110,115204510,115204510
