ActvtyOrMssnDsc|Activity or mission description
PYInvstmntIncmAmt|Investment income - prior year
CYInvstmntIncmAmt|Investment income - current year
CYOthrRvnAmt|Other revenue - current year
PYOthrRvnAmt|Other revenue - prior year
PYTtlRvnAmt|Total revenue - prior year
CYTtlRvnAmt|Total revenue - current year
CYGrntsAndSmlrPdAmt|Grants and similar amounts - current year
PYGrntsAndSmlrPdAmt|Grants and similar amounts - prior year
CYBnftsPdTMmbrsAmt|Benefits paid to members - current year
PYBnftsPdTMmbrsAmt|Benefits paid to members - prior year
PYSlrsCmpEmpBnftPdAmt|Salaries, etc - prior year
CYSlrsCmpEmpBnftPdAmt|Salaries, etc - current year
PYTtlPrfFndrsngExpnsAmt|Total professional fundraising expense - prior year
CYTtlPrfFndrsngExpnsAmt|Total professional fundraising expense - current year
CYTtlFndrsngExpnsAmt|Total fundraising expense - current year
CYOthrExpnssAmt|Other expenses - current year
PYOthrExpnssAmt|Other expenses - prior year
CYTtlExpnssAmt|Total Expenses - current year
PYTtlExpnssAmt|Total Expenses - prior year
PYRvnsLssExpnssAmt|Revenues less expenses - prior year
CYRvnsLssExpnssAmt|Revenues less expenses - current year
CntrctTrmntnInd|Termination or contraction
TtlAsstsBOYAmt|Total Assets, BOY
TtlAsstsEOYAmt|Total Assets, EOY
TtlLbltsEOYAmt|Total Liabilities, EOY
TtlLbltsBOYAmt|Total Liabilities, BOY
NtAsstsOrFndBlncsBOYAmt|Net Assets or Fund Balances, BOY
NtAsstsOrFndBlncsEOYAmt|Net Assets or Fund Balances, EOY
VtngMmbrsGvrnngBdyCnt|Number voting members governing body
VtngMmbrsIndpndntCnt|Number independent voting members
TtlEmplyCnt|total Number employees
TtlVlntrsCnt|Total number volunteers
TtlGrssUBIAmt|Total gross UBI
NtUnrltdBsTxblIncmAmt|Net unrelated business taxable income
CYCntrbtnsGrntsAmt|Contributions and grants - current year
PYCntrbtnsGrntsAmt|Contributions and grants - prior year
CYPrgrmSrvcRvnAmt|Program service revenue - current year
PYPrgrmSrvcRvnAmt|Program service revenue - prior year
