object_id,ein,Dsc,BkVlAmt,MthdVltnCd
201713179349305346,570828733,Net Intercompany Receivables,106609435,F
201713179349305346,570828733,Investment in RSF Eye Surgery Center,228882,F
201733149349303423,042104451,LAND HELD FOR INVESTMENT - BOARD DESIGNATED FOR ENDOWMENT,18800000,F
201743259349300239,222547262,CASH EQUIVALENTS (FUND),115680,F
201743259349300239,222547262,MUTUAL FUNDS (FUND),717046,F
201743259349300239,222547262,EQUITIES (FUND),864738,F
201743259349300239,222547262,ALTERNATIVE INVESTMENTS (FUND),776838,F
201743149349301614,135564934,HIC INVESTMENT,127394000,F
201743149349301614,135564934,FOJP-FHH EQUITY RECEIVABLE,35062074,F
201743149349301614,135564934,FOJP-HANYS-DIVIDEND RECEIVABLE,15694589,F
201743149349301614,135564934,HEALTHFIRST PPO,6439616,F
201743149349301614,135564934,NORTHEAST,878417,F
201743149349301614,135564934,GPA HOLDING LLC,622417,F
201743149349301614,135564934,GRAND IMAGING HOLDINGS LLC,40000,F
201733179349307748,210662542,LIMITED USE,1124522,F
201733179349307748,210662542,USE,2481270,F
201733179349307748,210662542,MUTUAL FUNDS; LIMITED USE,25860842,F
201733179349307748,210662542,EQUITY SECURITIES; LIMITED USE,31651893,F
201733179349307748,210662542,LIMITED USE,23387913,F
201733179349307748,210662542,LIMITED USE,185443,F
201703149349302475,363196629,MASONIC FAMILY HEALTH FDN,84554000,F
201703149349302475,363196629,CHICAGO NORTHSIDE MRI,1193548,F
201703149349302475,363196629,REHAB INSTITUTE OF CHICAGO,62827,F
201713189349311031,370661223,METHODIST MEDICAL CENTER FOUNDATION,29825165,F
201713189349311031,370661223,CENTRAL ILLINOIS WORK INJURY RESOURCE,729327,F
201713189349311031,370661223,GREATER PEORIA SPECIALTY HOSPITAL,-423313,F
201713189349311031,370661223,CENTRAL ILLINOIS ENDOSCOPY CENTER,6279839,F
201713189349311031,370661223,CENTRAL ILLINOIS CANCER CARE CENTER,966462,F
201713189349311031,370661223,REHABILITATION THERAPY SERVICES,1141636,F
201713189349311031,370661223,MMCI ORTHOPEDIC CO-MANAGEMENT COMPANY,56402,F
201713189349311031,370661223,MMCI SURGERY CO-MANAGEMENT COMPANY,51281,F
201713189349311031,370661223,OTHER INVESTMENTS,1709130,F
201713189349311031,370661223,UNITYPOINT AT WORK,22500,F
201733189349311103,421351526,BENEFICIARY INTEREST IN MEMORIAL FOUNDATION OF ALLEN HOSPITAL,10433024,F
201723429349300512,560530240,Certificate of Deposti,2105265,F
201703179349301200,221487173,CASH & CASH EQUIVALENTS,15217174,F
201703179349301200,221487173,INCOME SECURITIES,13091000,F
201703179349301200,221487173,MORTGAGE RESERVE FUND,12151174,F
201703179349301200,221487173,LEASE AGREEMENTS,27940285,F
201703179349301200,221487173,INVESTMENTS IN JOINT VENTURES,6040638,F
201703179349301200,221487173,EHMC FOUNDATION,53097022,F
201713189349310926,810994377,INVESTMENT IN TRINITY HEALTH FOUNDATION,2528540,F
201733189349311053,362739299,BENEFICIAL INTEREST IN TRINITY HEALTH FOUNDATION,6752806,F
201733189349311053,362739299,QUAD CITY AMBULATORY SURGERY CENTER,3436671,F
201733189349311053,362739299,ADVANCED IMAGING CENTER,842496,F
201733189349311053,362739299,"TRINITY ONCOLOGY SERVICES CO-MANAGEMENT COMPANY, LLC",43376,F
201733189349311053,362739299,"MISSISSIPPI VALLEY SLEEP DISORDER CENTER, L.C.",549270,F
201733189349311053,362739299,"UPHT-SCA HOLDINGS, LLC",17977500,F
201733189349311053,362739299,UNITYPOINT AT WORK,45000,F
201733189349311053,362739299,"TRINITY ANESTHESIOLOGY SERVICES CO-MANAGEMENT COMPANY, LLC",35858,F
201733189349311053,362739299,METRO MRI,234221,F
201703119349303165,362310478,Student Loan Portfolio,7587560,F
201743199349301474,210634484,PERPETUAL TRUSTS,4416131,F
201743199349301474,210634484,OREGANIZATION,1194909,F
201743199349301474,210634484,JOINT VENTURES,10909942,F
201743199349301474,210634484,EXTERNALLY DESIGNATED,5698967,F
201743199349301474,210634484,LIMITED USE,996105,F
201743199349301474,210634484,LIMITED USE,219904721,F
201743199349301474,210634484,LIMITED USE,59607366,F
201743199349301474,210634484,COMMINGLED FUNDS; LIMITED USE,13159671,F
201703139349301520,370706154,REAL ESTATE,23009901,F
201703319349300770,581126894,LOAN INVESTMENT-AIU,1051709,C
201703319349300770,581126894,LOAN INVESTMENT-SABER MEDICAL SERVI,1853297,C
201713079349301711,570324916,Wells Fargo,28350387,F
201713079349301711,570324916,Charitable Trust,571437,F
201713079349301711,570324916,Annuity Contracts,122385,F
201713079349301711,570324916,Real Estate,84496,C
201713079349301711,570324916,Various Stoc,607,C
201810419349300101,231424055,Student Loans Receivable,1981947,F
201800609349301155,370711798,FARMLAND,7139919,F
201800999349300885,741109631,INVESTMENT IN OLLU MAIN BLDING,27575000,C
201830529349300828,942356338,Investments in Commons at Fair Oaks LLC,3562775,C
201820749349300817,850365964,MUSEUM COLLECTIONS,5767388,C
201820749349300817,850365964,CONSTRUCTION IN PROGRESS,7443918,C
201820749349300817,850365964,MUSEUM ART PARK,229578,C
201830719349300503,131632522,student loan receivables,4974632,F
201830889349300603,341695897,Federal agency mortgage backed securites,1073044,F
201830889349300603,341695897,certificate of deposit,574142,F
201840879349300414,250965600,Investments in Affiliates & Related Long Term Receivables,17742830,F
