object_id,ein,BsnssNmLn1Txt,FcltyNm,FrstLcnsdCYOrPYInd,TxExmptHsptlCYOrPYInd,CHNACndctdInd,CmmntyDfntnInd,CmmntyDmgrphcsInd,ExstngRsrcsInd,HwDtObtndInd,CmmntyHlthNdsInd,OthrHlthIsssInd,CmmntyHlthNdsIdPrcssInd,CnsltngPrcssInd,PrrCHNAImpctInd,CHNACndctdYr,TkIntAccntOthrsInptInd,CHNACndctdWthOthrFcltsInd,CHNACndctdWthNnFcltsInd,CHNARprtWdlyAvlblInd,RptAvlblOnOwnWbstInd,OwnWbstURLTxt,PprCpyPblcInspctnInd,ImplmnttnStrtgyAdptInd,ImplmnttnStrtgyAdptYr,StrtgyPstdWbstInd,StrtgyWbstURLTxt,OrgnztnIncrExcsTxInd,ElgCrtrExplndInd,FPGFmlyIncmLmtFrDscntInd,FPGFmlyIncmLmtFrCrPct,FPGFmlyIncmLmtDscntCrPct,IncmLvlCrtrInd,AsstLvlCrtrInd,MdclIndgncyCrtrInd,UndrnsrncSttCrtrInd,ExplndBssInd,AppFnnclAsstExplnInd,DscrbdInfInd,DscrbdSprtDcInd,PrvddHsptlCntctInd,PrvddNnprftCntctInd,IncldsPblctyMsrsInd,FAPAvlblOnWbstInd,FAPAvlblOnWbstURLTxt,FAPAppAvlblOnWbstInd,FAPAppAvlblOnWbstURLTxt,FAPSmmryOnWbstInd,FAPSmmryOnWbstURLTxt,FAPAvlblOnRqstNChrgInd,FAPAppAvlblOnRqstNChrgInd,FAPSmAvlblOnRqstNChrgInd,NtfdFAPCpyBllDsplyInd,CmmnttyNtfdFAPInd,FAPTrnsltdInd,FAPActnsOnNnpymntInd,PrmtNActnsInd,CllctnActvtsInd,PrvddWrttnNtcInd,MdEffrtOrllyNtfyInd,PrcssdFAPApplctnInd,MdPrsmptvElgDtrmInd,NndsEmrgncyCrPlcyInd,LkBckMdcdMdcrPrvtInd,AmntsGnrllyBlldInd,GrssChrgsInd
201820439349300532,131624158,The Rockefeller University Hospital,1,0,0,1,X,X,X,X,X,X,X,X,X,16,1,0,0,1,X,www.rucares.org,X,1,16,1,www.rucares.org,0,0,0,0,0,0,0,0,X,0,0
201841359349301734,951642394,A,12,false,false,true,X,X,X,X,X,X,X,X,X,16,true,true,false,true,X,keckmedicine.org/community-benefit,X,true,16,true,keckmedicine.org/community-benefit,false,false,true,X,200.,350.,X,X,X,true,true,X,X,X,true,X,SEE SECTION C,X,SEE SECTION C,X,SEE SECTION C,X,X,X,X,X,X,X,true,X,false,X,X,X,X,true,X,false,false
201841359349301734,951642394,B,3,false,false,true,X,X,X,X,X,X,X,X,X,16,true,true,false,true,X,USCVHH.ORG/GIVING/COMMUNITY-BENEFIT,X,true,16,true,USCVHH.ORG/GIVING/COMMUNITY-BENEFIT,false,false,true,X,200.,350.,X,X,X,true,true,X,X,X,true,X,SEE SECTION C,X,SEE SECTION C,X,SEE SECTION C,X,X,X,X,X,X,X,true,X,false,X,X,X,X,true,X,false,false
201811069349300841,590624458,University of Miami Hospital,1,0,0,1,X,X,X,X,X,X,X,X,X,15,1,0,0,1,X,umiamihospital.com,X,1,16,0,1,0,1,X,200.000000000000,400.000000000000,X,X,X,X,X,1,1,X,X,X,1,X,uhealthsystem.com/billing/financial-assistance,X,uhealthsystem.com/billing/financial-assistance,X,uhealthsystem.com/billing/financial-assistance,X,X,X,X,X,X,1,X,0,X,X,X,X,1,X,0,0
201811069349300841,590624458,University of Miami Hospital & Clinics,2,0,0,1,X,X,X,X,X,X,X,X,X,15,1,0,0,1,X,sylvester.org,X,1,16,0,1,0,1,X,200.000000000000,400.000000000000,X,X,X,X,1,1,X,X,X,1,X,uhealthsystem.com/billing/financial-assistance,X,uhealthsystem.com/billing/financial-assistance,X,uhealthsystem.com/billing/financial-assistance,X,X,X,X,X,X,1,X,0,X,X,X,X,0,X,X,0,0
201811069349300841,590624458,Anne Bates Leach Eye Hospital,3,0,0,1,X,X,X,X,X,X,X,X,X,15,1,0,0,1,X,bascompalmer.org,X,1,16,0,1,0,1,X,200.000000000000,400.000000000000,X,X,X,X,1,1,X,X,X,1,X,uhealthsystem.com/billing/financial-assistance,X,uhealthsystem.com/billing/financial-assistance,X,uhealthsystem.com/billing/financial-assistance,X,X,X,X,X,X,1,X,0,X,X,X,X,1,X,0,0
201841359349301234,720423889,TULANE UNIVERSITY HOSPITAL AND CLINIC,1,0,0,1,X,X,X,X,X,X,X,X,X,16,1,1,1,1,X,http://tulanehealthcare.com,1,16,1,http://tulanehealthcare.com,0,0,1,X,100,200,X,X,X,X,X,1,1,X,X,X,1,X,http://tulanehealthcare.com/patients-and-visitors/pay-your-bill.dot,X,http://tulanehealthcare.com/patients-and-visitors/pay-your-bill.dot,X,http://tulanehealthcare.com/patients-and-visitors/pay-your-bill.dot,X,X,X,X,X,X,1,X,0,X,X,X,X,1,0,0
201801349349301675,160743209,STRONG MEMORIAL HOSPITAL,1,false,false,true,X,X,X,X,X,X,X,X,X,15,true,true,true,true,X,"SEE SCHEDULE H, PART V, SECTION C",X,"SEE SCHEDULE H, PART V, SECTION C",X,X,true,16,true,"SEE SCHEDULE H, PART V, SECTION C",false,true,X,200.,400.,X,X,X,X,X,X,true,true,X,X,X,true,X,"SEE PART V, SECTION C",X,"SEE PART V, SECTION C",X,"SEE PART V, SECTION C",X,X,X,X,X,X,true,X,false,X,X,X,X,true,X,false,false
201801799349300845,660561027,SERVICIOS MDICOS,UNIVERSITARIOS INC,1,false,false,false,false,false,false,false,false,false,X,false,true,X,false,false
201822019349300547,900790361,HOSPITAL FACILITIES LINES 1-2,12,false,false,true,X,X,X,X,X,X,X,X,X,X,15,true,true,true,true,X,EMORYHEALTHCARE.ORG/ABOUT/COMMUNITY.HTML,X,X,true,15,true,EMORYHEALTHCARE.ORG/ABOUT/COMMUNITY.HTML,false,true,X,X,X,X,X,true,true,X,X,X,X,true,X,SEE PART VI,X,SEE PART VI,X,SEE PART VI,X,X,X,X,X,X,true,X,false,X,X,X,X,true,X,false,false
