object_id,ein,BsnssNmLn1Txt,AddrssLn1Txt,CtyNm,SttAbbrvtnCd,ZIPCd,FcltyTxt
201841359349301734,951642394,USC ENGEMANN STUDENT HEALTH CENTER (UPC),1031 WEST 34TH STREET,LOS ANGELES,CA,900893261,OUTPATIENT CLINIC
201801349349301675,160743209,EASTMAN DENTAL CENTER,625 ELMWOOD AVENUE,ROCHESTER,NY,14620,OUTPATIENT DENTAL CLINIC
201801349349301675,160743209,UNIVERSITY DENTAL FACULTY GROUP,2400 SOUTH CLINTON AVENUE BLDG H S,ROCHESTER,NY,14618,OUTPATIENT DENTAL CLINIC
201801349349301675,160743209,EASTMAN DENTAL DOWNTOWN CLINIC,228 E MAIN STREET,ROCHESTER,NY,14604,OUTPATIENT DENTAL CLINIC
201801349349301675,160743209,ENRICO FERMI DENTAL CLINIC AT SCHOOL #17,158 ORCHARD STREET,ROCHESTER,NY,14611,OUTPATIENT DENTAL CLINIC
201801349349301675,160743209,EDC SMILEMOBILE VANS,625 ELMWOOD AVENUE,ROCHESTER,NY,14620,OUTPATIENT DENTAL CLINIC
201801349349301675,160743209,EDC HIGHLAND HOSPITAL CLINIC,990 SOUTH AVENUE SUITE 020,ROCHESTER,NY,14620,OUTPATIENT DENTAL CLINIC
201801349349301675,160743209,CULVER COMPLEX CARE CENTER,905 CULVER ROAD,ROCHESTER,NY,14609,OUTPATIENT DENTAL CLINIC
201801799349300845,660561027,CASA DEL VETERANO,CARR 592 KM 56 BO AMUELAS,JUANA DIAZ,PR,00795,VETERAN STATE HOME
201822019349300547,900790361,Emory at Acworth,4769 South Main Street,Acworth,GA,30101,Clinic Center
201822019349300547,900790361,Emory at Acworth,4791 S Main St Units 100 110 120,Acworth,GA,30101,Clinic Center
201822019349300547,900790361,Emory Dialysis Center at Northside,610 Northside Drive,Atlanta,GA,30318,Clinic Center
201822019349300547,900790361,Emory Heart & Vascular Center,5665 Peachtree Dunwoody Road,Atlanta,GA,30342,Clinic Center
201822019349300547,900790361,Emory Dialysis at Greenbriar,2841 Greenbriar Prkwy,Atlanta,GA,30331,Clinic Center
201822019349300547,900790361,Emory Orthopaedics and Spine,59 Executive Park South,Atlanta,GA,30329,Clinic Center
201822019349300547,900790361,Emory Aesthetic Center,3200 Downwood Circle,Atlanta,GA,30327,Clinic Center
201822019349300547,900790361,Emory Clinic,5671 Peachtree Dunwoody Rd,Atlanta,GA,30342,Clinic Center
201822019349300547,900790361,Emory Brain Health & Sleep Center,12 Executive Park Drive NE,Atlanta,GA,30324,Clinic Center
201822019349300547,900790361,Emory Clinic,5673 Peachtree Dunwoody Rd Suite 6,Atlanta,GA,30342,Clinic Center
201822019349300547,900790361,Emory Clinic,5673 Peachtree Dunwoody Rd Suite 3,Atlanta,GA,30342,Clinic Center
201822019349300547,900790361,Emory Clinic,5673 Peachtree Dunwoody Rd Suite 5,Atlanta,GA,30342,Clinic Center
201822019349300547,900790361,Emory at St Joseph's Pulmonary Med,5673 Peachtree Dunwoody RdSuite 52,Atlanta,GA,30342,Clinic Center
201822019349300547,900790361,Emory Clinic,1365 Clifton Road Building A,Atlanta,GA,30322,Clinic Center
201822019349300547,900790361,Emory Clinic,1365 Clifton Road Building B,Atlanta,GA,30322,Clinic Center
