object_id,ein,RcpntBsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,RcpntTbl_RcpntEIN,RcpntTbl_IRCSctnDsc,RcpntTbl_CshGrntAmt,RcpntTbl_PrpsOfGrntTxt
201743179349306214,470378779,MARY LANNING HEALTHCARE FOUNDATION,741 N DENVER AVE,HASTINGS,NE,68901,470800042,501(C)(3),563401,TO ASSIST WITH THE OPERATING COSTS OF FUNDRAISING.
201743179349306214,470378779,ADAMS COUNTY CLERK,500 WEST 4TH STREET,HASTINGS,NE,68901,476006427,GOVERNMENTAL,25000,TO ASSIST WITH OPERATING COSTS OF THE AMBULANCE SERVICE.
201703179349307400,111635088,CATHOLIC HEALTH SERVICES OF LONG ISLAND,992 N VILLAGE AVE,ROCKVILLE CENTRE,NY,11570,113403968,501(C)(3),773376,NONE,NONE,OUTPATIENT CENTERS
201723199349305457,210634462,Susan G Komen Breast Cancer Foundation,125 South 9th Street,Philadelphia,PA,19107,752949264,501(c)(3),34214,Sponsorship
201723199349305457,210634462,philadelphia soul charitable foundation,201 laurel road,voorhees,NJ,08043,205036346,501(c)(3),15000,Sponsorship
201723199349305457,210634462,national brain tumor society,55 chapel street 200,newton,MA,02458,043068130,501(c)(3),10000,Sponsorship
201723199349305457,210634462,Head of Schuylkill Regatta,7 BOATHOUSE DR,Philadelphia,PA,19130,352366125,501(c)(3),8000,Sponsorship
201723199349305457,210634462,living beyond breast cancer,40 monument road,bala cynwyd,PA,19004,232734689,501(c)(3),6500,SPONSORSHIP
201723199349305457,210634462,CAMDEN COUNTY PARKS DEPT,1301 PARK BLVD,CHERRY HILL,NJ,08002,999999999,501(C)(1),6000,SPONSORSHIP
201723199349305457,210634462,SUMMIT MEDICAL GROUP FOUNDATION,1 DIAMOND HILL RD,BERK HEIGHTS,NJ,07922,463355413,501(c)(3),6000,SPONSORSHIP
201723199349305457,210634462,CHERRY HILL TWP,820 MERCER STREET,CHERRY HILL,NJ,08002,999999999,501(C)(1),5200,SPONSORSHIP
201723199349305457,210634462,LEUKEMIA LYMPHOMA SOCIETY,14 COMMERCE DRIVE,SUITE 301,CRANFORD,NJ,07016,135644916,501(c)(3),5200,SPONSORSHIP
