object_id,ein,TxImpsdAmt,TxRmbrsdAmt,TtlBlncDAmt
201703179349306700,133459531,-,-,-
201713469349300626,166031585,-,-,-
201703479349300920,910615846,-,-,-
201703429349300225,750800653,-,-,-
201713469349300631,943204136,-,-,-
201713489349300116,390806263,-,-,-
201703189349200925,943396255,-,-,673
201703179349301545,810231774,-,-,-
201713199349303801,160743900,-,-,-
201743189349312639,231352008,-,-,-
201743259349300804,370661231,-,-,7022
201713199349300126,550753754,-,-,-
201703189349313305,451171945,-,-,60000
201703189349308925,480543728,-,-,334193
201713209349200416,263897492,-,-,1611
201723489349300207,620548913,-,-,-
201723469349300327,237032625,-,-,136452
201723389349300157,590624459,-,-,-
201713149349301601,136171197,-,-,1500000
201723199349309337,810661056,-,-,-
201723199349310802,274967732,-,-,-
201713149349301516,240795439,-,-,-
201703179349301205,560767736,-,-,-
201723389349300437,540575812,-,-,-
201733179349307033,471994752,-,-,5000
201723329349300722,350868101,-,-,-
201723259349300002,041843040,-,-,209640
201713189349303286,390806325,-,-,-
201733329349300768,750851900,-,-,-
201743349349300024,237034324,-,-,-
201703189349301430,541863192,-,-,-
201713199349315336,204775521,-,-,-
201733419349200213,201184900,-,-,542
201713199349314361,112705352,-,-,-
201723179349301327,274600814,-,-,-
201723149349303207,472237488,-,-,-
201713109349300526,150532053,-,-,57520
201723179349305542,541919810,-,-,4856201
201703319349300450,260030436,-,-,160400
201733409349300858,610492351,-,-,-
201703119349302980,350886846,-,-,-
201703119349303165,362310478,-,-,-
201703049349300120,350715530,-,-,-
201703329349300735,586055244,-,-,-
201743429349300309,386080947,-,-,-
201743199349309429,942933165,-,-,-
201800399349300300,610444763,-,-,499728
201733209349301023,260069167,-,-,-
201820089349300342,010211497,-,-,351600
201743559349301209,953156658,-,-,255885
201810309349300611,951916051,-,-,-
201733529349300313,381619831,-,-,3767
201840389349301314,410693960,-,-,-
201810359349300001,952906949,-,-,-
201702879349300015,770495439,-,-,14037856
201810239349300501,580644897,-,-,-
201810389349300041,390806202,-,-,-
201713499349300956,596046500,-,-,-
201800269349300310,420772559,-,-,-
201810159349300941,522242995,-,-,528750
201820329349300307,560657294,-,-,-
201810299349300601,060943492,-,-,706794
201810389349300641,350868127,-,-,-
201810459349301626,610444650,-,-,-
201810459349300646,056015988,-,-,-
201840309349300614,620599339,-,-,-
201713499349300541,231501197,-,-,-
201743549349300414,750827421,-,-,-
201722869349300927,440552049,-,-,-
201820369349300447,150532239,-,-,-
201723569349300637,382385150,-,-,45000
201810379349301191,730579264,-,-,-
201820099349300002,204499806,-,-,19500
201723559349300027,232215278,-,-,-
201800449349301825,390806154,-,-,-
201840449349300234,042152671,-,-,131300
201703549349300115,020223339,-,-,-
201820439349300337,310747997,-,-,-
201820439349300202,042104258,-,-,121593
201703549349300400,237099472,-,-,146400
201713529349300761,160909446,-,-,-
201703229349300400,800454615,-,-,4989
201820119349301017,381498763,-,-,-
201713109349301911,420680408,-,-,-
201830169349300628,560532303,-,-,-
201820369349300712,480547702,-,-,-
201830449349301708,951744369,-,-,101000
201733199349318898,943200772,-,-,25000
201800449349301385,591237047,-,-,6800
201800249349301300,420680466,-,-,-
201820129349300117,410695509,-,-,-
201742839349301309,350868181,-,-,-
201713189349305806,251065148,-,-,-
201800549349300820,150532204,-,-,0
201810609349300711,420707114,-,-,-
201820439349300532,131624158,-,-,6347917
201820519349300432,560530003,-,-,-
201820519349300617,461812625,-,-,-
201820859349301112,640428676,-,-,0
201810549349300436,440589787,-,-,-
201810419349300101,231424055,-,-,-
201820689349301257,951644035,-,-,5667877
201810729349300216,314379584,-,-,-
201830439349300918,620484185,-,-,366000
201810549349300036,231365953,-,-,-
201820669349300807,910473310,-,-,-
201830749349300728,440556862,-,-,-
201800619349300335,344431169,-,-,-
201800889349300500,251120678,-,-,-
201800239349300205,450323401,-,-,-
201800859349300215,941156599,-,-,-
201830469349301953,620488046,-,-,6416221
201830669349300143,430356250,-,-,-
201800659349300140,481249429,-,-,-
201800659349300040,344427516,-,-,0
201820459349301227,951644048,-,-,-
201800869349300500,580566143,-,-,59972
201800729349300930,264663584,-,-,-
201800459349301225,250965576,-,-,-
201800869349300905,160746864,-,-,-
201810869349300606,314379435,-,-,-
201810859349300711,362170136,-,-,-
201820689349301122,237213309,-,-,124542
201800889349301100,362169157,-,-,-
201830529349300543,521555346,-,-,-
201820509349300632,362167048,-,-,1109
201840259349300034,593086453,-,-,-
201820859349300777,640303086,-,-,-
201800449349301485,135596846,-,-,34491489
201820729349300307,750851900,-,-,1107986
201810749349300901,941021164,-,-,-
201810749349300911,350867954,-,-,-
201820889349300107,741159753,-,-,-
201840449349300149,340868798,-,-,-
201820579349301152,231352668,-,-,-
201830659349300008,930401259,-,-,1000
201820659349300437,231352641,-,-,328966
201840959349300224,370661494,-,-,383179
201840959349300134,520591608,-,-,-
201841009349300219,410795255,-,-,-
201810669349301301,610444708,-,-,533085
201810679349300641,362216176,-,-,12265
201810679349300106,860711495,-,-,-
201811019349301311,941156628,-,-,353630
201801009349300225,560529953,-,-,-
201800899349300715,370661496,-,-,-
201800539349301120,141468399,-,-,-
201830729349300643,530196549,-,-,0
201840759349301209,596155069,-,-,-
201820789349300017,930845182,-,-,-
201840469349301889,250965212,-,-,-
201840249349301409,381393841,-,-,157516
201840549349300109,231352652,-,-,-
201830999349300328,630288811,-,-,-
201801019349301035,750926755,-,-,-
201800959349300705,460280847,-,-,-
201831029349300243,410695524,-,-,-
201800599349301500,350868096,-,-,0
201820629349300007,521859814,-,-,-
201840999349300324,042104149,-,-,-
201840999349300304,240795506,-,-,-
201840539349300509,800957275,-,-,-
201800609349300925,250965557,-,-,-
201820969349300522,582624570,-,-,-
201840509349300724,540505945,-,-,43739
201820509349300912,362166964,-,-,-
201820599349300812,340737794,-,-,-
201820509349300232,362515868,-,-,-
201840549349300814,370864020,-,-,-
201800609349300130,340714681,-,-,-
201840959349300959,910236600,-,-,-
201840619349301039,480543772,-,-,-
201840999349300679,250965376,-,-,-
201810769349300706,030482006,-,-,-
201830649349300608,240795406,-,-,-
201830649349300448,160743942,-,-,-
201800939349300930,470376551,-,-,-
201810789349300111,440545813,-,-,-
201800759349300330,042111203,-,-,-
201800719349300735,370661211,-,-,-
201800719349300240,231413680,-,-,-
201800649349300620,956002998,-,-,-
201840449349300719,381627600,-,-,243318
201820999349300432,620518288,-,-,3417580
201840879349300524,430655867,-,-,-
201840879349300209,430746185,-,-,-
201810669349300021,480777079,-,-,-
201800969349300345,930386972,-,-,-
201840509349300134,420698196,-,-,-
201831009349301028,620535755,-,-,-
201810799349301211,264718371,-,-,-
201801029349300020,620502739,-,-,-
201820739349300342,710239576,-,-,-
201801029349300930,750800689,-,-,-
201801029349301355,570314406,-,-,-
201810819349301201,340714818,-,-,-
201840679349300319,941156485,-,-,-
201810559349300511,610466713,-,-,500
201810819349300116,272793072,-,-,-
201830759349300128,942155109,-,-,40000
201800969349300110,160759798,-,-,-
201810579349301301,350868074,-,-,1417317
201810789349300901,540646523,-,-,-
201840609349300009,521010577,-,-,1431066
201831029349301213,132590811,-,-,-
201820549349300637,390477970,-,-,-
201810519349300881,730739626,-,-,-
201820529349300207,592961536,-,-,-
201840819349300544,381945965,-,-,14700
201840819349300344,610448560,-,-,-
201800729349300230,570314365,-,-,25000
201830479349300723,430652649,-,-,-
201830819349300548,135562314,-,-,-
201840089349300414,590624401,-,-,-
201800609349301550,951643992,-,-,-
201820649349300312,460283336,-,-,-
201800749349300505,340714687,-,-,-
201840579349301209,390833608,-,-,-
201820579349300852,231352620,-,-,-
201810469349300946,741400699,-,-,-
201820269349300207,560554199,-,-,-
201703129349301625,362167792,-,-,500000
201840319349301599,650216638,-,-,260292609
201800539349300315,841029228,-,-,-
201800539349300510,420686467,-,-,-
201800599349300810,410747165,-,-,-
201830329349301763,830434307,-,-,555167
201820339349301087,510107088,-,-,310000
201840319349301149,231352698,-,-,-
201830099349301508,620485733,-,-,-
201830369349300638,480554341,-,-,504267
201830599349301618,620544854,-,-,-
201821349349303137,340801310,-,-,232383
201811229349301801,221815636,-,-,-
201841359349301734,951642394,-,-,24157316
201841359349301839,620528217,-,-,963000
201841359349301739,610444780,-,-,-
201811209349301246,470376583,-,-,-
201821349349302387,520591672,-,-,-
201801319349302850,141338580,-,-,-
201801319349302825,060646959,-,-,-
201801299349302025,221494434,-,-,-
201821349349301587,591023117,-,-,-
201821349349301912,251775321,-,-,-
201821349349301942,042103552,-,-,-
201831069349300623,420680332,-,-,-
201831069349301078,160743150,-,-,-
201801319349303570,381624684,-,-,-
201831069349300808,741161940,-,-,-
201831069349300243,420680351,-,-,-
201831069349300433,560529940,-,-,-
201801069349300430,720408915,-,-,0
201811209349300846,020309681,-,-,155700
201841239349300719,381358014,-,-,-
201811209349301566,160743140,-,-,-
201821179349301357,953909672,-,-,-
201841229349301959,952789388,-,-,-
201821229349301487,361557840,-,-,-
201821229349301507,150532276,-,-,-
201811209349300716,221500645,-,-,-
201821229349301647,061519057,-,-,-
201801299349301840,010212542,-,-,-
201821039349301102,750827465,-,-,-
201821039349301262,951643334,-,-,105000
201811209349300001,362387148,-,-,-
201800759349300840,951716809,-,-,50000
201811029349300506,520591661,-,-,-
201811039349300146,430662529,-,-,-
201821079349300122,560529999,-,-,-
201821079349300512,620465076,-,-,-
201841179349300904,350868152,-,-,3472
201811239349301601,050259080,-,-,-
201841039349300444,250965430,-,-,14942
201841039349300144,560547498,-,-,-
201811069349300106,160743040,-,-,-
201811069349300226,381359569,-,-,-
201811069349300841,590624458,-,-,-
201811069349301066,362722198,-,-,-
201831079349301313,410708577,-,-,21667
201841069349301554,420680412,-,-,-
201801319349303895,344428207,-,-,-
201811079349301651,141338562,-,-,-
201811089349300831,590859121,-,-,6775
201831049349300628,730555460,-,-,-
201801029349300030,570324906,-,-,-
201830769349300203,660362666,-,-,-
201830789349300138,480730814,-,-,-
201840969349300349,470378777,-,-,-
201840969349300709,590637903,-,-,-
201831159349300328,952261113,-,-,7552
201831159349300213,941156266,-,-,-
201801069349300845,910565571,-,-,-
201830799349301108,470491571,-,-,-
201801079349301655,470405319,-,-,-
201821089349301012,250496976,-,-,-
201830329349300203,340714626,-,-,-
201841019349300114,231352688,-,-,-
201841019349300629,560547511,-,-,-
201841019349301014,540505922,-,-,-
201820469349300502,750950119,-,-,-
201801069349300125,231352615,-,-,-
201810789349300446,610482955,-,-,-
201801079349301250,362181973,-,-,-
201841039349301209,570314408,-,-,-
201801049349300210,231526668,-,-,-
201801069349300840,150543962,-,-,-
201841359349306129,941279798,-,-,-
201841039349300404,141338498,-,-,-
201841039349300904,042103545,-,-,2149246
201841039349301029,042300472,-,-,-
201841039349301119,520591623,-,-,-
201830959349300418,390806297,-,-,-
201821169349301162,941156610,-,-,-
201841079349300834,741196134,-,-,-
201841079349300739,410706151,-,-,-
201841079349301004,231352689,-,-,-
201841359349313359,951664112,-,-,1715304
201841359349302604,520643528,-,-,-
201841359349306234,460224603,-,-,101095
201831039349300903,150545841,-,-,-
201811039349300501,520591661,-,-,-
201841359349308224,421315493,-,-,-
201841149349300634,460430791,-,-,-
201841149349300754,951684064,-,-,153000
201831009349300713,350867977,-,-,-
201840759349301119,910564993,-,-,-
201831179349301458,930386839,-,-,-
201821159349300202,042103731,-,-,-
201801109349300520,221494428,-,-,-
201840799349300329,410693979,-,-,-
201841359349309359,381550064,-,-,-
201841359349307394,042103639,-,-,-
201831209349301208,420680344,-,-,-
201811219349300231,420680372,-,-,-
201841079349300729,310725957,-,-,-
201841359349303859,135598093,-,-,2682724
201821029349300127,350868158,-,-,440212
201821039349300027,590624440,-,-,-
201821219349301497,410969244,-,-,-
201821219349301482,314379537,-,-,-
201821109349300902,042104229,-,-,-
201821149349300617,540506306,-,-,-
201821149349300702,580593414,-,-,-
201830969349300733,260466209,-,-,-
