object_id,ein,LqdtnOfAsstsDtl_AsstsDstrOrExpnssPdDsc,LqdtnOfAsstsDtl_DstrbtnDt,LqdtnOfAsstsDtl_FrMrktVlOfAsstAmt,LqdtnOfAsstsDtl_MthdOfFMVDtrmntnTxt,LqdtnOfAsstsDtl_EIN,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,LqdtnOfAsstsDtl_IRCSctnTxt
201743559349300029,460385443,CASH,2017-08-31,83875,NET BOOK VALUE,460224600,UNIVERSITY OF SIOUX FALLS,1101 WEST 22ND STREET,SIOUX FALLS,SD,571051600,501(C)(3)
201743559349300029,460385443,ENDOWMENT FUND,2017-08-31,152739,NET BOOK VALUE,460224600,UNIVERSITY OF SIOUX FALLS,1101 WEST 22ND STREET,SIOUX FALLS,SD,571051600,501(C)(3)
201743559349300029,460385443,NOTES RECEIVABLE,2016-10-07,3500000,NET BOOK VALUE,460224600,UNIVERSITY OF SIOUX FALLS,1101 WEST 22ND STREET,SIOUX FALLS,SD,571051600,501(C)(3)
201800169349300400,383589120,RETURNED UNUSED RESTRICTED GRANT,2017-06-30,8724,CASH,386064925,THE MILLER FOUNDATION,310 WAHWAHTAYSEE WAY,BATTLE CREEK,MI,49015,501C(3)
201821319349301872,590791034,MERGER INTO TRINITY HEALTH CORPORATION,2017-06-23,-20572697,BOOK VALUE,351443425,TRINITY HEALTH CORPORATION,20555 VICTOR PARKWAY,LIVONIA,MI,48152,501(C)(3)
201832569349300723,237022431,CASH - MANAGEMENT OF CESSATION OF OPERATIONS,2018-02-13,1645,BOOK VALUE,ALLIANCE MANAGEMENT,601 CARLSON PARKWAY STE 110,MINNETONKA,MN,55305
201832569349300723,237022431,CASH - ACCOUNTING SERVICES,2017-12-31,11700,BOOK VALUE,BAKER TILLY VIRCHOW KRAUSE LLP,225 S 6TH STREET STE 2300,MINNEAPOLIS,MN,55402
201832569349300723,237022431,CASH - ACCOUNTING SERVICES,2017-10-17,4650,BOOK VALUE,ROGERS & KING,9625 LAKEWOOD CIR,CHASKA,MN,55318
201832569349300723,237022431,NET ASSETS - CASH,2018-06-26,1500,BOOK VALUE,MINNEAPOLIS COLLEGE OF ART AND DESIGN,2501 STEVENS AVE,MINNEAPOLIS,MN,55404
201811569349300901,910791533,RESIDUAL CASH DONATED TO THE COMMUNITY FOUNDATION OF SW WASHINGTON TO ESTABLISH THE EMIL FRIES ENDOWMENT FUND.,2018-04-30,1148075,ALL RESIDUAL CASH WILL BE TRANSFERRED TO THIS COMMUNITY FOUNDATION AFTER ALL EXPENSES AND DEBTS ARE PAID. THE EXACT AMOUNT WILL BE DETERMINED AFTER ALL KNOWN CONTINGENCIES ARE RESOLVED.,911246778,COMMUNITY FOUNDATION FOR SW WASHINGTON,610 ESTHER STREET 201,VANCOUVER,WA,98660,503(C)(3)
201811569349300901,910791533,"ACROBAT HD CCTV; BRAILLE EMBOSSER/PRINTER; WASP INVENTORY CONTROL; PENFRIEND LABELING SYSTEM; JAWS STANDARD SOFTWARE (2),",2017-07-15,7009,FAIR MARKET VALUE DETERMINED BY USING ESTIMATED COMPARABLE SALES.,WASHINGTON STATE SCHOOL FOR THE BLIND,2214 E 13TH STREET,VANCOUVER,WA,98661,GOVERNMENT ENTITY
201811569349300901,910791533,"DELL INSPIRON 3847 PC; DELL OPTIPLEX 7040 CCJWC82; DELL 22"" LED MONITORS (FIVE); VOSTRO 260S F79BMS1 (TWO)",2017-07-15,4464,FAIR MARKET VALUE DETERMINED BY USING ESTIMATED COMPARABLE SALES.,916055341,CLARK COUNTY HISTORICAL MUSEUM,1511 MAIN STREET,VANCOUVER,WA,98660,501(C)(3)
201811569349300901,910791533,DELL LAPTOP LATITUDE; HP LASERJET PRO PRINTER; SURFACE PRO 3;,2017-07-15,2600,FAIR MARKET VALUE DETERMINED BY ESTIMATED COMPARABLE SALES.,261396970,NONPROFIT NETWORK OF SOUTHWEST WASHINGTON,9414 NE FOURTH PLAIN BLVD,VANCOUVER,WA,98662,501(C)(3)
201811569349300901,910791533,PROFESSIONAL FEES TO WIND DOWN THE ORGANIZATION'S ACTIVITIES,2018-04-30,28905,ACTUAL PAYMENTS.,931130272,SCHWABE WILLIAMSON & WYATT,1211 SW FIFTH AVENUE SUITE 1900,PORTLAND,OR,97204,FOR-PROFIT LEGAL FIRM
